DriveAmplitude,Amplitude_AU,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(AU)
0.0,1.9733668280761026e-07,-121.08554357297237,-126.69541881400772,-122.48094950488422,-2.1225848246278165,1.8317584603010318e-07
0.005,1.8822295003373852e-07,-121.49624852600466,-126.28121608096461,-123.25029991512174,-2.1851575866957798,1.83484879597625e-07
0.01,1.9351735837537186e-07,-121.25530150292589,-124.90724116468725,-123.70667078021751,-2.28730311696143,1.8384490359689415e-07
0.015,1.8780008507159204e-07,-121.51578435013485,-126.53766511544407,-123.15658758389483,-2.166300851890517,1.842556826467836e-07
0.02,2.0131268148226107e-07,-120.9122773698002,-124.47995871106643,-123.42866294645953,-2.2958242602988372,1.847169481828756e-07
0.025,1.7401153011489486e-07,-122.17813952605624,-126.56339957096101,-124.14570236732322,-2.2187837455381154,1.8522839863304732e-07
0.03,1.9999347784297293e-07,-120.96938338837992,-124.92659779055077,-123.20272455563142,-2.2576054932045726,1.857896996146364e-07
0.035,1.7510225788770022e-07,-122.12386511919591,-127.0290456528353,-123.81931221307867,-2.175494443245851,1.8640048415305804e-07
0.04,1.8774068083722514e-07,-121.518532273529,-126.40732479009712,-123.2218274771784,-2.176800106826359,1.8706035292173034e-07
0.045,2.0740332122228836e-07,-120.65338591098208,-124.6349980042605,-122.87039936177501,-2.2553076394519427,1.8776887450315116e-07
0.05,1.958082864455071e-07,-121.15307870653987,-125.51982173037908,-123.13128934722806,-2.2204003396032683,1.885255856709559e-07
0.055,1.7406734016429412e-07,-122.1753541806916,-126.96495750505385,-123.92710050478001,-2.1847812399329745,1.8932999169277153e-07
0.06,1.851016949612843e-07,-121.64149213194742,-125.95865762644797,-123.64856669003862,-2.2247555013993146,1.9018156665366903e-07
0.065,2.0660010514150823e-07,-120.68708927932366,-124.7788981194956,-122.8322221232151,-2.2450613175390135,1.910797538000029e-07
0.07,1.7082443741189539e-07,-122.33870006126833,-126.06649336052496,-124.73340680299802,-2.2797553637890196,1.9202396590341282e-07
0.075,1.7348822122202354e-07,-122.20430015902738,-126.07042808669092,-124.49997775917124,-2.2662806626694727,1.9301358564474913e-07
0.08,1.801906398620849e-07,-121.87505549383181,-126.69833846230311,-123.61016513268304,-2.1820560157594735,1.9404796601767197e-07
