DriveAmplitude,Amplitude_AU,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(AU)
0.0,1.5880511575578399e-07,-122.97241026935707,-126.12302838438934,-125.84678413493984,-2.3402952729898816,1.7427162302938733e-07
0.005,1.9500833392887418e-07,-121.18863660565012,-125.97119214375459,-122.94388879113802,-2.1853535210286053,1.7439669072079373e-07
0.01,1.8897491279345547e-07,-121.46161697138001,-124.48560228495906,-124.45827456053371,-2.354621382515449,1.7454066219770992e-07
0.015,1.7563248170875116e-07,-122.09760328321778,-126.48330657595753,-124.06491211961665,-2.21874511506523,1.7470350466963836e-07
0.02,1.7799939035492464e-07,-121.98132974616496,-125.43143150939952,-124.59229877323781,-2.3079650915270946,1.7488518104808234e-07
0.025,1.950267662352635e-07,-121.18781564887405,-124.8239181882715,-123.65123566649318,-2.2888936053642417,1.7508564995499278e-07
0.03,1.739326757373441e-07,-122.18207648158584,-126.04630063096941,-124.47908065992479,-2.2664636244178173,1.7530486573219265e-07
0.035,1.5618457924369358e-07,-123.1169370043884,-126.56120798263339,-125.73271825634367,-2.3085749402751428,1.7554277845177584e-07
0.04,1.6850976568426653e-07,-122.45719854931494,-127.08974593994255,-124.28914013413637,-2.1977015732907597,1.7579933392747846e-07
0.045,1.6341104300733007e-07,-122.72407200370472,-127.49982863243017,-124.48271433520443,-2.1859062528856805,1.7607447372702038e-07
0.05,1.7374663095870554e-07,-122.19137220058957,-127.33353414982099,-123.77805256557372,-2.1570118799959075,1.7636813518541347e-07
0.055,1.832311285456551e-07,-121.72971491357981,-126.65692990942875,-123.41467857318645,-2.173744643071616,1.7668025141923385e-07
0.06,1.9012552537640113e-07,-121.4088915002712,-124.44936354069291,-124.38922754461669,-2.3527328116444393,1.7701075134185524e-07
0.065,1.8606239302948986e-07,-121.59652799721198,-124.96831521323372,-124.27313094412882,-2.316219122893124,1.7735955967963942e-07
0.07,1.7348365227073743e-07,-122.20452891190142,-126.1944671087528,-124.41600518045055,-2.254525919925564,1.7772659698908014e-07
0.075,1.9027575876572061e-07,-121.40203079415991,-125.54648622582175,-123.51386648766967,-2.24024103400552,1.7811177967489718e-07
0.08,1.835112227017366e-07,-121.71644746632295,-124.64440862255589,-124.81067752024884,-2.3657651128444956,1.7851502000907553e-07
0.085,1.7911663784964288e-07,-121.92698147091475,-127.20343582462758,-123.45573147478072,-2.1468574471091406,1.789362261508462e-07
0.09,1.786390018787854e-07,-121.95017437318825,-125.76192691478187,-124.28413370787828,-2.271533338683874,1.7937530216760345e-07
0.095,1.8069941505675745e-07,-121.85056510924545,-126.31490863077846,-123.77344602832822,-2.211940047806593,1.7983214805675433e-07
0.1,1.7940938988249708e-07,-121.91279665744439,-125.79682900559071,-124.19604632817953,-2.2645632882269253,1.8030665976849463e-07
0.105,1.568887361770159e-07,-123.07786475247127,-127.03941287436231,-125.308294456909,-2.257196541790412,1.807987292295073e-07
0.11,1.6304099421622738e-07,-122.74376374380981,-127.40882195038094,-124.55874265320064,-2.19499794976535,1.8130824436757663e-07
0.115,1.7612879844478712e-07,-122.07309259657504,-126.76191620417549,-123.87579328531939,-2.1930313061258997,1.8183508913711358e-07
0.12,1.570514226512761e-07,-123.06886254712876,-125.96952463834633,-126.19164002470781,-2.3689790863437525,1.8237914354558592e-07
0.125,1.842969081715978e-07,-121.67933905523236,-124.46875682603805,-124.92236008033498,-2.382294131833255,1.829402836808474e-07
0.13,2.0078261259983843e-07,-120.93517802319313,-123.18970034852845,-124.86108035003232,-2.4518185478609253,1.8351838173935965e-07
0.135,1.668190625089773e-07,-122.54478651907235,-126.14172582852757,-125.03834185464362,-2.2928487437308576,1.8411330605530016e-07
0.14,1.996503636526101e-07,-120.98429793184866,-124.08616604075903,-123.90492059198763,-2.3457619205387816,1.8472492113055016e-07
0.145,1.7237470281424746e-07,-122.26022943473572,-125.96294976476577,-124.67347482051842,-2.2822375085344655,1.8535308766555522e-07
0.15,1.91428347226508e-07,-121.34957504931083,-125.20563692379342,-123.65227801309139,-2.2672488282468746,1.8599766259105195e-07
0.155,1.794740985529537e-07,-121.90966442988633,-125.81366736066082,-124.17915385686753,-2.2626547808129174,1.8665849910065251e-07
0.16,1.982496226706964e-07,-121.0454526554403,-124.96245008988156,-123.30604569091221,-2.261416918418338,1.8733544668428124e-07
0.165,1.8265317418574004e-07,-121.7571555658509,-124.35395482484374,-125.22450963006925,-2.4062239627802025,1.8802835116245406e-07
0.17,1.9121259966513665e-07,-121.35936992213645,-125.91934440399388,-123.22988374449483,-2.2037928371357807,1.8873705472139407e-07
0.17500000000000002,1.9603812647271827e-07,-121.14288917679607,-124.43718534411387,-123.88662974992116,-2.324523162961487,1.8946139594897477e-07
0.18,1.7255117374645907e-07,-122.251341686501,-126.23277819993575,-124.46847209515593,-2.255324137696324,1.902012098714826e-07
0.185,1.8097997187054023e-07,-121.8370897158524,-126.08254280321772,-123.88685253125286,-2.2311254205048794,1.9095632799119097e-07
0.19,1.9213356622194556e-07,-121.31763516658222,-125.10564674430896,-123.66856735942925,-2.2738444026166715,1.9172657832473683e-07
