DriveAmplitude,Amplitude_AU,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(AU)
0.0,3.4105328319534766e-07,-116.33325534972838,-122.99237158632812,-117.38908861787485,2.0539368712396597,4.6101742911212564e-07
0.005,3.5461255878850957e-07,-115.99461779730834,-122.73427243853284,-117.02854530772262,2.049101121387499,4.5810164729329786e-07
0.01,3.199453279905984e-07,-116.88818458824576,-123.78885158444805,-117.87983112499728,2.039602121739402,4.553880354594863e-07
0.015,3.3560991340586285e-07,-116.47300442848226,-123.843485102432,-117.35190649435984,2.0131101205813082,4.528879277168984e-07
0.02,3.436047569981447e-07,-116.268516688503,-123.29416619587262,-117.22867575743109,2.032379858521923,4.50611766416327e-07
0.025,3.416493406219299e-07,-116.31808830580579,-124.67498302488293,-117.00343723954299,1.9628432591968183,4.485690585379543e-07
0.03,3.2611659978915805e-07,-116.72224193210766,-124.91621386121466,-117.43606311006056,1.9706843895955957,4.46768335982974e-07
0.035,3.633535635901753e-07,-115.78311156549185,-121.79588513247981,-117.03511085097391,2.0949156315757347,4.4521711993788527e-07
0.04,3.7464592579258564e-07,-115.51727976165999,-122.15448353521865,-116.57916311447792,2.055262469209028,4.4392188946029924e-07
0.045,3.6950748548908817e-07,-115.63723522805715,-120.80669055327668,-117.2119331358843,2.154929850420214,4.4288805441746855e-07
0.05,3.458170647069205e-07,-116.21277163966323,-122.93219650617087,-117.25215299617582,2.0503104170558375,4.4211993289056844e-07
0.055,3.854825332205974e-07,-115.26960595711321,-122.3138900798669,-116.22516659106351,2.031314119653351,4.416207331391066e-07
0.06,3.5561986449507137e-07,-115.96997980056636,-121.50987512675877,-117.39220026374342,2.127572007064382,4.413925402007923e-07
0.065,3.827305125462131e-07,-115.33183830332743,-120.20178113591392,-117.0442148725048,2.1783064125314224,4.4143630718283366e-07
0.07,3.564143726592151e-07,-115.95059586441755,-121.28541591315934,-117.45495360908569,2.142513456334767,4.4175185128103705e-07
0.075,3.589148167905062e-07,-115.88987229672703,-121.71813656920861,-117.20531215765605,2.107371202201627,4.4233785454333667e-07
0.08,3.7616554680342023e-07,-115.48211972775796,-121.2821931718557,-116.80757656052526,2.109305874833716,4.431918693745643e-07
0.085,3.670083046132384e-07,-115.69618221298336,-121.68775570435048,-116.95528832491114,2.0963287939337945,4.4431032875946786e-07
