DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.0,-103.3620049183182,-122.06652519328843,-103.42092658682026,1.4544495817050231,-103.15797021735061
0.005,-102.62305531397588,-120.28469818438816,-102.69810817687868,1.4395262147189425,-103.0678818108607
0.01,-102.97681567000726,-121.58016210420232,-103.03713578807908,1.4530801490083243,-103.00110333968874
0.015,-103.1344382381986,-125.45408207804579,-103.15997089069671,1.4941585286514736,-102.92141593900948
0.02,-102.86985669607884,-121.1549666115657,-102.93479729710448,1.44866567069917,-102.82646452310668
0.025,-103.01166409470979,-118.20494144986156,-103.14504964470423,1.3959928262082255,-102.71620642184507
0.03,-102.43558763432362,-116.77247384543712,-102.59860010107963,1.3776622201356932,-102.59142538206588
0.035,-102.16133606799954,-117.03807383237505,-102.30497517472546,1.3894342228369592,-102.45334625697448
0.04,-102.25585986484711,-119.25821341515395,-102.34334125656984,1.4291072302777228,-102.30348352898936
0.045,-102.20786937476956,-114.26276728902933,-102.48724493927996,1.3185229221025037,-102.14356211412756
0.05,-102.32986535471704,-116.02831351905571,-102.51926317248464,1.3627232543245473,-101.97546542134326
0.055,-101.48798269315375,-115.17520439829556,-101.67788161076382,1.3624501873401351,-101.8011950223709
0.06,-101.9497128460643,-113.57242908223515,-102.25938658162377,1.3053501923614916,-101.62283571655246
0.065,-102.06428036721391,-114.67087834061168,-102.3093679246255,1.3343545651550592,-101.44252333290571
0.07,-100.87008020562116,-113.10094658949143,-101.13801272453927,1.323689054255846,-101.26241412165712
0.075,-101.32268697471471,-112.69695259684626,-101.65130002221281,1.2974530370210322,-101.08465528732796
0.08,-100.57157818489317,-111.64395975075074,-100.92483392191595,1.2875236082892096,-100.9113565613853
0.085,-100.49759208247153,-110.87735347324386,-100.9149503094512,1.2632723978408256,-100.74456289037343
0.09,-100.67207098208819,-109.54016793023713,-101.27575433356881,1.2022683107374783,-100.58622840750812
0.095,-100.19744053117789,-109.74585758161797,-100.70821734209196,1.2312032213344355,-100.43819190083403
0.1,-100.40845921132626,-111.58457106479932,-100.75303768311588,1.290977644527578,-100.30215400872692
0.105,-100.20743223952793,-109.60910912577786,-100.73687609918665,1.225177743932459,-100.17965637411781
0.11,-100.12749660798308,-110.0713247487567,-100.591357916199,1.2468823304182681,-100.07206297811325
0.115,-100.03979579321728,-110.07419275697977,-100.49356557655535,1.2503629056248868,-99.98054385511892
0.12,-100.00047168796559,-109.33954957399605,-100.53809806366878,1.2225721206710825,-99.90606136731397
0.125,-99.56336039029443,-109.617821186744,-100.01492603877554,1.2511285226886217,-99.84935918784731
0.13,-100.37396576549106,-110.88503236117198,-100.77829708291281,1.2680338822477604,-99.81095411052252
0.135,-100.12496500619372,-109.90926778455595,-100.60718117794136,1.2406526100385622,-99.79113076986212
0.14,-99.50856984630275,-109.48598190872983,-99.96866179007975,1.2481776744454511,-99.78993932002331
0.145,-99.47193596808046,-108.56168092765455,-100.04351370834597,1.2119799521898227,-99.80719608471698
0.15,-100.04647370402195,-108.81935954080491,-100.66453624107318,1.198008465963617,-99.84248715365091
0.155,-99.8081547883227,-109.48057239465427,-100.30370115441778,1.2362064361885257,-99.89517486462553
0.16,-99.9387395791143,-110.41787240599714,-100.34619935742037,1.266883145847053,-99.9644070747745
0.165,-100.2682445436207,-110.54649848705736,-100.6959747427833,1.2595367810763813,-100.04912909005319
0.17,-99.80368441062237,-107.94675342371882,-100.52666216167279,1.1684227132029843,-100.14809808939195
0.17500000000000002,-100.21070238275156,-110.22714404991396,-100.66645427284287,1.2496760817077988,-100.25989984937831
0.18,-100.14978085571526,-110.57270607400406,-100.56280889520698,1.264846375184192,-100.38296754730474
0.185,-100.53972112351343,-110.1331043645613,-101.0449184162384,1.2330268082928728,-100.51560239527117
0.19,-100.60618324744068,-111.06476757634135,-101.015669503905,1.266140218105739,-100.65599583608186
0.195,-100.78447826997038,-111.66261673775382,-101.15460048551263,1.2809339937577748,-100.80225301319287
0.2,-101.24175816335398,-114.37658744104233,-101.45806581233634,1.3485473645458406,-100.9524172121772
0.20500000000000002,-101.07808613649325,-112.55151646411579,-101.39899976347058,1.3006342338236108,-101.10449496025397
0.21,-101.09234787710378,-112.22753064355803,-101.44032335728673,1.2896201141383712,-101.25648146350365
