DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.0,-104.5400326372909,-115.56434231929984,-104.89738653763573,1.8556849853406914,-104.31894488107791
0.0025,-104.11212177858089,-113.27649829452176,-104.67330367740992,1.9264058780910733,-104.23988281578818
0.005,-104.47140875715058,-116.4366585696289,-104.75680686690538,1.8257448565023857,-104.08360515881424
0.0075,-104.50878841588447,-114.17847008716382,-105.00466558693269,1.9054957452567345,-103.85727277591238
0.01,-103.63389047091991,-114.4541413688661,-104.00919997761622,1.8626536819285733,-103.57110206060983
0.0125,-103.13473814614613,-112.99687462584926,-103.60790490090389,1.8978845735470045,-103.23799845551893
0.015,-102.85616144667073,-119.24717972258702,-102.95702068543744,1.7228948055176017,-102.87296889642982
0.0175,-102.79079961539176,-114.87913535595764,-103.06796257256183,1.8220794547403036,-102.49243155616539
0.02,-102.82477485157432,-114.26869953847778,-103.14795961406793,1.841900872329983,-102.1134612726336
0.0225,-101.66700908627607,-114.70936522831315,-101.88809240233907,1.7954646921771242,-101.75300683127864
0.025,-101.22468337713357,-120.70945503690436,-101.27386056430966,1.6771077175446985,-101.42711645122452
0.0275,-101.54542162570505,-116.0138232276756,-101.70348207228336,1.7609923730584132,-101.15020704425731
0.03,-100.44766119513199,-114.75558503665248,-100.61178526875068,1.7645836815182774,-100.93441059003031
0.0325,-101.6856694818701,-117.76589750492113,-101.79410511250592,1.7284811317428335,-100.78902728440265
0.035,-100.97663361289659,-120.69991285077016,-101.02316875742937,1.6742177514462577,-100.7201101089182
0.0375,-100.34644569227773,-118.75289051505118,-100.40958399741305,1.691224479506842,-100.73019935991977
0.04,-100.82410566968703,-118.41821951039826,-100.90034504329111,1.7030969807493215,-100.81821874457374
0.0425,-101.35389123697108,-116.24454657392677,-101.49706310955062,1.7518648452016252,-100.97953721633606
0.045,-101.13015721999587,-120.36093760356808,-101.18231408825389,1.6802748348355845,-101.20619312523213
0.0475,-101.60630888873217,-114.1990585130332,-101.85220178718006,1.8076225691466463,-101.48726984647296
0.05,-101.72729705847958,-115.89978977337296,-101.89672255820163,1.767668549226156,-101.80940516252592
0.0525,-102.15376707006823,-115.55552384833865,-102.35687383772367,1.78621144606501,-102.15741062181911
0.055,-102.5801735312555,-114.54858913003872,-102.86535669598473,1.8256498856824168,-102.51497215539526
0.0575,-103.08964071096568,-113.62020796965118,-103.49207398438952,1.872858343486195,-102.86539962287334
0.06,-102.70610739659624,-113.32077511910668,-103.10046120287814,1.8698572867223255,-103.19239084108722
0.0625,-103.1925869458202,-113.07148162936792,-103.66382885182702,1.8972306941574406,-103.48077511398168
0.065,-103.7278575208864,-113.51325097768695,-104.20994562861387,1.900897015901756,-103.7172023492223
0.0675,-104.04920256170386,-112.91570293999166,-104.65312405645034,1.9393953331190783,-103.89074646066281
0.07,-104.06979478659116,-115.6597295199223,-104.38190120976688,1.8372705793107564,-103.99339579092265
0.0725,-104.48606521682336,-114.9333367977475,-104.8966716333174,1.8758622711478656,-104.0204085549443
