DriveAmplitude,Amplitude_AU,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(AU)
0.0,3.3383542841816787e-06,-96.5190515540725,-103.42098879192129,-97.5103723257636,1.1020645914086908,3.336274944156442e-06
0.005,3.2468772649671917e-06,-96.76038259948155,-103.3590659202372,-97.83299653253549,1.0839895024306185,3.3364631265567764e-06
0.01,3.2942519609043806e-06,-96.6345637808954,-103.21272301976641,-97.71294500329682,1.082736928793332,3.3376084601643886e-06
0.015,3.2441892977087652e-06,-96.76757629810302,-103.4759666189163,-97.80994614158357,1.0906211039563476,3.339708877398041e-06
0.02,3.2830119345878494e-06,-96.66425081328617,-103.37923664617902,-97.70483323367512,1.0910164010473253,3.3427605865386803e-06
0.025,3.262621760926116e-06,-96.71836547329738,-103.33831196790895,-97.78504111532212,1.0852831926645934,3.3467580785743307e-06
0.03,3.6152749216361246e-06,-95.82687347182984,-102.60720799752792,-96.84993094640137,1.0949125077285857,3.3516941371450826e-06
0.035,3.4033207034043823e-06,-96.35164252981716,-103.55004546248738,-97.27009721613415,1.1189846912374635,3.357559851570224e-06
0.04,3.471655320403503e-06,-96.17896803975476,-103.36407199356358,-97.10056067215768,1.1182409574446075,3.3643446329339934e-06
0.045,3.3425500267538125e-06,-96.50814172509536,-103.37397670219202,-97.50876809532626,1.09995438686424,3.3720362332009256e-06
0.05,3.3290569033325223e-06,-96.54327567166506,-103.08457190580141,-97.63210360590308,1.0804776473781623,3.38062076732627e-06
0.055,3.3495751553076947e-06,-96.48990551101788,-103.84799997957585,-97.37159074234773,1.127806567885171,3.390082738321576e-06
0.06,3.487339277571216e-06,-96.13981601864401,-102.84310735036571,-97.18357008562734,1.0903152382167631,3.4004050652301983e-06
0.065,3.408279792899542e-06,-96.33899524913946,-103.4985323920931,-97.26665395496207,1.1168071938015056,3.4115691139622093e-06
0.07,3.4712343795138536e-06,-96.18002127443776,-103.4343470277588,-97.08540981098878,1.122096786636864,3.4235547309330665e-06
0.075,3.430671438343777e-06,-96.28211750588584,-103.4779593667997,-97.2011755641997,1.1188415749245186,3.4363402794453044e-06
0.08,3.317596364797709e-06,-96.57322911365813,-103.97411229681943,-97.44534082004458,1.1301367270766325,3.4499026787475713e-06
0.085,3.4743785520127134e-06,-96.17215733572918,-102.92394304311792,-97.20282980049254,1.0932149907693818,3.4642174457005063e-06
