DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.0,-96.95512263799237,-99.8803553856665,-100.05218939936134,0.775507247587439,-97.01051240214996
0.005,-96.82048205020388,-99.40638217205458,-100.30119161814348,0.7339796604217405,-96.94774500148723
0.01,-96.97126417477818,-99.61846882243718,-100.37780885560744,0.7417426093692853,-96.90995221765274
0.015,-96.8397435031941,-99.54474985433913,-100.17843182920474,0.7489528122939947,-96.90949617987003
0.02,-96.94234918931218,-99.8018463099724,-100.10887735824642,0.7677277150118001,-96.93705671398807
0.025,-97.12148453355485,-99.99810732836991,-100.26970730399101,0.7697661591948972,-96.98061877243089
0.03,-96.90510974827859,-99.81137329937579,-100.02199962564694,0.7732747255125237,-97.0274037660158
0.035,-96.74296202969796,-99.4832225464755,-100.04121198633824,0.7532997794272173,-97.06578312603482
0.04,-96.89423174108477,-99.30861995546502,-100.59541464384495,0.7115937884149218,-97.08691269855734
0.045,-96.6631582347388,-99.15294187942371,-100.26496504957721,0.7215591216769147,-97.08581720648408
0.05,-96.78387091189622,-99.38394001004632,-100.24723271663419,0.7357846572138154,-97.06177566918787
0.055,-97.0679863457461,-99.53385184970423,-100.70088740258072,0.7184194179922326,-97.01799232746404
0.06,-96.97170690427427,-99.60750277174446,-100.39187936123257,0.7403070616142885,-96.9606604145793
0.065,-96.96564727609726,-99.78292077258735,-100.17795361228652,0.7626660804144226,-96.89762047213662
0.07,-96.75364293569899,-99.26154700306046,-100.33215277384697,0.7239246013806403,-96.83686805706714
0.075,-96.23165617789455,-99.0774773563291,-99.41291019855781,0.7660938945156233,-96.78517196989178
0.08,-96.62919245163033,-99.6808713009502,-99.59850404913223,0.7901395324913705,-96.74702587612755
0.085,-96.48558081330633,-99.22878150214908,-99.78048991486624,0.7536606079627413,-96.72408296543115
0.09,-96.43504119163413,-99.3933586079229,-99.4979534349088,0.7793773466711831,-96.71512992404853
0.095,-96.92584969511528,-99.57359862866264,-100.33174618724689,0.7418109926538732,-96.71656025434918
0.1,-97.02918651819614,-100.08976920300334,-99.98977926440035,0.7911539198245444,-96.72322449019039
0.105,-96.50203241838707,-99.42716597774442,-99.59920237365955,0.7754955998124156,-96.72947932038095
0.11,-97.1201469957901,-100.2412757934975,-100.0223761468605,0.7979977063270516,-96.73023675168328
0.115,-96.78750906100146,-99.19130504729688,-100.50297796278129,0.710177556051524,-96.721829455738
0.12,-96.88090450880426,-99.70683975985528,-100.08374405558563,0.7637086136499961,-96.70255430890982
0.125,-96.78613041409307,-99.21165878701316,-100.47237619646127,0.7130789190486998,-96.6728227906472
0.13,-96.74698234677307,-99.71685411080105,-99.79809037852733,0.7807218960941223,-96.63492133395766
0.135,-96.66594097557402,-99.39875666188405,-99.97267199025018,0.752384954360502,-96.5924533880094
0.14,-96.58900311869175,-99.65423807041915,-99.54505429565981,0.7916831211880546,-96.5495862039328
0.145,-96.81793030298383,-99.59869227991516,-100.07058033401538,0.7582474562282773,-96.51025133744854
0.15,-96.50828318818377,-99.2222145439606,-99.83666729328269,0.7500568843292731,-96.47744566556096
0.155,-96.43619485124086,-99.3472106852,-99.54810187468016,0.7738349678039372,-96.4527515791507
0.16,-96.4133363965621,-99.23062735999784,-99.62562360259923,0.7626681849360307,-96.43614761933163
0.165,-96.56351713432008,-99.3779337348945,-99.77895457167891,0.7623217451965244,-96.42612384381769
0.17,-96.3452270265862,-99.34564798760549,-99.36542850206699,0.7842595064383887,-96.4200604090305
0.17500000000000002,-96.37743647851292,-99.08975805090721,-99.70767576322109,0.749857925878189,-96.41478312499545
0.18,-96.50959324674358,-99.02293422266413,-100.08115614732681,0.7246321533898098,-96.40718339096465
0.185,-96.56043044687605,-99.30934382344716,-99.84886213210237,0.7543609445344869,-96.39478552775442
0.19,-96.47950233983602,-99.36617192636591,-99.61705542620129,0.7709581559401536,-96.37616151823528
0.195,-96.55724857734357,-99.43615838521015,-99.70303806476188,0.7700377507874995,-96.35112717927085
0.2,-96.44076705192306,-99.39755329049663,-99.50524835716038,0.7791988958553583,-96.32069764953648
0.20500000000000002,-96.4264604180016,-99.29354508517523,-99.58485993265415,0.7686318757478999,-96.28682527288701
0.21,-96.44184097907937,-99.09159119452632,-99.84535567901469,0.7420623501005847,-96.25198123084488
0.215,-96.44282662355893,-99.24500001477462,-99.67173143298085,0.7608434042644459,-96.21866710543743
0.22,-96.49483401438329,-99.26776784516262,-99.75622736372104,0.7572949819976702,-96.18895021828295
0.225,-96.17348899479154,-99.12846670910027,-99.23982501427776,0.7789880396609101,-96.1641066972827
0.23,-96.54568034708359,-99.4973101711413,-99.61545389511784,0.7785974736507943,-96.14443157835774
0.23500000000000001,-96.29589883894494,-98.94661990992235,-99.69825895687342,0.7421842421527798,-96.12924118537147
0.24,-96.23466356041645,-99.41660931979705,-99.07984451448023,0.8047790488722623,-96.117056289997
0.245,-96.23040946453608,-99.03358298705987,-99.45821114826119,0.7609643322181573,-96.10592199130657
0.25,-96.3033466343351,-99.41978989631467,-99.21003570021965,0.797471412129774,-96.09379759017625
0.255,-96.28559293194442,-99.37457601877088,-99.21860996628978,0.7943758086574493,-96.07894056702933
0.26,-96.28666929735007,-98.85831935784152,-99.78495360158895,0.7321577029896439,-96.06021404455274
0.265,-95.82527398990807,-98.59241113788832,-99.09316325089257,0.7565885091428115,-96.03726508194408
0.27,-96.36767035355388,-99.37238922262199,-99.38355857921121,0.7847552037251311,-96.01054782758926
0.275,-96.1277920151231,-99.56919276624399,-98.74594644043643,0.8327172381715597,-95.98119559091084
0.28,-96.16247708906029,-99.0754302538651,-99.27235598787041,0.774063177927134,-95.95077358626534
0.28500000000000003,-95.95526512459982,-99.02728813814845,-98.90470696993036,0.7924542684421584,-95.9209644829589
0.29,-96.23159532135242,-99.36154045034128,-99.1254580689101,0.798986484739381,-95.89324859515375
0.295,-96.13225701922708,-99.17807447141116,-99.10732759503425,0.7894706359416767,-95.8686383281644
0.3,-96.13589731165868,-99.11259173589927,-99.18006486814144,0.7815141367481551,-95.84751338162636
0.305,-96.03200378911598,-99.04126185834913,-99.04334588317481,0.7852781972861737,-95.82958216718235
0.31,-95.83975142045722,-98.86628933048236,-98.8338739101489,0.7872641406571127,-95.81397021092913
0.315,-95.93653195195479,-99.13073732707386,-98.77039876178495,0.8061349712997014,-95.79941271940596
0.32,-95.99976500429696,-98.8517422729678,-99.17437840815637,0.7668300038964672,-95.78451029651399
0.325,-96.0535044230993,-99.16125395882425,-98.96849352995766,0.7964934349467057,-95.76799710416202
0.33,-95.60168699081957,-98.95577508138955,-98.29342817575957,0.8234890182814762,-95.74897093908406
0.335,-95.92772629770752,-99.12853146339188,-98.75552765732856,0.8068633919555208,-95.72704423926005
0.34,-95.76250982326454,-98.69547661544706,-98.85154498997976,0.7764146289567458,-95.70239171751449
0.34500000000000003,-95.98589523740353,-98.6770112517676,-99.34071161218107,0.7472296238293928,-95.67569071414499
0.35000000000000003,-96.00461446248951,-98.92075410651714,-99.111161570305,0.774438306464187,-95.64797050829128
0.355,-95.85696589476103,-98.88134702374659,-98.85323018706622,0.7870166957958443,-95.62040300466508
0.36,-95.59796292516693,-98.77830225323652,-98.44463097985796,0.8046011033970184,-95.59407660339798
0.365,-95.86309253636674,-99.02833521885958,-98.72378774462993,0.8029257343204802,-95.56979623944608
0.37,-95.49574705098387,-98.64483079099753,-98.37156122607792,0.801126229629948,-95.54794570575115
0.375,-95.57660589735674,-98.67353546977391,-98.50197051599747,0.7952735938991415,-95.52843509834723
0.38,-95.73926309358458,-99.1723407383131,-98.36431549822814,0.8318448911052533,-95.51073930191184
0.385,-95.88043560018886,-98.98134929402941,-98.80197386129768,0.795723109465095,-95.49401618213999
0.39,-95.45579384569251,-98.62615025866435,-98.3117270549095,0.8034938663040386,-95.47727879051311
0.395,-95.3629519174971,-98.65198816995202,-98.1113314236598,0.8165007895146899,-95.4595869597822
0.4,-95.24300619808858,-98.46357256952803,-98.05275152804506,0.8090381112110604,-95.44022159406381
0.405,-95.38611616301785,-98.55107504051804,-98.24707597302613,0.8028941848510098,-95.41880981830202
0.41000000000000003,-95.41780157202987,-98.755799422342,-98.1234047448202,0.821769608079415,-95.39537973696515
0.41500000000000004,-95.3606547560847,-98.55168571525368,-98.19744527989283,0.8057842315057894,-95.37033763819363
0.42,-95.18562157470852,-98.11534296249305,-98.2780234557186,0.7760340688815566,-95.34437528921113
0.425,-95.1227223030706,-98.44037481651064,-97.84599098086935,0.819586974574202,-95.31832770915665
0.43,-95.21747658717432,-98.23464651892212,-98.2209174189538,0.7861884735915495,-95.2930101895484
0.435,-95.24223379718458,-98.58301508299522,-97.94543215159166,0.8220674716621956,-95.26906598270406
0.44,-95.06243187703862,-98.4541940180633,-97.72208673686166,0.8274918347064527,-95.24685274415386
0.445,-95.23863032192041,-98.5218392929689,-97.99216151274835,0.8158699871746661,-95.22638737215094
0.45,-95.09635993055693,-98.08632515893201,-98.12709027570551,0.7830515432572144,-95.20735712739041
0.455,-95.34115270432373,-98.33522192423263,-98.36774428388169,0.7835260302589455,-95.1891921743719
0.46,-95.30584715604759,-98.42136310146101,-98.21341999986527,0.7973671872799092,-95.17118338384758
0.465,-95.1526681421918,-98.37849515478707,-97.9576331789803,0.8096154520434194,-95.15262142591187
0.47000000000000003,-94.960890295013,-98.56560007633217,-97.44842808183839,0.8495311716103898,-95.13293018146018
0.47500000000000003,-95.0664003871052,-98.53546255491628,-97.66180230171294,0.8356055026334153,-95.11176967012366
0.48,-95.12074520143233,-98.3732848839091,-97.90160616767687,0.8125368378642782,-95.08909041854086
0.485,-94.94772633424148,-98.26404667396373,-97.67215712191712,0.8194437261944892,-95.06513103098955
0.49,-94.83667211081291,-98.15023495481027,-97.56351049745967,0.8191470824564661,-95.04036170854408
0.495,-94.63497226884753,-97.8798831177215,-97.42268834589119,0.8117042655727554,-95.01538649134004
0.5,-95.00292046171559,-98.5347735100082,-97.54763985685676,0.8421002160016983,-94.99082423217301
0.505,-94.78803115039989,-98.11571039749606,-97.50257446500018,0.8206638292669272,-94.9671915053072
0.51,-95.15757881376089,-98.56832224002731,-97.80126137907645,0.8294964537995138,-94.94480937336614
0.515,-94.70525659878311,-97.88763637577622,-97.55003595711136,0.8048271144222326,-94.92375059378952
0.52,-94.85237564557146,-98.50937624025356,-97.29991024600454,0.8547967204022362,-94.90383560444283
0.525,-94.98492757360728,-98.34024320702747,-97.67561512907001,0.82361995093771,-94.88467614316716
0.53,-94.92658682473854,-98.42476321522676,-97.49832406648517,0.8386274568276445,-94.86575645433048
0.535,-94.62814112949344,-98.20996615595335,-97.13345607545607,0.8472090251438531,-94.84653536301411
0.54,-94.5676924526402,-98.10771797513343,-97.1059119489385,0.8429393198627072,-94.82654921966135
0.545,-94.71907461916294,-98.08733547617868,-97.39868457536362,0.8249986299293016,-94.80549631954815
0.55,-94.68343235642513,-98.10874632210181,-97.31494094746785,0.8310297975457193,-94.78328762159703
0.555,-94.87785990244434,-98.28559768007197,-97.52406309392612,0.8291795634519179,-94.76005550080632
0.56,-94.13660480575427,-97.56929049527258,-96.76198264954081,0.8318037724590337,-94.73612046976936
0.5650000000000001,-94.46963809451829,-97.99579387552026,-97.01890177212503,0.8415144129567895,-94.71192370971511
0.5700000000000001,-94.39474647164286,-98.19557242958672,-96.73649766475096,0.8689970120898903,-94.68793938752991
0.5750000000000001,-94.38932716995666,-98.0746156652735,-96.81557177553529,0.8576220768129499,-94.66458401633452
0.58,-94.44376477178623,-98.12713708796863,-96.87144387307254,0.8574311999141891,-94.6421400333007
0.585,-94.5293261364421,-97.63275744650801,-97.44845001887728,0.7960069557045021,-94.62070745964157
0.59,-94.38954095491562,-98.003476158305,-96.86995920344962,0.8504642210713926,-94.60019171427095
0.595,-94.30197828909616,-97.53497241345644,-97.10044838973744,0.8104009502171672,-94.58032855389705
0.6,-94.18458963087477,-97.90137922294555,-96.58740946201526,0.8607494918182832,-94.56074008966914
0.605,-94.27957945885143,-97.66651961925103,-96.94331243626391,0.8269812964667365,-94.54101020080668
0.61,-94.45619029986185,-97.887121265626,-97.08302574441436,0.8316196488995393,-94.52076443651458
0.615,-94.29842242552928,-97.81055872951141,-96.8589141714841,0.8400699581099315,-94.49973918934619
0.62,-94.47507126176198,-97.85527582134694,-97.14451478922479,0.8262672724868755,-94.47782748905259
