Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_on_data,A_fit,T2_echo_fit_us,C_fit,p_fit
0.01,-1.7068678167920055e-06,-2.0137252668211085e-06,2.6397892329188046e-06,-2.2739053225420487,3.024560677197563e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
0.25995,-1.7145046888786786e-06,-2.130938235813964e-06,2.735036397023064e-06,-2.248322125002533,3.0245605751926547e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
0.5099,-1.6204524395699445e-06,-1.937259666888404e-06,2.5256367763122147e-06,-2.267380724533772,3.02456047364096e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
0.7598499999999999,-1.5842824963466606e-06,-1.9798286486909597e-06,2.535679890366266e-06,-2.245666478901051,3.0245603725404647e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
1.0097999999999998,-1.5863015841183809e-06,-2.0817514182383274e-06,2.617258428797923e-06,-2.2219354320898606,3.0245602718891646e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
1.25975,-1.7493253001920012e-06,-2.052466223204165e-06,2.6968048878785805e-06,-2.2766264981089606,3.0245601716850636e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
1.5096999999999996,-1.7372537574129944e-06,-2.039069745851462e-06,2.678778834859704e-06,-2.2764407823917887,3.024560071926175e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
1.7596499999999997,-1.7734849067361554e-06,-1.8959797605037832e-06,2.5961486796138876e-06,-2.322824668256065,3.0245599726105205e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
2.0096,-1.7527150189165843e-06,-2.0487148645225745e-06,2.696153284524364e-06,-2.2784858900533447,3.0245598737361308e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
2.25955,-1.7278858808306804e-06,-2.1162306355909906e-06,2.7320361857391025e-06,-2.2555129220653094,3.0245597753010454e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
2.5095,-1.8389792916654507e-06,-2.0985481391021582e-06,2.790295526875871e-06,-2.290367945966516,3.0245596773033127e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
2.7594499999999997,-1.791348373088199e-06,-2.012535808552442e-06,2.694295710287119e-06,-2.298112109383009,3.024559579740989e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
3.0093999999999994,-1.7692274103151228e-06,-2.1610046449538904e-06,2.792867111934015e-06,-2.256839730928808,3.02455948261214e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
3.2593499999999995,-1.7557827078112143e-06,-1.991203965441477e-06,2.6547440835302266e-06,-2.2934474800892732,3.0245593859148402e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
3.5092999999999996,-1.853756620120442e-06,-2.040359983027999e-06,2.756715884341798e-06,-2.308311812697859,3.0245592896471715e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
3.7592499999999998,-1.6564091623652185e-06,-2.158344037246636e-06,2.720687467587108e-06,-2.225368726667839,3.0245591938072257e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
4.0092,-1.8721778640572342e-06,-2.149603347240858e-06,2.850586694898966e-06,-2.287322840530368,3.0245590983931015e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
4.25915,-1.8141375823292649e-06,-2.121442259931481e-06,2.791345988916935e-06,-2.278268895371297,3.0245590034029076e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
4.5091,-1.728138728017065e-06,-2.1728878583074304e-06,2.776311421302065e-06,-2.2426763998629515,3.0245589088347605e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
4.759049999999999,-1.7909690714798325e-06,-2.077729174688887e-06,2.743087446355055e-06,-2.282206643872862,3.024558814686785e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
5.0089999999999995,-1.83250165670942e-06,-2.0055842742525084e-06,2.7166947938573683e-06,-2.311128946211152,3.0245587209571138e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
5.25895,-1.7862495979380278e-06,-2.025519969502509e-06,2.7006330318995974e-06,-2.2935052730325807,3.024558627643889e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
5.5089,-1.776214520632722e-06,-2.0184656394428324e-06,2.688706298746275e-06,-2.2924413377215584,3.0245585347452593e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
5.75885,-1.744445504368883e-06,-2.266615690988862e-06,2.8601812544574377e-06,-2.226739971216381,3.0245584422593836e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
6.008799999999999,-1.635099338311651e-06,-2.113064036581045e-06,2.671813891130776e-06,-2.229359326834578,3.024558350184428e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
6.258749999999999,-1.8081941539144093e-06,-2.0543518640976303e-06,2.7367732240307478e-06,-2.292551165929048,3.024558258518566e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
6.508699999999999,-1.6929938071659198e-06,-2.1170813215630477e-06,2.7107676686159026e-06,-2.2453439074612525,3.024558167259981e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
6.758649999999999,-1.8723729956928906e-06,-2.0944961100741693e-06,2.8093939898340702e-06,-2.300258335865863,3.0245580764068623e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
7.0085999999999995,-1.791784008630745e-06,-2.1658794570597694e-06,2.810964915486919e-06,-2.2619501905320742,3.024557985957409e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
7.25855,-1.7279829615007129e-06,-2.2241863404820306e-06,2.816545755428735e-06,-2.2312958707921937,3.024557895909828e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
7.5085,-1.7400737227849586e-06,-2.206760592644047e-06,2.810275586837243e-06,-2.2384976460723105,3.024557806262333e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
