Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_on_data,A_fit,T2_echo_fit_us,fdet_fit_MHz,phi_fit,C_fit
0.01,-6.855845642447381e-07,-3.421669244737062e-07,7.662273807000389e-07,-2.678675032773734,8.55764271088183e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.05995,-6.982305057790649e-07,-3.4247436928571595e-07,7.776982273466603e-07,-2.6855827688481626,8.137673836357148e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.10990000000000001,-6.752284479510083e-07,-3.4858860226372406e-07,7.598996450522295e-07,-2.665027476595284,8.248341648177379e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.15985000000000005,-6.808204218779018e-07,-3.5376636225929426e-07,7.672464310195116e-07,-2.662374313783071,8.584925157091534e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.20980000000000004,-6.840145087975924e-07,-3.5675156056082534e-07,7.714580508415191e-07,-2.660849687679748,8.254830221609268e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.25975000000000004,-6.991693026648277e-07,-3.2855597364944565e-07,7.72519735417521e-07,-2.7022945582364946,8.144405298365288e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.3097000000000001,-7.355473679760184e-07,-3.582981348905421e-07,8.181732603810084e-07,-2.688303902238997,8.539254131341805e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.3596500000000001,-7.104805348009339e-07,-3.454733646522756e-07,7.900217946456827e-07,-2.6890029185386197,8.38635089413445e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.4096000000000001,-6.890180905158315e-07,-3.5481930219845924e-07,7.750113975101812e-07,-2.6660458753562626,8.10214511780265e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.45955000000000007,-7.183455665151967e-07,-3.49454924361875e-07,7.988360890024953e-07,-2.6888259860859502,8.438864940778025e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.5095000000000001,-6.882177764621178e-07,-3.3596470985804076e-07,7.658433221674386e-07,-2.6874567609088316,8.493829421478434e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.5594500000000001,-7.473589660229032e-07,-3.343199231133561e-07,8.187278150187297e-07,-2.720957040920076,8.129123945432485e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.6094000000000002,-7.51622658035678e-07,-3.461441862015964e-07,8.274976844159646e-07,-2.710017217560347,8.316226578387203e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.6593500000000001,-7.140363430471377e-07,-3.4420198465276565e-07,7.926682190116065e-07,-2.692407016622866,8.548458965957094e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.7093000000000002,-6.98282867789013e-07,-3.297662932150523e-07,7.722336250050524e-07,-2.7003878739941602,8.212685513229787e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.7592500000000001,-7.116398872628863e-07,-3.4719090265067066e-07,7.918161731279053e-07,-2.687692472549003,8.20778989376913e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.8092000000000001,-7.294211072112132e-07,-3.5985877819668847e-07,8.133593866738404e-07,-2.683280423401897,8.538525766804385e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.8591500000000002,-7.033109952146492e-07,-3.607341786531063e-07,7.904274183240048e-07,-2.6676716635838273,8.325007951406455e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.9091000000000001,-7.205893440074268e-07,-3.6783674955688346e-07,8.090444221559327e-07,-2.6696069147869297,8.143343222902385e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
0.9590500000000002,-7.009304378231872e-07,-3.5793286710738266e-07,7.870320298581984e-07,-2.6694582898884702,8.471505599191863e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
1.009,-7.096154219547759e-07,-3.549482811103422e-07,7.934370355228204e-07,-2.6777865824249414,8.432102320594868e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
1.05895,-7.432959598198957e-07,-3.196508042022856e-07,8.091140343065049e-07,-2.735456512229942,8.138028329664963e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
1.1089,-7.476838353334638e-07,-3.562255265926697e-07,8.282075485137665e-07,-2.69697110861842,8.370556493290263e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
1.1588500000000002,-7.204324504437758e-07,-3.3799029255836287e-07,7.957765726107494e-07,-2.7029288747941544,8.503914935755005e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
1.2088,-7.625365305150879e-07,-3.617191619032023e-07,8.439802796617601e-07,-2.698664131393251,8.189093562415795e-07,2.6000607855305084e-08,8.013023624031863,-3.045292956936453,-0.1566436933764334,8.335099405021505e-07
