# freq_Hz, amplitude_dBm
7.125000000000000000e+09,-9.288692154552231273e+01
7.125063333333333015e+09,-9.257089779330493684e+01
7.125126666666666985e+09,-9.204999821229792190e+01
7.125190000000000000e+09,-9.183983181185510603e+01
7.125253333333333015e+09,-9.142697579255113283e+01
7.125316666666666985e+09,-9.245549283484407965e+01
7.125380000000000000e+09,-9.201366352219538669e+01
7.125443333333333015e+09,-9.144560044565884027e+01
7.125506666666666985e+09,-9.193320139259759571e+01
7.125570000000000000e+09,-9.157969629285565816e+01
7.125633333333333015e+09,-9.218151893131918939e+01
7.125696666666666985e+09,-9.250971648993299823e+01
7.125760000000000000e+09,-9.224531777389688614e+01
7.125823333333333015e+09,-9.255997566004559474e+01
7.125886666666666985e+09,-9.242884958128590256e+01
7.125950000000000000e+09,-9.250967678897629298e+01
7.126013333333333015e+09,-9.306502243714695055e+01
7.126076666666666985e+09,-9.187620785131727530e+01
7.126140000000000000e+09,-9.238855662145502379e+01
7.126203333333333015e+09,-9.186794342812795833e+01
7.126266666666666985e+09,-9.241315656242507259e+01
7.126330000000000000e+09,-9.126516244752691875e+01
7.126393333333333015e+09,-9.223602627511452567e+01
7.126456666666666985e+09,-9.328133038387774434e+01
7.126520000000000000e+09,-9.184954422660197793e+01
7.126583333333333015e+09,-9.247857209935509104e+01
7.126646666666666985e+09,-9.395345713942677435e+01
7.126710000000000000e+09,-9.248586306063573659e+01
7.126773333333333015e+09,-9.281968563123615468e+01
7.126836666666666985e+09,-9.250602546411805349e+01
7.126900000000000000e+09,-9.273411069872709334e+01
7.126963333333333015e+09,-9.400358451058279741e+01
7.127026666666666985e+09,-9.178578697002159004e+01
7.127090000000000000e+09,-9.216243778593172919e+01
7.127153333333333015e+09,-9.275120968568683111e+01
7.127216666666666985e+09,-9.225079195534534904e+01
7.127280000000000000e+09,-9.388328104955041908e+01
7.127343333333333015e+09,-9.216911317819591432e+01
7.127406666666666985e+09,-9.300005881486471537e+01
7.127470000000000000e+09,-9.246561621894407779e+01
7.127533333333333015e+09,-9.110282309164026060e+01
7.127596666666666985e+09,-9.274909963041422145e+01
7.127660000000000000e+09,-9.225775663003102522e+01
7.127723333333333015e+09,-9.288133162812977162e+01
7.127786666666666985e+09,-9.230164330410639195e+01
7.127850000000000000e+09,-9.259910682241323343e+01
7.127913333333333015e+09,-9.252889745234475072e+01
7.127976666666666985e+09,-9.331513240717336544e+01
7.128040000000000000e+09,-9.249411718866988963e+01
7.128103333333333015e+09,-9.133795229637112811e+01
7.128166666666666985e+09,-9.201332769587517646e+01
7.128230000000000000e+09,-9.298038688515482875e+01
7.128293333333333015e+09,-9.208856115020645916e+01
7.128356666666666985e+09,-9.344770827348291675e+01
7.128420000000000000e+09,-9.262560313073279872e+01
7.128483333333333015e+09,-9.196685929795984293e+01
7.128546666666666985e+09,-9.280823713372051031e+01
7.128610000000000000e+09,-9.268697474355670352e+01
7.128673333333333015e+09,-9.146003612229144153e+01
7.128736666666666985e+09,-9.224110169645554436e+01
7.128800000000000000e+09,-9.159961115194370507e+01
7.128863333333333015e+09,-9.228723613755917654e+01
7.128926666666666985e+09,-9.230413161104137032e+01
7.128990000000000000e+09,-9.299805141062634561e+01
7.129053333333333015e+09,-9.094893887173120106e+01
7.129116666666666985e+09,-9.293843569010881822e+01
7.129180000000000000e+09,-9.159962005645370198e+01
7.129243333333333015e+09,-9.258939908721188772e+01
7.129306666666666985e+09,-9.216675819425098837e+01
7.129370000000000000e+09,-9.266515922424724749e+01
7.129433333333333015e+09,-9.258291549781395702e+01
7.129496666666666985e+09,-9.243295102952515663e+01
7.129560000000000000e+09,-9.190771164621180844e+01
7.129623333333333015e+09,-9.214019483736927896e+01
7.129686666666666985e+09,-9.177942997643170031e+01
7.129750000000000000e+09,-9.240515731316040160e+01
7.129813333333333015e+09,-9.215382649670010551e+01
7.129876666666666985e+09,-9.229249855854797602e+01
7.129940000000000000e+09,-9.342947822555157700e+01
7.130003333333333015e+09,-9.168154998122318489e+01
7.130066666666666985e+09,-9.244919090748342683e+01
7.130130000000000000e+09,-9.209791665392683058e+01
7.130193333333333015e+09,-9.188813416811260026e+01
7.130256666666666985e+09,-9.245942588902805426e+01
7.130320000000000000e+09,-9.132630307169834794e+01
7.130383333333333015e+09,-9.234077740595209605e+01
7.130446666666666985e+09,-9.190286620594136480e+01
7.130510000000000000e+09,-9.193410779907603114e+01
7.130573333333333015e+09,-9.077802611682676570e+01
7.130636666666666985e+09,-9.286492850267167398e+01
7.130700000000000000e+09,-9.246218338925636715e+01
7.130763333333333015e+09,-9.267646773216961265e+01
7.130826666666666985e+09,-9.247080161488646866e+01
7.130890000000000000e+09,-9.241864107441564613e+01
7.130953333333333015e+09,-9.306741558060312514e+01
7.131016666666666985e+09,-9.228580867645953845e+01
7.131080000000000000e+09,-9.260044661914272979e+01
7.131143333333333015e+09,-9.202896991866649046e+01
7.131206666666666985e+09,-9.316292511622471295e+01
7.131270000000000000e+09,-9.159656117492012584e+01
7.131333333333333015e+09,-9.313470849007461538e+01
7.131396666666666985e+09,-9.263445139459764732e+01
7.131460000000000000e+09,-9.227787246014244715e+01
7.131523333333333015e+09,-9.254666966490340485e+01
7.131586666666666985e+09,-9.178005799532778042e+01
7.131650000000000000e+09,-9.243176253204119064e+01
7.131713333333333015e+09,-9.214260797070409126e+01
7.131776666666666985e+09,-9.240610605791040655e+01
7.131840000000000000e+09,-9.288325272300737367e+01
7.131903333333333015e+09,-9.264746970246952174e+01
7.131966666666666985e+09,-9.296304415315736946e+01
7.132030000000000000e+09,-9.258126628290546023e+01
7.132093333333333015e+09,-9.279592957281536769e+01
7.132156666666666985e+09,-9.277852410711790299e+01
7.132220000000000000e+09,-9.279635208515438194e+01
7.132283333333333015e+09,-9.320457830974979174e+01
7.132346666666666985e+09,-9.157006021621837988e+01
7.132410000000000000e+09,-9.246118329215258314e+01
7.132473333333333015e+09,-9.096345412529500152e+01
7.132536666666666985e+09,-9.260148747023242777e+01
7.132600000000000000e+09,-9.236439731837100453e+01
7.132663333333333015e+09,-9.312570048163833292e+01
7.132726666666666985e+09,-9.277484325290630807e+01
7.132790000000000000e+09,-9.149144558539705940e+01
7.132853333333333015e+09,-9.202576888317388182e+01
7.132916666666666985e+09,-9.258025563838512539e+01
7.132980000000000000e+09,-9.227926391702247599e+01
7.133043333333333015e+09,-9.237668488682295731e+01
7.133106666666666985e+09,-9.185760183044672544e+01
7.133170000000000000e+09,-9.197308314907481019e+01
7.133233333333333015e+09,-9.118231806055355548e+01
7.133296666666666985e+09,-9.316379977240680432e+01
7.133360000000000000e+09,-9.241448965843920860e+01
7.133423333333333015e+09,-9.178273694625235635e+01
7.133486666666666985e+09,-9.255608211070526181e+01
7.133550000000000000e+09,-9.322409923972770684e+01
7.133613333333333015e+09,-9.220960014630128398e+01
7.133676666666666985e+09,-9.059358414713402397e+01
7.133740000000000000e+09,-9.329442132163050871e+01
7.133803333333333015e+09,-9.183740496029898281e+01
7.133866666666666985e+09,-9.283293514607660768e+01
7.133930000000000000e+09,-9.196046444911425510e+01
7.133993333333333015e+09,-9.223587361628065651e+01
7.134056666666666985e+09,-9.209143515298995908e+01
7.134120000000000000e+09,-9.240691063193806087e+01
7.134183333333333015e+09,-9.249689077861781072e+01
7.134246666666666985e+09,-9.308230556341544570e+01
7.134310000000000000e+09,-9.250677802638145408e+01
7.134373333333333015e+09,-9.241853575839519408e+01
7.134436666666666985e+09,-9.166970142478123762e+01
7.134500000000000000e+09,-9.342583081711592286e+01
7.134563333333333015e+09,-9.178513715569607712e+01
7.134626666666666985e+09,-9.283605996500283197e+01
7.134690000000000000e+09,-9.318822935923327577e+01
7.134753333333333015e+09,-9.199758260824553702e+01
7.134816666666666985e+09,-9.172482396147147199e+01
7.134880000000000000e+09,-9.268664670667149608e+01
7.134943333333333015e+09,-9.164671428350240490e+01
7.135006666666666985e+09,-9.305674825426038410e+01
7.135070000000000000e+09,-9.346115994163662322e+01
7.135133333333333015e+09,-9.231877222385057280e+01
7.135196666666666985e+09,-9.260455730302001598e+01
7.135260000000000000e+09,-9.295755673172870104e+01
7.135323333333333015e+09,-9.198020482620684390e+01
7.135386666666666985e+09,-9.215996936516049232e+01
7.135450000000000000e+09,-9.300780723002171158e+01
7.135513333333333015e+09,-9.284202916896630597e+01
7.135576666666666985e+09,-9.167979833511219567e+01
7.135640000000000000e+09,-9.227536425741369897e+01
7.135703333333333015e+09,-9.199276734102465980e+01
7.135766666666666985e+09,-9.314034578465326319e+01
7.135830000000000000e+09,-9.278649568082880705e+01
7.135893333333333015e+09,-9.215331341892982664e+01
7.135956666666666985e+09,-9.095359002222932077e+01
7.136020000000000000e+09,-9.097674777448895611e+01
7.136083333333333015e+09,-9.211604565936964661e+01
7.136146666666666985e+09,-9.239530295910205382e+01
7.136210000000000000e+09,-9.174008902365628160e+01
7.136273333333333015e+09,-9.182268518596958984e+01
7.136336666666666985e+09,-9.357087532044936040e+01
7.136400000000000000e+09,-9.172067502476289746e+01
7.136463333333333015e+09,-9.227051406035322145e+01
7.136526666666666985e+09,-9.217206178736168454e+01
7.136590000000000000e+09,-9.256484719406827821e+01
7.136653333333333015e+09,-9.189081420031884306e+01
7.136716666666666985e+09,-9.324576936255834880e+01
7.136780000000000000e+09,-9.209338308092257819e+01
7.136843333333333015e+09,-9.119061994620949463e+01
7.136906666666666985e+09,-9.213951081117214414e+01
7.136970000000000000e+09,-9.249975449061977884e+01
7.137033333333333015e+09,-9.194840716019393767e+01
7.137096666666666985e+09,-9.323391498673331057e+01
7.137160000000000000e+09,-9.232272974125874043e+01
7.137223333333333015e+09,-9.272742030880353070e+01
7.137286666666666985e+09,-9.227938065234820897e+01
7.137350000000000000e+09,-9.267798328051071621e+01
7.137413333333333015e+09,-9.146279536495117668e+01
7.137476666666666985e+09,-9.193603614680363023e+01
7.137540000000000000e+09,-9.282185263744877091e+01
7.137603333333333015e+09,-9.187273034166187813e+01
7.137666666666666985e+09,-9.239431075678595562e+01
7.137730000000000000e+09,-9.234153731352489558e+01
7.137793333333333015e+09,-9.211067733805954560e+01
7.137856666666666985e+09,-9.243228696237353859e+01
7.137920000000000000e+09,-9.173959135835973200e+01
7.137983333333333015e+09,-9.309874370926833365e+01
7.138046666666666985e+09,-9.252803763133555037e+01
7.138110000000000000e+09,-9.261876214216476910e+01
7.138173333333333015e+09,-9.218380905697955541e+01
7.138236666666666985e+09,-9.273170793862755090e+01
7.138300000000000000e+09,-9.229368811122003535e+01
7.138363333333333015e+09,-9.305337225553034841e+01
7.138426666666666985e+09,-9.264121059313295348e+01
7.138490000000000000e+09,-9.182533408720038892e+01
7.138553333333333015e+09,-9.173763468282422195e+01
7.138616666666666985e+09,-9.213463761198437396e+01
7.138680000000000000e+09,-9.155306739831181062e+01
