# freq_Hz, abs_amp(|S21|), amplitude_dBm
6.962352596086724281e+09,8.592560412199783050e-05,-6.830724815858540921e+01
6.962354996086724281e+09,8.833240113415363813e-05,-6.806729932341637834e+01
6.962357396086724281e+09,8.824232683493148739e-05,-6.807616101613008652e+01
6.962359796086724281e+09,8.807276402854322442e-05,-6.809286751890132905e+01
6.962362196086724281e+09,8.797785281893640236e-05,-6.810223287514590140e+01
6.962364596086724281e+09,8.777738476365097694e-05,-6.812204729641983647e+01
6.962366996086724281e+09,8.799380244137030508e-05,-6.810065834133358464e+01
6.962369396086724281e+09,8.783203054677011894e-05,-6.811664158106181333e+01
6.962371796086724281e+09,8.783815062279451880e-05,-6.811603637527683475e+01
6.962374196086724281e+09,8.787455717439676846e-05,-6.811243705343143517e+01
6.962376596086724281e+09,8.784492432643880222e-05,-6.811536658232903108e+01
6.962378996086724281e+09,8.775087916565958972e-05,-6.812467051726804357e+01
6.962381396086724281e+09,8.767644318900786422e-05,-6.813204157792634419e+01
6.962383796086724281e+09,8.748669899593277245e-05,-6.815085943817467751e+01
6.962386196086724281e+09,8.757108154703432186e-05,-6.814248577342537772e+01
6.962388596086724281e+09,8.751728148740635057e-05,-6.814782366552806536e+01
6.962390996086724281e+09,8.734124552242700419e-05,-6.816531242637778121e+01
6.962393396086724281e+09,8.734516040233750145e-05,-6.816492310913612584e+01
6.962395796086724281e+09,8.732129798299938619e-05,-6.816729639069313862e+01
6.962398196086724281e+09,8.732060816570674344e-05,-6.816736500740726967e+01
6.962400596086724281e+09,8.737515964093265784e-05,-6.816194039850282138e+01
6.962402996086724281e+09,8.714949984128457538e-05,-6.818440206338854637e+01
6.962405396086724281e+09,8.711288172427677742e-05,-6.818805243158513463e+01
6.962407796086724281e+09,8.690281354650920126e-05,-6.820902329736885861e+01
6.962410196086724281e+09,8.679558163166822805e-05,-6.821974768771634956e+01
6.962412596086724281e+09,8.689388907846087352e-05,-6.820991533897199588e+01
6.962414996086724281e+09,8.686103684917898904e-05,-6.821319985985431344e+01
6.962417396086724281e+09,8.659138890883856250e-05,-6.824020592941471364e+01
6.962419796086724281e+09,8.643468126829882009e-05,-6.825593934625699433e+01
6.962422196086724281e+09,8.659296197558537158e-05,-6.824004813820452853e+01
6.962424596086724281e+09,8.654316268977019916e-05,-6.824504479749107588e+01
6.962426996086724281e+09,8.646025591089425073e-05,-6.825336971028777100e+01
6.962429396086724281e+09,8.628422399533992491e-05,-6.827107209153155054e+01
6.962431796086724281e+09,8.612002830651488297e-05,-6.828761676539362213e+01
6.962434196086724281e+09,8.599379796639126179e-05,-6.830035743851232155e+01
6.962436596086724281e+09,8.586898561270517836e-05,-6.831297339291033666e+01
6.962438996086724281e+09,8.588829963267685316e-05,-6.831101994509694464e+01
6.962441396086724281e+09,8.570522360335343717e-05,-6.832955419696686761e+01
6.962443796086724281e+09,8.557077302409224300e-05,-6.834319093715356530e+01
6.962446196086724281e+09,8.553558550592418072e-05,-6.834676339239577203e+01
6.962448596086724281e+09,8.529672968084122601e-05,-6.837105243496671392e+01
6.962450996086724281e+09,8.532101959625023268e-05,-6.836857930978624154e+01
6.962453396086724281e+09,8.530627924827683176e-05,-6.837008004310276021e+01
6.962455796086724281e+09,8.506579526242637310e-05,-6.839460071357143534e+01
6.962458196086724281e+09,8.492403021123886750e-05,-6.840908812034633968e+01
6.962460596086724281e+09,8.493454833757514472e-05,-6.840801241035920555e+01
