# freq_Hz, abs_amp(|S21|), amplitude_dBm
6.774713959228779793e+09,8.978354249824508813e-05,-6.792576530494162057e+01
6.774716359228779793e+09,9.179876132596864865e-05,-6.773296362040855456e+01
6.774718759228779793e+09,9.158716942307493713e-05,-6.775300730342065947e+01
6.774721159228779793e+09,9.154611392938265908e-05,-6.775690177292062799e+01
6.774723559228779793e+09,9.144166768337222146e-05,-6.776681728374306601e+01
6.774725959228779793e+09,9.126885737017017457e-05,-6.778324777406032808e+01
6.774728359228779793e+09,9.118095779712803164e-05,-6.779161704589594706e+01
6.774730759228779793e+09,9.112863731806754102e-05,-6.779660252040285684e+01
6.774733159228779793e+09,9.099335384854089631e-05,-6.780950659085321774e+01
6.774735559228779793e+09,9.092429617968144663e-05,-6.781610108368110446e+01
6.774737959228779793e+09,9.076509563407668304e-05,-6.783132265175976272e+01
6.774740359228779793e+09,9.072915965467129719e-05,-6.783476227528650782e+01
6.774742759228779793e+09,9.044681740769859677e-05,-6.786183424831962441e+01
6.774745159228779793e+09,9.045580385644748508e-05,-6.786097129452060983e+01
6.774747559228779793e+09,9.038997011738478520e-05,-6.786729518702475161e+01
6.774749959228779793e+09,9.021215322749080463e-05,-6.788439906544958546e+01
6.774752359228779793e+09,9.012494641124949263e-05,-6.789279965348301005e+01
6.774754759228779793e+09,8.995132029692578884e-05,-6.790954919813097490e+01
6.774757159228779793e+09,8.992578086659351719e-05,-6.791201568967815660e+01
6.774759559228779793e+09,8.973369399991966877e-05,-6.793058911545310252e+01
6.774761959228779793e+09,8.971219522571146244e-05,-6.793267036659601388e+01
6.774764359228779793e+09,8.960201970097170286e-05,-6.794334406103259028e+01
6.774766759228779793e+09,8.928607629491664495e-05,-6.797402527986903920e+01
6.774769159228779793e+09,8.923620812672060777e-05,-6.797887788880883875e+01
6.774771559228779793e+09,8.918319782180234500e-05,-6.798403922951952438e+01
6.774773959228779793e+09,8.898564401214174055e-05,-6.800330108556394748e+01
6.774776359228779793e+09,8.884608306406889771e-05,-6.801693432482379365e+01
6.774778759228779793e+09,8.869902847657207864e-05,-6.803132278304458680e+01
6.774781159228779793e+09,8.862729515570192567e-05,-6.803835014062664754e+01
6.774783559228779793e+09,8.855136420897360798e-05,-6.804579491830062921e+01
6.774785959228779793e+09,8.844759092250220318e-05,-6.805597987579122332e+01
6.774788359228779793e+09,8.831396759868317666e-05,-6.806911211647252458e+01
6.774790759228779793e+09,8.821300527671813976e-05,-6.807904768232432957e+01
6.774793159228779793e+09,8.804224520239962580e-05,-6.809587786037735668e+01
6.774795559228779793e+09,8.788318619435298452e-05,-6.811158416679727168e+01
6.774797959228779793e+09,8.764269542521869810e-05,-6.813538552950791427e+01
6.774800359228779793e+09,8.754899457076378171e-05,-6.814467678479991264e+01
6.774802759228779793e+09,8.736912432175877603e-05,-6.816254038512448687e+01
6.774805159228779793e+09,8.721579560947852433e-05,-6.817779710507659274e+01
6.774807559228779793e+09,8.710832494483897409e-05,-6.818850679284307148e+01
6.774809959228779793e+09,8.705538242133151227e-05,-6.819378749038293108e+01
6.774812359228779793e+09,8.676957148729552444e-05,-6.822235098960180721e+01
6.774814759228779793e+09,8.665071673260981843e-05,-6.823425685660726003e+01
6.774817159228779793e+09,8.643349507300969123e-05,-6.825605854877986189e+01
6.774819559228779793e+09,8.631441698086003830e-05,-6.826803321542843150e+01
6.774821959228779793e+09,8.624121553747099878e-05,-6.827540266129915381e+01
6.774824359228779793e+09,8.613322445670013071e-05,-6.828628593067739416e+01
6.774826759228779793e+09,8.597270246257975935e-05,-6.830248847238726739e+01
6.774829159228779793e+09,8.570619474219369363e-05,-6.832945577639638657e+01
6.774831559228779793e+09,8.553264132546753830e-05,-6.834706237049354627e+01
6.774833959228779793e+09,8.539493939825624819e-05,-6.836105735007960504e+01
6.774836359228779793e+09,8.523938462646956445e-05,-6.837689392882691664e+01
6.774838759228779793e+09,8.511641597429051129e-05,-6.838943347633289704e+01
6.774841159228779793e+09,8.491969908520880742e-05,-6.840953111206430037e+01
6.774843559228779793e+09,8.468089951006877510e-05,-6.843399079137149954e+01
6.774845959228779793e+09,8.466659917057431318e-05,-6.843545772973077135e+01
6.774848359228779793e+09,8.438771533817204221e-05,-6.846411545898821771e+01
6.774850759228779793e+09,8.435125568306912403e-05,-6.846786900262402753e+01
6.774853159228779793e+09,8.396327290693965026e-05,-6.850791286065556562e+01
6.774855559228779793e+09,8.394611089752358497e-05,-6.850968842932120140e+01
6.774857959228779793e+09,8.370986245960333554e-05,-6.853416747621760408e+01
6.774860359228779793e+09,8.360496144196710429e-05,-6.854505902497879788e+01
6.774862759228779793e+09,8.346506385380763227e-05,-6.855960544398172374e+01
6.774865159228779793e+09,8.317627529338198075e-05,-6.858971067583540560e+01
6.774867559228779793e+09,8.304344039360906965e-05,-6.860359337946492531e+01
6.774869959228779793e+09,8.279610670383664181e-05,-6.862950173200881920e+01
6.774872359228779793e+09,8.265079470079834858e-05,-6.864475936857148497e+01
6.774874759228779793e+09,8.247111278305770414e-05,-6.866366295256293029e+01
6.774877159228779793e+09,8.238178348460193994e-05,-6.867307624794737819e+01
6.774879559228779793e+09,8.200270202410013943e-05,-6.871313678719238283e+01
6.774881959228779793e+09,8.182544811082586764e-05,-6.873193219601695603e+01
6.774884359228779793e+09,8.149036938254848182e-05,-6.876757431546968746e+01
6.774886759228779793e+09,8.140156109306850743e-05,-6.877704536876919406e+01
6.774889159228779793e+09,8.114602565991458076e-05,-6.880435496399346107e+01
6.774891559228779793e+09,8.098941407639167122e-05,-6.882113490249180643e+01
6.774893959228779793e+09,8.079814288017015994e-05,-6.884167246800788575e+01
6.774896359228779793e+09,8.064711969875449119e-05,-6.885792281872411991e+01
6.774898759228779793e+09,8.049468765164639167e-05,-6.887435565332083343e+01
6.774901159228779793e+09,8.021524615149276064e-05,-6.890456163274387791e+01
6.774903559228779793e+09,8.002173790616416260e-05,-6.892554046094572584e+01
6.774905959228779793e+09,7.983353891520280721e-05,-6.894599241540403511e+01
6.774908359228779793e+09,7.968530350936712777e-05,-6.896213542053860124e+01
6.774910759228779793e+09,7.952502663031818487e-05,-6.897962357915265841e+01
6.774913159228779793e+09,7.926080605665836068e-05,-6.900853035027066085e+01
6.774915559228779793e+09,7.896115160055421816e-05,-6.904143057076714740e+01
6.774917959228779793e+09,7.887396401792188790e-05,-6.905102668370582819e+01
6.774920359228779793e+09,7.860570129984501616e-05,-6.908061910901832903e+01
6.774922759228779793e+09,7.834975391819603880e-05,-6.910894730796677266e+01
6.774925159228779793e+09,7.818693442420232109e-05,-6.912701633294413739e+01
6.774927559228779793e+09,7.799555020249147852e-05,-6.914830352227610888e+01
6.774929959228779793e+09,7.780810708048431555e-05,-6.916920304524060725e+01
6.774932359228779793e+09,7.743861822582940235e-05,-6.921054814243903763e+01
6.774934759228779793e+09,7.722763510740196990e-05,-6.923424532497705286e+01
6.774937159228779793e+09,7.709087661351888448e-05,-6.924964036064271511e+01
6.774939559228779793e+09,7.680498453771783670e-05,-6.928191192216242200e+01
6.774941959228779793e+09,7.657021918710284192e-05,-6.930850223753652983e+01
6.774944359228779793e+09,7.629605775767765805e-05,-6.933965807543384585e+01
6.774946759228779793e+09,7.609835715115981800e-05,-6.936219442119113410e+01
