# q_label, peak_index, center_Hz_request, fr_fit_Hz, Ql, Qc_mag, Qi, phi_rad, a_mag, method
q1,1,7148833672.933885,7148858608.092406,27037.435841957573,98688.54976281851,37239.9699953748,-0.4160909278030259,5.3551428672653885e-06,scipy
q2,2,7181253676.932093,7181280388.240062,39075.019434096976,80461.25860582977,75967.8894878204,-0.2307282243984476,5.085692574171639e-06,scipy
q3,3,7206416948.421501,7206427059.127405,43866.397772765755,90244.85519681619,85356.80000767593,-0.1958055207913555,4.595044154701012e-06,scipy
q4,4,7230259090.416437,7230263933.901793,38777.12492241465,62825.601520851356,101303.55611208505,-0.11071825363870165,4.378476159840592e-06,scipy
q5,5,7262008640.703371,7262029321.138432,34301.246823314854,53358.35297111011,96040.71159352537,-0.18928620200845017,3.962218915834329e-06,scipy
q6,6,7290479152.151242,7290477569.3898325,30518.192850965806,42756.648666102636,106619.304703395,-0.11390866920869791,3.6853881244582258e-06,scipy
