# freq_Hz, abs_amp(|S21|), amplitude_dBm
6.843002540986813545e+09,2.449773301877881737e-06,-9.920718209728364911e+01
6.843004940986813545e+09,2.514088819608988723e-06,-9.898208770933932499e+01
6.843007340986813545e+09,2.533979844498279360e-06,-9.891363692047795553e+01
6.843009740986813545e+09,2.503846412754906122e-06,-9.901754633325339228e+01
6.843012140986813545e+09,2.532272260969472455e-06,-9.891949209007152888e+01
6.843014540986813545e+09,2.449073681070387708e-06,-9.920966301950264210e+01
6.843016940986813545e+09,2.478808882322727726e-06,-9.910483916957922190e+01
6.843019340986813545e+09,2.512943282193007676e-06,-9.898604631216586824e+01
6.843021740986813545e+09,2.443155694656782325e-06,-9.923067716172414521e+01
6.843024140986813545e+09,2.485906228134025102e-06,-9.908000519499535130e+01
6.843026540986813545e+09,2.482206738263439756e-06,-9.909294103880149862e+01
6.843028940986813545e+09,2.473720421526425038e-06,-9.912268775632959716e+01
6.843031340986813545e+09,2.488095228424202993e-06,-9.907236007613812490e+01
6.843033740986813545e+09,2.493454625375684919e-06,-9.905367065225455292e+01
6.843036140986813545e+09,2.406483863095813161e-06,-9.936204096694837062e+01
6.843038540986813545e+09,2.496613244939475293e-06,-9.904267463964836793e+01
6.843040940986813545e+09,2.492040802409433721e-06,-9.905859706759670757e+01
6.843043340986813545e+09,2.511570621690639602e-06,-9.899079215550864319e+01
6.843045740986813545e+09,2.457028108390066975e-06,-9.918149754665336104e+01
6.843048140986813545e+09,2.436573493784820897e-06,-9.925410973464634878e+01
6.843050540986813545e+09,2.441311145686728904e-06,-9.923723736576327781e+01
6.843052940986813545e+09,2.432363054369765686e-06,-9.926913207919378124e+01
6.843055340986813545e+09,2.475095041359125809e-06,-9.911786244144050784e+01
6.843057740986813545e+09,2.466463152025081675e-06,-9.914820741015161332e+01
6.843060140986813545e+09,2.405747428368978768e-06,-9.936469943884027600e+01
6.843062540986813545e+09,2.366268607993448788e-06,-9.950841919907708188e+01
6.843064940986813545e+09,2.463030974286499881e-06,-9.916030257493278555e+01
6.843067340986813545e+09,2.418666406722686529e-06,-9.931818059022072021e+01
6.843069740986813545e+09,2.427707270550647617e-06,-9.928577366423203898e+01
6.843072140986813545e+09,2.436168687108567692e-06,-9.925555290811715281e+01
6.843074540986813545e+09,2.426875359531946098e-06,-9.928875059877756826e+01
6.843076940986813545e+09,2.400091278412526245e-06,-9.938514486781926394e+01
6.843079340986813545e+09,2.380147069139893682e-06,-9.945762418506548386e+01
6.843081740986813545e+09,2.355462530510164519e-06,-9.954817604145361543e+01
6.843084140986813545e+09,2.366878384294311435e-06,-9.950618117448534861e+01
6.843086540986813545e+09,2.463128773913837433e-06,-9.915995769096099366e+01
6.843088940986813545e+09,2.401171684234719362e-06,-9.938123577724567781e+01
6.843091340986813545e+09,2.402890558858928841e-06,-9.937502022250505718e+01
6.843093740986813545e+09,2.320841620784520297e-06,-9.967678995777681905e+01
6.843096140986813545e+09,2.333207160873800976e-06,-9.963063403019269515e+01
6.843098540986813545e+09,2.393651408297920515e-06,-9.940848197137439968e+01
6.843100940986813545e+09,2.373654204663798684e-06,-9.948135102432308940e+01
6.843103340986813545e+09,2.322266654140617357e-06,-9.967145832124484173e+01
6.843105740986813545e+09,2.337791335957007784e-06,-9.961358514796118868e+01
6.843108140986813545e+09,2.363128111475577543e-06,-9.951995471271247595e+01
6.843110540986813545e+09,2.359283491969434236e-06,-9.953409746472678421e+01
6.843112940986813545e+09,2.336545352015971834e-06,-9.961821574262366141e+01
6.843115340986813545e+09,2.304497439088859947e-06,-9.973817544648348132e+01
6.843117740986813545e+09,2.319380606441645449e-06,-9.968225961381472189e+01
6.843120140986813545e+09,2.390401970162376815e-06,-9.942028128176607993e+01
6.843122540986813545e+09,2.398690858781815734e-06,-9.939021444187238785e+01
6.843124940986813545e+09,2.348536475679919180e-06,-9.957375384930443829e+01
6.843127340986813545e+09,2.266083023298459398e-06,-9.988418369892141868e+01
6.843129740986813545e+09,2.364781840899447327e-06,-9.951387840753854164e+01
6.843132140986813545e+09,2.325134433155326628e-06,-9.966073868903670530e+01
6.843134540986813545e+09,2.348343376687885026e-06,-9.957446804110313110e+01
6.843136940986813545e+09,2.285111723789804657e-06,-9.981155127393650162e+01
6.843139340986813545e+09,2.305799303182501428e-06,-9.973326997129444749e+01
6.843141740986813545e+09,2.304942825828339323e-06,-9.973649689991162859e+01
6.843144140986813545e+09,2.372570396701027472e-06,-9.948531789791536539e+01
6.843146540986813545e+09,2.331356191258677760e-06,-9.963752741653159717e+01
6.843148940986813545e+09,2.303807960738638504e-06,-9.974077455065865649e+01
6.843151340986813545e+09,2.263407498246073758e-06,-9.989444503755153448e+01
6.843153740986813545e+09,2.258267923935117433e-06,-9.991419072485055608e+01
6.843156140986813545e+09,2.310689395741781827e-06,-9.971486861782162237e+01
6.843158540986813545e+09,2.308021573018224740e-06,-9.972490276652004582e+01
6.843160940986813545e+09,2.310372649554933776e-06,-9.971605934947577055e+01
6.843163340986813545e+09,2.248414884707722851e-06,-9.995217100938523913e+01
6.843165740986813545e+09,2.295072085593998070e-06,-9.977377342773297642e+01
6.843168140986813545e+09,2.324968142732788984e-06,-9.966135991415382023e+01
6.843170540986813545e+09,2.233076742832376706e-06,-1.000116270739518285e+02
6.843172940986813545e+09,2.240913532321562050e-06,-9.998119805911230173e+01
6.843175340986813545e+09,2.273175443435340700e-06,-9.985704092696501277e+01
6.843177740986813545e+09,2.206254360896144751e-06,-1.001165884201215590e+02
6.843180140986813545e+09,2.194769996937025265e-06,-1.001619197503839445e+02
6.843182540986813545e+09,2.238662284353055862e-06,-9.998992839155843626e+01
6.843184940986813545e+09,2.200884110162527125e-06,-1.001377565447875213e+02
6.843187340986813545e+09,2.209153573242853660e-06,-1.001051818898641272e+02
6.843189740986813545e+09,2.265840732544008949e-06,-9.988511244833064495e+01
6.843192140986813545e+09,2.204712463131175163e-06,-1.001226609003280714e+02
6.843194540986813545e+09,2.159734631276214262e-06,-1.003016921986049823e+02
6.843196940986813545e+09,2.174212677741342302e-06,-1.002436595680247677e+02
6.843199340986813545e+09,2.214406533813782892e-06,-1.000845529592585734e+02
6.843201740986813545e+09,2.166655075321492336e-06,-1.002739044732413731e+02
6.843204140986813545e+09,2.159013965141112451e-06,-1.003045910135897998e+02
