# freq_Hz, abs_amp(|S21|), amplitude_dBm
7.261430487599661827e+09,3.950036747034526629e-06,-9.505767732596977737e+01
7.261434487599661827e+09,4.013344812096542806e-06,-9.491957055634527762e+01
7.261438487599661827e+09,3.965679618292135274e-06,-9.502334753850169591e+01
7.261442487599661827e+09,4.117658876282572613e-06,-9.469669274256965252e+01
7.261446487599661827e+09,4.100939428700686270e-06,-9.473203294815095887e+01
7.261450487599661827e+09,4.019862972224483404e-06,-9.490547505839242604e+01
7.261454487599661827e+09,4.147959926092366862e-06,-9.463300900397202042e+01
7.261458487599661827e+09,3.901333147737860024e-06,-9.516543928861625545e+01
7.261462487599661827e+09,4.200399937904060005e-06,-9.452388717561335341e+01
7.261466487599661827e+09,3.889177281627301621e-06,-9.519254523966701242e+01
7.261470487599661827e+09,4.066370965997542406e-06,-9.480556012674085764e+01
7.261474487599661827e+09,3.882529907878029965e-06,-9.520740384600445338e+01
7.261478487599661827e+09,3.918329377689067634e-06,-9.512768123713662760e+01
7.261482487599661827e+09,4.006335104921482426e-06,-9.493475459337741995e+01
7.261486487599661827e+09,3.977911751353294500e-06,-9.499659715902181745e+01
7.261490487599661827e+09,3.809298439406223501e-06,-9.537280006764190432e+01
7.261494487599661827e+09,4.104269029777731275e-06,-9.472498363326084814e+01
7.261498487599661827e+09,4.124296221503690897e-06,-9.468270303749137895e+01
7.261502487599661827e+09,4.278628554207748410e-06,-9.436360833966890027e+01
7.261506487599661827e+09,3.975240825865138106e-06,-9.500243116375605723e+01
7.261510487599661827e+09,4.016701592775248460e-06,-9.491230867347617561e+01
7.261514487599661827e+09,4.042662118175015930e-06,-9.485635114468153972e+01
7.261518487599661827e+09,3.931822172610731669e-06,-9.509782269434094815e+01
7.261522487599661827e+09,4.072940216976403449e-06,-9.479153933306082536e+01
7.261526487599661827e+09,3.826294394263070537e-06,-9.533413241335425425e+01
7.261530487599661827e+09,3.933081137755849169e-06,-9.509504192718574700e+01
7.261534487599661827e+09,4.018021408636512280e-06,-9.490945511523537448e+01
7.261538487599661827e+09,4.033313569609430444e-06,-9.487646029322904440e+01
7.261542487599661827e+09,3.990738127970707058e-06,-9.496863543660815310e+01
7.261546487599661827e+09,3.920234861667708770e-06,-9.512345831483446545e+01
7.261550487599661827e+09,3.877397254870521088e-06,-9.521889407346151302e+01
7.261554487599661827e+09,3.857258402050513642e-06,-9.526412536909558071e+01
7.261558487599661827e+09,3.892011806481269736e-06,-9.518621706260610438e+01
7.261562487599661827e+09,3.848283111900622500e-06,-9.528435974582987456e+01
7.261566487599661827e+09,3.858267786533886356e-06,-9.526185270432569041e+01
7.261570487599661827e+09,3.641853082742109361e-06,-9.576325160759994048e+01
7.261574487599661827e+09,3.973314132683481634e-06,-9.500664200327526032e+01
7.261578487599661827e+09,3.994424613757542707e-06,-9.496061545955639360e+01
7.261582487599661827e+09,3.790166349967785066e-06,-9.541653461292939653e+01
7.261586487599661827e+09,4.074649045335274121e-06,-9.478789587626022239e+01
7.261590487599661827e+09,3.871099821500443338e-06,-9.523301263678027340e+01
7.261594487599661827e+09,3.840169527823550004e-06,-9.530269210094107279e+01
7.261598487599661827e+09,3.720493669812118256e-06,-9.557768864437554157e+01
7.261602487599661827e+09,3.786084036138265166e-06,-9.542589505616075485e+01
7.261606487599661827e+09,4.034348930841731263e-06,-9.487423089073529070e+01
7.261610487599661827e+09,3.839168552701549825e-06,-9.530495645221671452e+01
7.261614487599661827e+09,3.959510911356421551e-06,-9.503686916130014595e+01
7.261618487599661827e+09,3.941000934915928323e-06,-9.507756928551130216e+01
7.261622487599661827e+09,3.815267106344397271e-06,-9.535920107827253389e+01
7.261626487599661827e+09,3.921539007910187088e-06,-9.512056925666297502e+01
7.261630487599661827e+09,4.014646436012809635e-06,-9.491675397086663679e+01
7.261634487599661827e+09,3.740723162471453863e-06,-9.553058866720564879e+01
7.261638487599661827e+09,3.856851312823084643e-06,-9.526504211314932036e+01
7.261642487599661827e+09,4.003231699536071015e-06,-9.494148550372173645e+01
7.261646487599661827e+09,3.916125832922723153e-06,-9.513256728132047613e+01
7.261650487599661827e+09,3.876792224456415705e-06,-9.522024952845245593e+01
7.261654487599661827e+09,3.859256833690216711e-06,-9.525962640640854318e+01
7.261658487599661827e+09,3.960014204039065641e-06,-9.503576516967456200e+01
7.261662487599661827e+09,3.928725570681193610e-06,-9.510466617265382183e+01
7.261666487599661827e+09,3.910615977135011254e-06,-9.514479663763785311e+01
7.261670487599661827e+09,3.812670891218122746e-06,-9.536511366931391365e+01
7.261674487599661827e+09,3.788335081171393620e-06,-9.542073232909194758e+01
7.261678487599661827e+09,3.732786257029265502e-06,-9.554903759308149347e+01
7.261682487599661827e+09,3.674648718315312092e-06,-9.568538347149505796e+01
7.261686487599661827e+09,3.657898684499368746e-06,-9.572506659667148199e+01
7.261690487599661827e+09,3.729360903065647572e-06,-9.555701177208136698e+01
7.261694487599661827e+09,3.736988218190438207e-06,-9.553926547080921239e+01
7.261698487599661827e+09,3.523268623548547011e-06,-9.605078491872241386e+01
7.261702487599661827e+09,3.681837568170980335e-06,-9.566840754741518538e+01
7.261706487599661827e+09,3.557341008840622933e-06,-9.596719006514842931e+01
7.261710487599661827e+09,3.541787308328627007e-06,-9.600525049629995067e+01
7.261714487599661827e+09,3.407030501387437688e-06,-9.634217961136302222e+01
7.261718487599661827e+09,3.657844323540663567e-06,-9.572519568083623653e+01
7.261722487599661827e+09,3.347133486396813576e-06,-9.649623938897705955e+01
7.261726487599661827e+09,3.283707051698329388e-06,-9.666241193132934484e+01
7.261730487599661827e+09,3.443942531066553479e-06,-9.624858212761701282e+01
7.261734487599661827e+09,3.318710885318107965e-06,-9.657031164707146331e+01
7.261738487599661827e+09,3.344753318742858061e-06,-9.650241817682454837e+01
7.261742487599661827e+09,3.446592296679172793e-06,-9.624190178323510736e+01
7.261746487599661827e+09,3.289287552273377927e-06,-9.664766321276596273e+01
7.261750487599661827e+09,3.274378295403348703e-06,-9.668712298585290910e+01
7.261754487599661827e+09,3.462454034141212470e-06,-9.620201971079866610e+01
7.261758487599661827e+09,3.461201018046182867e-06,-9.620516358771133980e+01
7.261762487599661827e+09,3.283273623777600073e-06,-9.666355848779936366e+01
7.261766487599661827e+09,3.234234652954162932e-06,-9.679426952300887876e+01
7.261770487599661827e+09,3.208118300183785540e-06,-9.686469255080754692e+01
7.261774487599661827e+09,3.132384096064103219e-06,-9.707219983788033346e+01
7.261778487599661827e+09,3.331563519059758508e-06,-9.653673808590909289e+01
7.261782487599661827e+09,3.216943136764891344e-06,-9.684083235722934546e+01
7.261786487599661827e+09,3.464292974972013660e-06,-9.619740778041878571e+01
7.261790487599661827e+09,3.444971461885607856e-06,-9.624598747202540494e+01
7.261794487599661827e+09,3.131545349084871083e-06,-9.707452593807133212e+01
7.261798487599661827e+09,3.330587613735293411e-06,-9.653928279131646661e+01
7.261802487599661827e+09,3.173164345048739658e-06,-9.695984872867968818e+01
7.261806487599661827e+09,3.361456270171911161e-06,-9.645915072721136596e+01
7.261810487599661827e+09,3.300437828984410033e-06,-9.661826891792873084e+01
7.261814487599661827e+09,3.409037787503752362e-06,-9.633706373944291101e+01
7.261818487599661827e+09,3.449865439763337079e-06,-9.623365692396971838e+01
7.261822487599661827e+09,3.348721901682538248e-06,-9.649211839193326057e+01
7.261826487599661827e+09,3.432348727604129721e-06,-9.627787192614270850e+01
7.261830487599661827e+09,3.553866815123539735e-06,-9.597567708067538206e+01
7.261834487599661827e+09,3.442488701673139263e-06,-9.625224957202314613e+01
7.261838487599661827e+09,3.479359019494416292e-06,-9.615971516406411013e+01
7.261842487599661827e+09,3.323138103618618487e-06,-9.655873224039687841e+01
7.261846487599661827e+09,3.212779982173164439e-06,-9.685208033967410302e+01
7.261850487599661827e+09,3.377067808566930521e-06,-9.641890442383652271e+01
7.261854487599661827e+09,3.452989910863470729e-06,-9.622579385524585405e+01
7.261858487599661827e+09,3.318229675074690115e-06,-9.657157118496738235e+01
7.261862487599661827e+09,3.485816504838917828e-06,-9.614360960551330493e+01
7.261866487599661827e+09,3.375451475953526976e-06,-9.642306266059972586e+01
7.261870487599661827e+09,3.324082382765625784e-06,-9.655626447073873919e+01
7.261874487599661827e+09,3.220149014460310330e-06,-9.683218065503099581e+01
7.261878487599661827e+09,3.185181688453458321e-06,-9.692701583714008962e+01
7.261882487599661827e+09,3.084273581953962853e-06,-9.720664216380245648e+01
7.261886487599661827e+09,3.157864342036589186e-06,-9.700183065702289298e+01
7.261890487599661827e+09,3.119277661409809894e-06,-9.710861934237593118e+01
7.261894487599661827e+09,3.393867823620174740e-06,-9.637580155473582977e+01
7.261898487599661827e+09,3.065408956267310677e-06,-9.725993160426563122e+01
7.261902487599661827e+09,2.926555790271911972e-06,-9.766256388968997726e+01
7.261906487599661827e+09,2.888807993873171395e-06,-9.777532649946689958e+01
7.261910487599661827e+09,3.047211638984641384e-06,-9.731164767402809446e+01
7.261914487599661827e+09,3.005081173546389647e-06,-9.743257588931621171e+01
7.261918487599661827e+09,2.898639418497507899e-06,-9.774581616604007195e+01
7.261922487599661827e+09,2.923133040609171709e-06,-9.767272840615625284e+01
7.261926487599661827e+09,2.765377302010895237e-06,-9.815461216597100247e+01
7.261930487599661827e+09,2.738721501705562028e-06,-9.823874261421343590e+01
7.261934487599661827e+09,2.677687054575551739e-06,-9.843450366387099848e+01
7.261938487599661827e+09,2.660808848303997496e-06,-9.848942652158183364e+01
7.261942487599661827e+09,2.691875821675309586e-06,-9.838859960992230924e+01
7.261946487599661827e+09,2.457199427016930593e-06,-9.918089193583222141e+01
7.261950487599661827e+09,2.435078942638497080e-06,-9.925943914058902351e+01
7.261954487599661827e+09,2.267138289666050962e-06,-9.988013980750714893e+01
7.261958487599661827e+09,2.307695048886750515e-06,-9.972613167756776420e+01
7.261962487599661827e+09,2.113291570572975302e-06,-1.004905116285312658e+02
7.261966487599661827e+09,2.045747804211640009e-06,-1.007726581693282526e+02
7.261970487599661827e+09,1.911433441675391990e-06,-1.013625164437231660e+02
7.261974487599661827e+09,1.838623035513061072e-06,-1.016998461043640418e+02
7.261978487599661827e+09,1.896394728064449785e-06,-1.014311252569700059e+02
7.261982487599661827e+09,1.366953623099404618e-06,-1.042746244348666664e+02
7.261986487599661827e+09,1.549875230525891324e-06,-1.031837652912466154e+02
7.261990487599661827e+09,1.420106908793208274e-06,-1.039432792380759452e+02
7.261994487599661827e+09,1.203726733992249864e-06,-1.053791419226843686e+02
7.261998487599661827e+09,1.127437654593800380e-06,-1.059478493341696606e+02
7.262002487599661827e+09,1.224272706932271950e-06,-1.052321366884085165e+02
7.262006487599661827e+09,1.259068811912037206e-06,-1.049887107181365451e+02
7.262010487599661827e+09,1.162899607901217719e-06,-1.056788555616276284e+02
7.262014487599661827e+09,1.342870810561896121e-06,-1.044290153664389464e+02
7.262018487599661827e+09,1.193927654333327222e-06,-1.054501398102691923e+02
7.262022487599661827e+09,1.149846195648111234e-06,-1.057769049901746996e+02
7.262026487599661827e+09,1.365170885355894891e-06,-1.042859596909601976e+02
7.262030487599661827e+09,1.614799485083558866e-06,-1.028273279982925033e+02
7.262034487599661827e+09,1.362599262504573882e-06,-1.043023370524562807e+02
