# freq_Hz, phase_rad_detrended, phase_rad
7.125000000000000000e+09,-1.510425681530769282e-02,-2.301173307406331858e+00
7.125063333333333015e+09,-5.472010152188655496e-02,-2.364664339927663228e+00
7.125126666666666985e+09,-3.069257362519195453e-02,-2.364511999845728241e+00
7.125190000000000000e+09,-2.829924783320869608e-02,-2.385993861868497490e+00
7.125253333333333015e+09,-2.002573045013633646e-02,-2.401595532300177638e+00
7.125316666666666985e+09,-2.893124444775851956e-02,-2.434376234112893389e+00
7.125380000000000000e+09,-2.427158108948246351e-02,-2.453591758569035886e+00
7.125443333333333015e+09,-3.328720244849758814e-02,-2.486482567742803518e+00
7.125506666666666985e+09,-4.633655225558719337e-02,-2.523407105364986691e+00
7.125570000000000000e+09,-1.879693041878072179e-02,-2.519742671342598772e+00
7.125633333333333015e+09,-4.567179686085820478e-02,-2.570492725599428763e+00
7.125696666666666985e+09,-5.045629069523149823e-02,-2.599152407248895624e+00
7.125760000000000000e+09,-3.060546183081891414e-02,-2.603176766198901593e+00
7.125823333333333015e+09,-6.031735022025985771e-02,-2.656763842403095044e+00
7.125886666666666985e+09,-1.648314068297729307e-02,-2.636804820680906047e+00
7.125950000000000000e+09,-3.990289023812643165e-02,-2.684099758050473739e+00
7.126013333333333015e+09,-4.080603988275832705e-02,-2.708878095509858142e+00
7.126076666666666985e+09,-2.424724186354376698e-02,-2.716194485305737150e+00
7.126140000000000000e+09,-1.019188259892356285e-02,-2.726014313855869453e+00
7.126203333333333015e+09,-3.735145257225447324e-02,-2.777049071643626021e+00
7.126266666666666985e+09,-2.624384919677646977e-02,-2.789816656083234481e+00
7.126330000000000000e+09,-3.843386292859385378e-02,-2.825881857629804372e+00
7.126393333333333015e+09,-2.904251462182783072e-02,-2.840365697137464007e+00
7.126456666666666985e+09,-2.793871637694156362e-02,-2.863137086707664203e+00
7.126520000000000000e+09,-2.780815720449325568e-02,-2.886881715349968403e+00
7.126583333333333015e+09,-2.531636401835024586e-02,-2.908265109978251051e+00
7.126646666666666985e+09,-1.864140600774311096e-02,-2.925465339782730378e+00
7.126710000000000000e+09,-3.006487766139276374e-02,-2.960763999251132539e+00
7.126773333333333015e+09,-2.141470065450334914e-02,-2.975989010059002737e+00
7.126836666666666985e+09,-5.346157335212087247e-02,-3.031911070571372768e+00
7.126900000000000000e+09,-2.228914855212149604e-02,-3.024613833586133005e+00
7.126963333333333015e+09,-2.909385114980134190e-02,-3.055293723998565358e+00
7.127026666666666985e+09,-1.788031697743175386e-02,-3.067955377640948278e+00
7.127090000000000000e+09,-2.925734404458602000e-02,-3.103207592522862157e+00
7.127153333333333015e+09,-2.482105286044866688e-02,-3.122646489153477312e+00
7.127216666666666985e+09,-3.263008505216991040e-02,-3.154330709160285018e+00
7.127280000000000000e+09,-1.499418930509177628e-02,-3.160570001227632542e+00
7.127343333333333015e+09,-5.226098079082941439e-02,-3.221711980528122687e+00
7.127406666666666985e+09,-2.251302983943492819e-02,-3.215839217391814664e+00
7.127470000000000000e+09,-1.658967346587525427e-02,-3.233791048832680648e+00
7.127533333333333015e+09,-4.881167315012469032e-02,-3.289888236331682592e+00
7.127596666666666985e+09,-1.386204756280173811e-02,-3.278813798559446102e+00
7.127660000000000000e+09,-5.044820733037358451e-03,-3.293871759544107380e+00
7.127723333333333015e+09,-2.683090853931879849e-02,-3.339533035165141328e+00
7.127786666666666985e+09,-2.959209671434992472e-02,-3.366169411155266022e+00
7.127850000000000000e+09,-1.695224213826174164e-02,-3.377404744393596392e+00
7.127913333333333015e+09,-1.163622434581323972e-02,-3.395963914415900398e+00
7.127976666666666985e+09,-2.556030419997323833e-02,-3.433763182085153964e+00
7.128040000000000000e+09,-2.385929083526727723e-02,-3.455937356535200511e+00
7.128103333333333015e+09,-2.979007938624356200e-02,-3.485743332900595348e+00
7.128166666666666985e+09,-3.173495596130404550e-02,-3.511563397290749400e+00
7.128230000000000000e+09,-2.400812543168573399e-02,-3.527711754575883596e+00
7.128293333333333015e+09,-4.180891360902361242e-02,-3.569387730567640027e+00
7.128356666666666985e+09,-3.955673554793692759e-02,-3.591010740321646910e+00
7.128420000000000000e+09,-5.972688602620479514e-02,-3.635056078614667285e+00
7.128483333333333015e+09,-1.704329917888625090e-02,-3.616247679581767294e+00
7.128546666666666985e+09,-1.775387922985371958e-02,-3.640833447447828330e+00
7.128610000000000000e+09,-1.792143250754341111e-02,-3.664876188540270530e+00
7.128673333333333015e+09,-4.117651992978199615e-03,-3.674947595840457826e+00
7.128736666666666985e+09,-7.720128732895403800e-03,-3.702425260395134643e+00
7.128800000000000000e+09,-3.884826486244685739e-02,-3.757428584339438604e+00
7.128863333333333015e+09,-1.289212003208906054e-02,-3.755347627323840420e+00
7.128926666666666985e+09,-4.484562096083166693e-02,-3.811176316067335534e+00
7.128990000000000000e+09,-2.331731234920475515e-02,-3.813523195270461130e+00
7.129053333333333015e+09,-2.050115791199536019e-02,-3.834582228648011348e+00
7.129116666666666985e+09,-1.876607326772639084e-03,-3.839832865877541135e+00
7.129180000000000000e+09,-1.942077807601849671e-02,-3.881252224441539500e+00
7.129243333333333015e+09,-3.461076689932962580e-02,-3.920317401079610242e+00
7.129306666666666985e+09,-2.096859033499853808e-02,-3.930550412330365617e+00
7.129370000000000000e+09,-5.234985063426655927e-02,-3.985806860444052191e+00
7.129433333333333015e+09,-7.100522907524275951e-03,-3.964432720532069521e+00
7.129496666666666985e+09,-4.335309476924198435e-02,-4.024560480208873692e+00
7.129560000000000000e+09,-4.488706562362843044e-02,-4.049969638877678690e+00
7.129623333333333015e+09,-1.094070544843006587e-02,-4.039898466517239939e+00
7.129686666666666985e+09,-1.802947935203569330e-02,-4.070862428235932029e+00
7.129750000000000000e+09,-5.249056323613210395e-02,-4.129198699934446992e+00
7.129813333333333015e+09,-5.649986939414297638e-02,-4.157083193907217478e+00
7.129876666666666985e+09,-1.938543348416388312e-02,-4.143843945812324847e+00
7.129940000000000000e+09,-3.466824289403014347e-02,-4.183001943036950721e+00
7.130003333333333015e+09,-1.149035227294348260e-02,-4.183699240230282612e+00
7.130066666666666985e+09,1.037294541348998678e-02,-4.185711130358935605e+00
7.130130000000000000e+09,-2.440849577441639440e-02,-4.244367759361601600e+00
7.130193333333333015e+09,-1.659946138976042818e-02,-4.260433912791364186e+00
7.130256666666666985e+09,-6.192036198369610389e-02,-4.329630001200386324e+00
7.130320000000000000e+09,-1.306572552842055757e-02,-4.304650552559870391e+00
7.130383333333333015e+09,-1.245560938253031935e-02,-4.327915624228398705e+00
7.130446666666666985e+09,-2.458873724546073447e-02,-4.363923939906415583e+00
7.130510000000000000e+09,-3.371950751022456672e-02,-4.396929897985939029e+00
7.130573333333333015e+09,-9.529657847444639174e-03,-4.396615236137911609e+00
7.130636666666666985e+09,-2.638295902207499211e-02,-4.437343725127294469e+00
7.130700000000000000e+09,-1.441574782980481473e-02,-4.449251701749783905e+00
7.130763333333333015e+09,-6.030299067255739942e-02,-4.519014132407288997e+00
7.130826666666666985e+09,-4.767472553418983239e-02,-4.530261055083681043e+00
7.130890000000000000e+09,5.185488426335815859e-03,-4.501276028937907903e+00
7.130953333333333015e+09,-3.147618249083983244e-02,-4.561812887669836059e+00
7.131016666666666985e+09,-3.405535146306348793e-02,-4.588267244456819327e+00
