# freq_Hz, abs_amp(|S21|), amplitude_dBm
7.229660360845949173e+09,4.231262258351728456e-06,-9.446030115892681067e+01
7.229664360845949173e+09,4.422740983027472808e-06,-9.407586992852424146e+01
7.229668360845949173e+09,4.359451806594727478e-06,-9.420106242468206403e+01
7.229672360845949173e+09,4.464024031803385747e-06,-9.399516956468234241e+01
7.229676360845949173e+09,4.308576514339328029e-06,-9.430302384701326446e+01
7.229680360845949173e+09,4.515841330827633170e-06,-9.389492656145745286e+01
7.229684360845949173e+09,4.292791829713314091e-06,-9.433490346826860673e+01
7.229688360845949173e+09,4.413608695029507522e-06,-9.409382351271338507e+01
7.229692360845949173e+09,4.443680883311161488e-06,-9.403484278052756906e+01
7.229696360845949173e+09,4.400749199080885210e-06,-9.411916767123290128e+01
7.229700360845949173e+09,4.457797159856110049e-06,-9.400729397967444356e+01
7.229704360845949173e+09,4.257813626675413278e-06,-9.440596709237982509e+01
7.229708360845949173e+09,4.406432071195275657e-06,-9.410795845335749732e+01
7.229712360845949173e+09,4.351924721074036603e-06,-9.421607255544424220e+01
7.229716360845949173e+09,4.269946419993232015e-06,-9.438125153418184254e+01
7.229720360845949173e+09,4.268243093456782422e-06,-9.438471711818793608e+01
7.229724360845949173e+09,4.248740739813231410e-06,-9.442449542252886374e+01
7.229728360845949173e+09,4.354010587202770920e-06,-9.421191042864245446e+01
7.229732360845949173e+09,4.350926375446353107e-06,-9.421806535524849835e+01
7.229736360845949173e+09,4.526796348494554901e-06,-9.387388090545201180e+01
7.229740360845949173e+09,4.346032012448304952e-06,-9.422784162401775632e+01
7.229744360845949173e+09,4.469751667262484576e-06,-9.398403214239260706e+01
7.229748360845949173e+09,4.355747058198050589e-06,-9.420844700377148229e+01
7.229752360845949173e+09,4.440834503512289991e-06,-9.404040827072493869e+01
7.229756360845949173e+09,4.492337234757297777e-06,-9.394025302702681302e+01
7.229760360845949173e+09,4.259397943113509284e-06,-9.440273570666654734e+01
7.229764360845949173e+09,4.439166620631319311e-06,-9.404367111869109408e+01
7.229768360845949173e+09,4.343651719981553958e-06,-9.423260013050112605e+01
7.229772360845949173e+09,4.428508058552423285e-06,-9.406455125736331979e+01
7.229776360845949173e+09,4.229250224044268656e-06,-9.446443242362464332e+01
7.229780360845949173e+09,4.316782237277191268e-06,-9.428649722420396984e+01
7.229784360845949173e+09,4.353846923074129566e-06,-9.421223693112771969e+01
7.229788360845949173e+09,4.266846342660070045e-06,-9.438755997612662441e+01
7.229792360845949173e+09,4.187215704088232580e-06,-9.455119336108721484e+01
7.229796360845949173e+09,4.371928715006311769e-06,-9.417623860146559878e+01
7.229800360845949173e+09,4.369553841444641699e-06,-9.418095814189487669e+01
7.229804360845949173e+09,4.358030877456393759e-06,-9.420389398379968782e+01
7.229808360845949173e+09,4.304739797760286500e-06,-9.431076193482397230e+01
7.229812360845949173e+09,4.435203443787755258e-06,-9.405142912713968428e+01
7.229816360845949173e+09,4.461579912112359513e-06,-9.399992652108832658e+01
7.229820360845949173e+09,4.335751794708423946e-06,-9.424841179265143865e+01
7.229824360845949173e+09,4.325587608762744357e-06,-9.426879779389190617e+01
7.229828360845949173e+09,4.261333999289737311e-06,-9.439878854093410609e+01
7.229832360845949173e+09,4.397216426341009631e-06,-9.412614321014510210e+01
7.229836360845949173e+09,4.348265307892831153e-06,-9.422337935237641204e+01
7.229840360845949173e+09,4.121970626288536319e-06,-9.468760219108173715e+01
7.229844360845949173e+09,4.320422937666962052e-06,-9.427917478065351986e+01
7.229848360845949173e+09,4.444646624107240633e-06,-9.403295528977079698e+01
7.229852360845949173e+09,4.349131967777304371e-06,-9.422164832597930229e+01
7.229856360845949173e+09,4.410793740926997020e-06,-9.409936505089171987e+01
7.229860360845949173e+09,4.336182245372977358e-06,-9.424754950588754809e+01
7.229864360845949173e+09,4.166918046640283533e-06,-9.459340086330941233e+01
7.229868360845949173e+09,4.243751468308954055e-06,-9.443470120560976966e+01
7.229872360845949173e+09,4.184027551874521471e-06,-9.455780932929401672e+01
7.229876360845949173e+09,4.295669414121146486e-06,-9.432908301200379242e+01
7.229880360845949173e+09,4.417291661997146847e-06,-9.408657853311153474e+01
7.229884360845949173e+09,4.243138686553335305e-06,-9.443595550597508748e+01
7.229888360845949173e+09,4.242995306879019018e-06,-9.443624901537019412e+01
7.229892360845949173e+09,4.241129931637159552e-06,-9.444006848839538293e+01
7.229896360845949173e+09,4.072289821521343893e-06,-9.479292646715748560e+01
7.229900360845949173e+09,4.216870439242947940e-06,-9.448989488759336552e+01
7.229904360845949173e+09,4.153043570001152134e-06,-9.462237029613581285e+01
7.229908360845949173e+09,4.213150672436289260e-06,-9.449756022689223300e+01
7.229912360845949173e+09,4.268923355331435549e-06,-9.438333289319569985e+01
7.229916360845949173e+09,4.228506796967446226e-06,-9.446595938296950123e+01
7.229920360845949173e+09,4.355012588857048420e-06,-9.420991174850378513e+01
7.229924360845949173e+09,3.998026889990176550e-06,-9.495278582783288357e+01
7.229928360845949173e+09,4.210779158059456187e-06,-9.450245075022539254e+01
7.229932360845949173e+09,4.221599980524066786e-06,-9.448015846005033325e+01
7.229936360845949173e+09,4.246019923388486624e-06,-9.443005949029624446e+01
7.229940360845949173e+09,4.171266578422357603e-06,-9.458434112854233433e+01
7.229944360845949173e+09,4.295197454777014930e-06,-9.433003737128871080e+01
7.229948360845949173e+09,4.279042053129535057e-06,-9.436276895096894179e+01
