# freq_Hz, abs_amp(|S21|), amplitude_dBm
7.148339194407831192e+09,4.759576266957238089e-06,-9.343833423732706933e+01
7.148341194407831192e+09,4.828092932833176942e-06,-9.331418762418203983e+01
7.148343194407831192e+09,4.836975433147662144e-06,-9.329822241085055623e+01
7.148345194407831192e+09,4.679219357661040438e-06,-9.358623194315526916e+01
7.148347194407831192e+09,4.898423443113649793e-06,-9.318857354535323623e+01
7.148349194407831192e+09,4.766378405008878731e-06,-9.342592967893983769e+01
7.148351194407831192e+09,4.746918160808127077e-06,-9.346146515668969812e+01
7.148353194407831192e+09,4.708987075589739866e-06,-9.353115007399506453e+01
7.148355194407831192e+09,4.760850949975824591e-06,-9.343600834252491438e+01
7.148357194407831192e+09,4.745719500114171730e-06,-9.346365873763704712e+01
7.148359194407831192e+09,4.755028499032450194e-06,-9.344663755927768989e+01
7.148361194407831192e+09,4.652444202439763159e-06,-9.363607657804166706e+01
7.148363194407831192e+09,4.807049648143233683e-06,-9.335212789076729223e+01
7.148365194407831192e+09,4.816373676398632309e-06,-9.333529656099626948e+01
7.148367194407831192e+09,4.807287905214982229e-06,-9.335169739316523874e+01
7.148369194407831192e+09,4.741036246002123924e-06,-9.347223453167187301e+01
7.148371194407831192e+09,4.818353776922062632e-06,-9.333172636454924032e+01
7.148373194407831192e+09,4.850017503712181712e-06,-9.327483392388441530e+01
7.148375194407831192e+09,4.806907569829760586e-06,-9.335238461680069122e+01
7.148377194407831192e+09,4.875871030601969721e-06,-9.322865584782398685e+01
7.148379194407831192e+09,4.649690252164422153e-06,-9.364121959311545140e+01
7.148381194407831192e+09,4.721833413446791479e-06,-9.350748682178436866e+01
7.148383194407831192e+09,4.819517159252998012e-06,-9.332962942620063984e+01
7.148385194407831192e+09,4.671073412487606963e-06,-9.360136618556117583e+01
7.148387194407831192e+09,4.865855862257649265e-06,-9.324651524350397835e+01
7.148389194407831192e+09,4.900580154158680547e-06,-9.318475010468705477e+01
7.148391194407831192e+09,4.719494133603765172e-06,-9.351179103151835648e+01
7.148393194407831192e+09,4.758334544001644712e-06,-9.344060058943495051e+01
