# freq_Hz, abs_amp(|S21|), amplitude_dBm
7.289860595778082848e+09,4.105978056645457919e-06,-9.472136756207085284e+01
7.289864595778082848e+09,4.302589366838783553e-06,-9.431510205141294989e+01
7.289868595778082848e+09,4.263404722200448332e-06,-9.439456880549943207e+01
7.289872595778082848e+09,4.074052162605667087e-06,-9.478916833855652158e+01
7.289876595778082848e+09,4.271544165376165327e-06,-9.437800202167835550e+01
7.289880595778082848e+09,4.333904728893659062e-06,-9.425211284125015254e+01
7.289884595778082848e+09,4.224749324077220776e-06,-9.447368114048509824e+01
7.289888595778082848e+09,4.222846920056369608e-06,-9.447759327623920456e+01
7.289892595778082848e+09,4.357409529302949948e-06,-9.420513246659456286e+01
7.289896595778082848e+09,4.095601423985468611e-06,-9.474334633686751772e+01
7.289900595778082848e+09,4.404194557518549083e-06,-9.411237012532966162e+01
7.289904595778082848e+09,4.186761615490629090e-06,-9.455213536589519663e+01
7.289908595778082848e+09,4.289700291648551192e-06,-9.434116103523732022e+01
7.289912595778082848e+09,4.234682948770639746e-06,-9.445328203929996391e+01
7.289916595778082848e+09,4.224930635482199176e-06,-9.447330838060270253e+01
7.289920595778082848e+09,4.258973790264133894e-06,-9.440360069470833082e+01
7.289924595778082848e+09,4.097216179090101284e-06,-9.473992246354518443e+01
7.289928595778082848e+09,4.267371586998180952e-06,-9.438649081796890528e+01
7.289932595778082848e+09,4.315097622831889312e-06,-9.428988753444403415e+01
7.289936595778082848e+09,4.142921035598531201e-06,-9.464356692955769290e+01
7.289940595778082848e+09,4.039369852939520618e-06,-9.486342764578392917e+01
7.289944595778082848e+09,4.329844244294260531e-06,-9.426025456460777718e+01
7.289948595778082848e+09,4.357356195328948220e-06,-9.420523878110186899e+01
7.289952595778082848e+09,4.249855944021290197e-06,-9.442221586012789203e+01
7.289956595778082848e+09,4.241655454741402816e-06,-9.443899227687199982e+01
7.289960595778082848e+09,4.156481645580960574e-06,-9.461518270214389759e+01
7.289964595778082848e+09,4.154316469685669467e-06,-9.461970849594567312e+01
7.289968595778082848e+09,4.189466777100757482e-06,-9.454652502794490943e+01
7.289972595778082848e+09,4.142705659781092748e-06,-9.464401848998882372e+01
7.289976595778082848e+09,4.131315984026595255e-06,-9.466793177747184984e+01
7.289980595778082848e+09,4.115575135009944318e-06,-9.470108934956270730e+01
7.289984595778082848e+09,4.211204899279684879e-06,-9.450157258630790125e+01
7.289988595778082848e+09,4.369388455061661655e-06,-9.418128690659469271e+01
7.289992595778082848e+09,4.014710833844787131e-06,-9.491661464403318860e+01
7.289996595778082848e+09,4.236506508049508554e-06,-9.444954248537543151e+01
7.290000595778082848e+09,4.112738262099955514e-06,-9.470707861244088122e+01
7.290004595778082848e+09,4.276537075513842765e-06,-9.436785521325704451e+01
7.290008595778082848e+09,4.156730359719131036e-06,-9.461466297437684148e+01
7.290012595778082848e+09,4.271502140966633391e-06,-9.437808747582907642e+01
7.290016595778082848e+09,4.195168609587258988e-06,-9.453471163521817289e+01
7.290020595778082848e+09,4.041464858076293501e-06,-9.485892390713125621e+01
7.290024595778082848e+09,4.152397492081991149e-06,-9.462372164195181767e+01
7.290028595778082848e+09,4.120389965488239417e-06,-9.469093362636220945e+01
7.290032595778082848e+09,4.220520979341851963e-06,-9.448237877536769247e+01
7.290036595778082848e+09,4.139973062208707300e-06,-9.464974973771600730e+01
7.290040595778082848e+09,4.318890332860679002e-06,-9.428225651549260533e+01
7.290044595778082848e+09,4.232822321473385879e-06,-9.445709926836704540e+01
7.290048595778082848e+09,4.166438354772614792e-06,-9.459440083269191746e+01
7.290052595778082848e+09,4.149189854824299276e-06,-9.463043389671504713e+01
7.290056595778082848e+09,4.141456139020534936e-06,-9.464663871875126233e+01
7.290060595778082848e+09,4.098372912024710922e-06,-9.473747059472508170e+01
7.290064595778082848e+09,4.190263263618502366e-06,-9.454487385446354608e+01
7.290068595778082848e+09,4.231996754916394961e-06,-9.445879352313158961e+01
7.290072595778082848e+09,4.130327176968685070e-06,-9.467001094473965850e+01
7.290076595778082848e+09,4.189367114357934099e-06,-9.454673165803126267e+01
7.290080595778082848e+09,4.245473125227124339e-06,-9.443117812242918774e+01
7.290084595778082848e+09,4.160196957097625069e-06,-9.460742220315307804e+01
7.290088595778082848e+09,4.227722155820828491e-06,-9.446757128502717649e+01
7.290092595778082848e+09,4.192774201703907059e-06,-9.453967055390803864e+01
7.290096595778082848e+09,4.129474748421951477e-06,-9.467180374809608168e+01
7.290100595778082848e+09,4.064615980749468263e-06,-9.480930963673705492e+01
7.290104595778082848e+09,4.083992155282126994e-06,-9.476800205929856702e+01
7.290108595778082848e+09,4.163925415371673433e-06,-9.459964120767867257e+01
7.290112595778082848e+09,4.001795148894563495e-06,-9.494460297495619727e+01
7.290116595778082848e+09,3.895465385076648351e-06,-9.517851305172696641e+01
7.290120595778082848e+09,4.003918659202095214e-06,-9.493999512185247625e+01
7.290124595778082848e+09,3.873976769433158670e-06,-9.522655980107387563e+01
7.290128595778082848e+09,4.110803881410115235e-06,-9.471116488504863185e+01
7.290132595778082848e+09,3.973003487074889952e-06,-9.500732111871043628e+01
7.290136595778082848e+09,3.792881014729198897e-06,-9.541031566732738156e+01
7.290140595778082848e+09,3.880771286363097184e-06,-9.521133907723481116e+01
7.290144595778082848e+09,3.676146050492399540e-06,-9.568184489842082030e+01
