# peak_index, center_Hz_request, f0_fit_Hz, gamma_fit_Hz, A_fit, y0_fit_dBm, method
1,7148846831.264763,7148752332.5985155,361457.66399595217,1.7137758494685278,-90.66852025981065,scipy
2,7181274873.519869,7181269772.36227,121484.5890672362,5.876961463672508,-90.95363028165343,scipy
3,7206403464.677845,7206391487.875718,155082.13580219285,4.4423839311638655,-91.35415703577591,scipy
4,7230264049.167258,7230245328.499224,132832.175331302,7.504977443669195,-91.40863703325476,scipy
5,7262001987.335977,7261997962.873217,133586.569435973,8.076687298483318,-91.53689051516282,scipy
6,7290463642.905383,7290453453.663182,122668.8304718563,10.80470151240017,-91.91987737832001,scipy
