# freq_Hz, amplitude_dBm
7.125000000000000000e+09,-8.918702800744995329e+01
7.125063333333333015e+09,-9.001415453458480442e+01
7.125126666666666985e+09,-8.934118370071013260e+01
7.125190000000000000e+09,-9.045069887000167341e+01
7.125253333333333015e+09,-8.946794699367924864e+01
7.125316666666666985e+09,-8.955641680406779415e+01
7.125380000000000000e+09,-9.125562025781249531e+01
7.125443333333333015e+09,-9.022479188276149387e+01
7.125506666666666985e+09,-9.029289741994259089e+01
7.125570000000000000e+09,-8.957125908615759613e+01
7.125633333333333015e+09,-8.971851416842125104e+01
7.125696666666666985e+09,-8.989282736962434228e+01
7.125760000000000000e+09,-8.977235178203201826e+01
7.125823333333333015e+09,-8.956620755387568522e+01
7.125886666666666985e+09,-8.953184641465860238e+01
7.125950000000000000e+09,-9.014816724409558901e+01
7.126013333333333015e+09,-9.035963635294891105e+01
7.126076666666666985e+09,-9.002442842618499697e+01
7.126140000000000000e+09,-9.011149891776311449e+01
7.126203333333333015e+09,-9.051023407270830035e+01
7.126266666666666985e+09,-8.984871235385689658e+01
7.126330000000000000e+09,-8.979787350175514860e+01
7.126393333333333015e+09,-8.971782219678556203e+01
7.126456666666666985e+09,-8.948032297077519104e+01
7.126520000000000000e+09,-8.970636535202288542e+01
7.126583333333333015e+09,-9.061288545747663647e+01
7.126646666666666985e+09,-9.063137225264935637e+01
7.126710000000000000e+09,-9.002203539553420342e+01
7.126773333333333015e+09,-8.985993131753561158e+01
7.126836666666666985e+09,-8.958500043062103657e+01
7.126900000000000000e+09,-8.976866181008898593e+01
7.126963333333333015e+09,-8.976750593913870091e+01
7.127026666666666985e+09,-9.059203358629457625e+01
7.127090000000000000e+09,-9.008674109951577691e+01
7.127153333333333015e+09,-8.982331417464693857e+01
7.127216666666666985e+09,-8.936894681183241573e+01
7.127280000000000000e+09,-8.933925068874643216e+01
7.127343333333333015e+09,-8.984374817366341404e+01
7.127406666666666985e+09,-9.020575915278374168e+01
7.127470000000000000e+09,-9.085024826981617707e+01
7.127533333333333015e+09,-8.998552376915245077e+01
7.127596666666666985e+09,-9.140545159071928083e+01
7.127660000000000000e+09,-8.987961593442901176e+01
7.127723333333333015e+09,-9.014001467790036770e+01
7.127786666666666985e+09,-8.936936037814631106e+01
7.127850000000000000e+09,-9.061292609284524247e+01
7.127913333333333015e+09,-9.012379958636627464e+01
7.127976666666666985e+09,-9.013000051750380237e+01
7.128040000000000000e+09,-8.934241217295488013e+01
7.128103333333333015e+09,-8.937599699468415793e+01
7.128166666666666985e+09,-9.051349297871908561e+01
7.128230000000000000e+09,-9.038194081307145211e+01
7.128293333333333015e+09,-8.980426372210850161e+01
7.128356666666666985e+09,-9.049448351665904511e+01
7.128420000000000000e+09,-8.997968040220388275e+01
7.128483333333333015e+09,-9.040331156063699325e+01
7.128546666666666985e+09,-8.959934233366944056e+01
7.128610000000000000e+09,-9.038697103120045995e+01
7.128673333333333015e+09,-9.003042657290714601e+01
7.128736666666666985e+09,-8.983160074229274983e+01
7.128800000000000000e+09,-8.995621813043202053e+01
7.128863333333333015e+09,-9.025581757637161218e+01
7.128926666666666985e+09,-8.927988111794905990e+01
7.128990000000000000e+09,-9.110457647955914240e+01
7.129053333333333015e+09,-8.941472042123012898e+01
7.129116666666666985e+09,-8.989132989110373728e+01
7.129180000000000000e+09,-8.925807812678749542e+01
7.129243333333333015e+09,-8.995654677956119372e+01
7.129306666666666985e+09,-8.987283717919871151e+01
7.129370000000000000e+09,-8.970861648905301422e+01
7.129433333333333015e+09,-9.102448757511878341e+01
7.129496666666666985e+09,-9.017261731102004774e+01
7.129560000000000000e+09,-9.080993050532624977e+01
7.129623333333333015e+09,-9.038889721596049753e+01
7.129686666666666985e+09,-9.009667443992414348e+01
7.129750000000000000e+09,-8.943972777180347578e+01
7.129813333333333015e+09,-8.985904909386582062e+01
7.129876666666666985e+09,-8.976468721416080143e+01
7.129940000000000000e+09,-8.959474634503112611e+01
7.130003333333333015e+09,-8.969622579808682872e+01
7.130066666666666985e+09,-9.008251887939364622e+01
7.130130000000000000e+09,-9.047101970051697606e+01
7.130193333333333015e+09,-9.005020673453049085e+01
7.130256666666666985e+09,-8.974538585474334695e+01
7.130320000000000000e+09,-8.998246225273007326e+01
7.130383333333333015e+09,-8.991650048947118989e+01
7.130446666666666985e+09,-8.958746196003548334e+01
7.130510000000000000e+09,-9.025575646061675172e+01
7.130573333333333015e+09,-8.975184327515874827e+01
7.130636666666666985e+09,-8.972371480951494505e+01
7.130700000000000000e+09,-8.990902297848101909e+01
7.130763333333333015e+09,-8.999271822468125492e+01
7.130826666666666985e+09,-9.015607845660414910e+01
7.130890000000000000e+09,-9.005011759935386806e+01
7.130953333333333015e+09,-8.990477474183940387e+01
7.131016666666666985e+09,-8.967992424419540498e+01
7.131080000000000000e+09,-9.066863620868511475e+01
7.131143333333333015e+09,-8.978785137940143102e+01
7.131206666666666985e+09,-8.957182233180860464e+01
7.131270000000000000e+09,-9.026346597782806214e+01
7.131333333333333015e+09,-9.004996877198352934e+01
7.131396666666666985e+09,-8.960595112698328535e+01
7.131460000000000000e+09,-9.040923507386074220e+01
7.131523333333333015e+09,-8.995881285608723488e+01
7.131586666666666985e+09,-8.992816530932111618e+01
7.131650000000000000e+09,-8.956493738077858779e+01
7.131713333333333015e+09,-8.990939544175481046e+01
7.131776666666666985e+09,-9.079589937292190882e+01
7.131840000000000000e+09,-8.937477429993420230e+01
7.131903333333333015e+09,-8.967256835347724575e+01
7.131966666666666985e+09,-8.933057286757004078e+01
7.132030000000000000e+09,-8.977736767143228747e+01
7.132093333333333015e+09,-8.962911546755684356e+01
7.132156666666666985e+09,-8.893201107969773034e+01
7.132220000000000000e+09,-8.944141271610114075e+01
7.132283333333333015e+09,-9.074888472200723299e+01
7.132346666666666985e+09,-8.953652522166714789e+01
7.132410000000000000e+09,-8.999860671509252086e+01
7.132473333333333015e+09,-9.001058701951734520e+01
7.132536666666666985e+09,-9.061233840640051085e+01
7.132600000000000000e+09,-8.994870970404861055e+01
7.132663333333333015e+09,-9.022670402016943569e+01
7.132726666666666985e+09,-8.934056608394284638e+01
