# freq_Hz, abs_amp(|S21|), amplitude_dBm
7.180695881648776054e+09,4.976815430963503159e-06,-9.305066934541927992e+01
7.180699881648776054e+09,5.180771318023376361e-06,-9.270181158890301276e+01
7.180703881648776054e+09,5.203708911867417293e-06,-9.266344014838813337e+01
7.180707881648776054e+09,5.206060047386532081e-06,-9.265951658311587380e+01
7.180711881648776054e+09,5.094915833281942821e-06,-9.284695976402113615e+01
7.180715881648776054e+09,4.923466511387957737e-06,-9.314428027804672183e+01
7.180719881648776054e+09,5.015642186885195408e-06,-9.298316911132532425e+01
7.180723881648776054e+09,4.948606337981660311e-06,-9.310004190285042114e+01
7.180727881648776054e+09,5.034096185658988071e-06,-9.295126985764385097e+01
7.180731881648776054e+09,5.081007644939299741e-06,-9.287070307626053989e+01
7.180735881648776054e+09,5.010084323503963949e-06,-9.299279933470076287e+01
7.180739881648776054e+09,5.121820717545682666e-06,-9.280121259329030181e+01
7.180743881648776054e+09,5.059395950285673006e-06,-9.290772666750270048e+01
7.180747881648776054e+09,5.155204693332792657e-06,-9.274478176088216230e+01
7.180751881648776054e+09,5.039189651726137429e-06,-9.294248597349343299e+01
7.180755881648776054e+09,4.981382682271363875e-06,-9.304270191132330581e+01
7.180759881648776054e+09,5.091382722100529974e-06,-9.285298515486641691e+01
7.180763881648776054e+09,5.052664284919812941e-06,-9.291929117754824574e+01
7.180767881648776054e+09,5.062388292294007149e-06,-9.290259098142639971e+01
7.180771881648776054e+09,4.935814675860204530e-06,-9.312252314425940369e+01
7.180775881648776054e+09,4.910100239571622224e-06,-9.316789287687453225e+01
7.180779881648776054e+09,4.941057184374311182e-06,-9.311330244051819705e+01
7.180783881648776054e+09,5.019743200956548791e-06,-9.297607004014189158e+01
7.180787881648776054e+09,4.870989048426197873e-06,-9.323735698061875610e+01
7.180791881648776054e+09,5.019855420939155895e-06,-9.297587586297986206e+01
7.180795881648776054e+09,5.102064263931327436e-06,-9.283478155257314768e+01
7.180799881648776054e+09,5.015079380709236581e-06,-9.298414381136146289e+01
7.180803881648776054e+09,5.008808843689302927e-06,-9.299501089176216340e+01
7.180807881648776054e+09,4.993129632961137198e-06,-9.302224321395090101e+01
7.180811881648776054e+09,4.943735080157968233e-06,-9.310859623988480394e+01
7.180815881648776054e+09,5.034895904822919856e-06,-9.294989012224402813e+01
7.180819881648776054e+09,4.955207582303060113e-06,-9.308846299222018672e+01
7.180823881648776054e+09,4.966910730260223344e-06,-9.306797295259114833e+01
7.180827881648776054e+09,5.079500751556172951e-06,-9.287327946500158760e+01
7.180831881648776054e+09,5.194794350567384862e-06,-9.267833285220118000e+01
7.180835881648776054e+09,5.100951883504724911e-06,-9.283667550501226629e+01
