# q_label, peak_index, center_Hz_request, fr_fit_Hz, Ql, Qc_mag, Qi, phi_rad, a_mag, method
q1,1,7148838954.551633,7148863870.897607,37115.29380524279,97651.46272927121,59871.029074487924,-0.37314177196603504,4.85937018657647e-06,scipy
q2,2,7181254354.61548,7181281048.238774,41191.206557530626,78720.31171644383,86401.86347249258,-0.24191159064846568,4.738485481824084e-06,scipy
q3,3,7206413462.548408,7206425708.713779,44171.62339860039,88958.41893753111,87736.52439652442,-0.1718342002675003,4.500752423016431e-06,scipy
q4,4,7230262978.353047,7230265292.9753685,37643.23314241187,62258.443038927566,95209.79492966497,-0.12319018753377174,4.489974661662358e-06,scipy
q5,5,7262001900.670636,7262026989.072206,34658.486395620836,55416.24168339361,92526.52957189822,-0.1959033134206682,4.388010889237337e-06,scipy
q6,6,7290473935.820321,7290469745.727947,27198.3130307371,45163.510009811354,68375.05228829257,-0.08717356916993077,4.312659209932671e-06,scipy
