Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_channel,Fit_on_data,A_fit,T2star_fit_us,fdet_fit_MHz,phi_fit,C_fit
0.01,-3.932287485815409e-07,-2.6573281814235785e-07,4.745974919327789e-07,-2.547313099228303,MAG,7.513864200643203e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
0.25995,-3.4856499563012216e-07,-2.4162103353717316e-07,4.241205960881868e-07,-2.535453222023177,MAG,6.676380646390747e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
0.5099,-3.90455053052606e-07,-2.6341596891501343e-07,4.7100225172895797e-07,-2.548091450057587,MAG,4.881732132756468e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
0.7598499999999999,-3.7872647085436223e-07,-2.4638677601352635e-07,4.518187502972179e-07,-2.564819253825367,MAG,2.906115301434486e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
1.0097999999999998,-3.7980428859076037e-07,-2.4381219145736615e-07,4.5132658057683345e-07,-2.5709032295401886,MAG,1.5695022802267954e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
1.25975,-3.44180503490851e-07,-2.5051958045438623e-07,4.256997523774913e-07,-2.5124040871778552,MAG,1.3965529396326264e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
1.5096999999999996,-3.5218229773200443e-07,-2.57200729477209e-07,4.361015777079953e-07,-2.5108155179908858,MAG,2.412428751847584e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
1.7596499999999997,-3.5354107479593574e-07,-2.322659365752327e-07,4.230115327754498e-07,-2.560333091461923,MAG,4.152183607243121e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
2.0096,-3.326251143848708e-07,-2.304632023582987e-07,4.0466375469121333e-07,-2.535673577587974,MAG,5.871426245028647e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
2.25955,-3.5639008160064123e-07,-2.395842204848539e-07,4.2943508120395427e-07,-2.5497327101162837,MAG,6.863627040601076e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
2.5095,-3.3666864454078116e-07,-2.484338776837818e-07,4.184078964335247e-07,-2.505868925220569,MAG,6.74930586019405e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
2.7594499999999997,-3.532642249340099e-07,-2.3537590923869385e-07,4.244966799259666e-07,-2.5538518667646675,MAG,5.619233118392228e-07,3.25181616056576e-07,12.39592348135876,0.4199329066882665,0.02794463053111763,4.2694644633921e-07
