Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5170000000.0,-116.99650022601739,-117.86791863306406,-124.40050221639744,-2.701102347396669
5170050000.0,-117.33633878120975,-118.43123900688424,-123.85639116504477,-2.649966363568976
5170100000.0,-117.06981307568434,-118.49325537204628,-122.60655658691974,-2.5845910443085343
5170150000.0,-117.41002479616361,-118.62723042668237,-123.52862596630415,-2.6244593789716726
5170200000.0,-116.30786046886232,-117.37512313211985,-122.92569908219664,-2.6559514529214714
5170250000.0,-116.89932786004661,-117.91963922619848,-123.69001619798901,-2.66632273028419
5170300000.0,-117.05216737673595,-118.32436987467345,-123.00503233743142,-2.613468012594951
5170350000.0,-116.22005586818348,-117.3218490070346,-122.71615440998167,-2.6484870015668456
5170400000.0,-117.33124439885601,-118.24579368392608,-124.54626945910177,-2.6907086201423995
5170450000.0,-117.41155675614772,-118.51308461471767,-123.90857404235653,-2.6485438391407983
5170500000.0,-117.04798691264108,-118.57671755059854,-122.32448716623635,-2.565534965774533
5170550000.0,-117.49739466929833,-118.65092140316244,-123.81896586022324,-2.637547652207193
5170600000.0,-116.5730960582679,-117.62163291402045,-123.25882767235467,-2.660056486112057
5170650000.0,-116.8062415080905,-117.94142094263486,-123.18867294995331,-2.641394784587291
5170700000.0,-116.79404378418197,-117.6850849532239,-124.11081516740833,-2.6963391621698722
5170750000.0,-116.92754798330114,-118.04222088989945,-123.37933900092402,-2.6457367167830967
5170800000.0,-117.13528187924062,-118.03445550442339,-124.41652201802924,-2.694382114925976
5170850000.0,-118.40023015944995,-119.70419668009652,-124.2610912290319,-2.607244252188223
5170900000.0,-117.05151094053754,-117.96940957284272,-124.25227575247915,-2.689912956983575
5170950000.0,-116.78017876016085,-117.90386000811041,-123.20132382643999,-2.643823807886626
5171000000.0,-116.84043563535339,-117.45006213207292,-125.66888863759858,-2.7712974533978794
5171050000.0,-117.25863369870851,-118.22695220495316,-124.25146164490411,-2.67812506063307
5171100000.0,-117.26587442035806,-118.5645946907297,-123.14175139028893,-2.608266098980112
5171150000.0,-117.44204465777953,-118.61252329899241,-123.70835598957763,-2.6340239547417026
5171200000.0,-117.17303246521149,-118.01520606354492,-124.71114360459777,-2.7083123079503064
5171250000.0,-117.02536434465772,-117.84358711540285,-124.67718198385327,-2.714320365108596
5171300000.0,-117.44666273605588,-118.6329687003783,-123.66219808496271,-2.630760199872532
5171350000.0,-117.29509416658703,-118.31607815681053,-124.08324358158887,-2.666172278738734
5171400000.0,-116.92207217970255,-117.80157971230494,-124.28985459891439,-2.6991317057244615
5171450000.0,-116.75263969919342,-117.83469893997028,-123.31777457699323,-2.6527364162112788
5171500000.0,-116.85990300502118,-117.74255734692359,-124.21369467869951,-2.698367797362604
5171550000.0,-116.58866473464003,-117.56377132478904,-123.55442166630455,-2.676564389904571
5171600000.0,-117.75239718938451,-118.94166347705976,-123.95852137218876,-2.6301525170626747
5171650000.0,-116.5434351220654,-117.68939881106589,-122.889959521321,-2.6391292533641044
5171700000.0,-117.41017446575728,-118.35972496713254,-124.47896511119916,-2.682472092146697
5171750000.0,-116.67682398015594,-117.62397044563497,-123.75546556445963,-2.6830323590175085
5171800000.0,-116.91460902721572,-118.03814980726466,-123.33622981664148,-2.643853569151164
5171850000.0,-116.48186555760866,-117.86330202962661,-122.12882407097862,-2.5924245334925646
5171900000.0,-116.95679167892715,-118.21172195454213,-122.96080518418451,-2.6168899756789896
5171950000.0,-116.74623453973538,-117.77285438860548,-123.51318402389035,-2.6649138379436303
5172000000.0,-116.7272808847172,-117.90070703902059,-122.98407706299398,-2.633414247396635
5172050000.0,-117.72693431097329,-118.71289744902725,-124.64982955902886,-2.674080882320881
5172100000.0,-118.22180324930645,-119.13438538822092,-125.44523069535279,-2.6911766841974054
5172150000.0,-117.39890144988959,-118.32693188056584,-124.5568779165962,-2.687515830024594
5172200000.0,-117.08265415716798,-117.92919217407373,-124.60042839880995,-2.707227654263539
5172250000.0,-117.34969113825402,-118.25703017629738,-124.59561219218976,-2.6924269696416414
5172300000.0,-117.71460329158268,-119.22610974254091,-123.03220247499608,-2.5685981244880036
5172350000.0,-116.49794307159637,-117.23441625246784,-124.56725088516643,-2.735586660524571
5172400000.0,-117.06901146199596,-117.99046535665386,-124.2547023400448,-2.6890701371637107
5172450000.0,-117.10276560826527,-118.07715601919718,-124.07136873629489,-2.676728762335042
5172500000.0,-117.41362104039405,-118.4262609499487,-124.23339999164895,-2.6680426204917205
5172550000.0,-117.33300866015642,-118.09017301630568,-125.29203345247973,-2.730087093667125
5172600000.0,-116.9880726369204,-117.88127427874582,-124.29536987555397,-2.6958182913061837
5172650000.0,-116.85178772094176,-117.77555544480713,-124.02770284123179,-2.688522583709452
5172700000.0,-117.00484025997584,-118.29865158819622,-122.89483137476878,-2.6092244108084635
5172750000.0,-116.76193767798452,-117.5827668223408,-124.40120547681984,-2.7136619146968397
5172800000.0,-117.51071057187283,-118.58559495631839,-124.10129919125285,-2.6542922666891653
5172850000.0,-117.07820658527208,-117.99438435800234,-124.28629094115269,-2.690321558901504
5172900000.0,-116.9810618798117,-117.758364779678,-124.83585835416497,-2.7248125015800926
5172950000.0,-117.20985060677584,-118.11369613045257,-124.47083941718898,-2.693262267126055
5173000000.0,-116.9235883440993,-118.23609281307382,-122.7601608878096,-2.605586335228316
5173050000.0,-117.26517070623926,-118.5979657319224,-123.04474863939802,-2.601671187650267
5173100000.0,-117.19663073838534,-118.24690121147606,-123.87601972988361,-2.659674720564215
5173150000.0,-116.28345892605375,-117.22874873344682,-123.36972754251013,-2.6834655998949435
5173200000.0,-117.02586593189287,-118.53426312111145,-122.35094329477717,-2.569153276923429
5173250000.0,-117.67070576796557,-118.79502648669585,-124.08968598894506,-2.6436883483838303
5173300000.0,-116.79437221089849,-117.96222620652495,-123.06917945267129,-2.634567612948255
5173350000.0,-116.79634881004219,-117.7986778016946,-123.65561892604674,-2.6703658051662282
5173400000.0,-116.95297948756328,-117.66957769809913,-125.1314389325058,-2.740948947593334
5173450000.0,-117.1320631183755,-118.05164225678631,-124.32569470438153,-2.689514346504467
5173500000.0,-117.82244298527914,-118.8379183219974,-124.63144112425319,-2.6674060879101162
5173550000.0,-117.49991269402047,-118.45135089046272,-124.56098763416043,-2.6820327130343253
5173600000.0,-116.38682612591526,-117.3305287659856,-123.47962795171773,-2.683836332105965
5173650000.0,-116.13945529556614,-117.54200205139968,-121.73054176074211,-2.588470606883778
5173700000.0,-116.87120295756408,-117.79649683698352,-124.04068504833194,-2.688161844913964
5173750000.0,-116.58131048328572,-117.51851379360211,-123.70099339809815,-2.6853580815134332
5173800000.0,-117.42023419087447,-118.69273209382314,-123.37223133898675,-2.6134097207778737
5173850000.0,-116.65894369327671,-117.69526735270696,-123.38969563891604,-2.662756114094051
5173900000.0,-117.52505666550337,-118.82537816825217,-123.39634313081899,-2.6079539635414966
