Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5149000000.0,-111.10121207920733,-112.32471571802641,-117.2004018435586,-2.6231864163748235
5148990000.0,-110.88755170143355,-112.13409897785246,-116.91668304448045,-2.61856059023787
5148980000.0,-110.75176218246719,-111.88736825357668,-117.13276574815411,-2.641304925913833
5148970000.0,-110.89602854735247,-112.0247954704536,-117.29999526002592,-2.6427477127929784
5148960000.0,-111.24708755067921,-112.26616460018207,-118.04243989548596,-2.6665989651978137
5148950000.0,-111.00850234555736,-112.10414398860097,-117.52597002036529,-2.6498069875779966
5148940000.0,-111.36929596478373,-112.52215923453,-117.69304870048774,-2.6376861607234385
5148930000.0,-110.79057180048548,-111.87302880235661,-117.35430114964616,-2.6526503333502327
5148920000.0,-110.8295075544146,-111.93155958783201,-117.32470970887942,-2.6484315396320444
5148910000.0,-110.83972299635931,-111.9495522353617,-117.30810827041452,-2.646768887769005
5148900000.0,-111.2163383604863,-112.51678573121433,-117.0872642575917,-2.6079294369589117
5148890000.0,-111.3877416317486,-112.5608266217286,-117.64563775932214,-2.6334847741400056
5148880000.0,-111.54527818054048,-112.76822011869534,-117.64619452988435,-2.6232997952492934
5148870000.0,-111.5801952519044,-112.83771284090986,-117.57649542070078,-2.6163756581530073
5148860000.0,-111.29771327460827,-112.4187115764831,-117.72795636957326,-2.644392615345226
5148850000.0,-111.6434942094726,-112.91711912975657,-117.59218264742445,-2.613187399848652
5148840000.0,-111.22022904759285,-112.41579519376839,-117.4064141880337,-2.628862180292272
5148830000.0,-111.0295394835189,-112.0666368104849,-117.75742187098402,-2.662584572123978
5148820000.0,-111.77652487301228,-113.11165289916916,-117.54961419123683,-2.6012232484309568
5148810000.0,-111.45873122109465,-112.54816650060857,-117.99789664106308,-2.6511430028218728
5148800000.0,-111.55604863758974,-112.84884983716373,-117.4489517483234,-2.6094218663905195
5148790000.0,-111.2478806660553,-112.50737193705609,-117.23830914457136,-2.615983730562443
5148780000.0,-111.62484303952357,-112.92942772228754,-117.48393940175109,-2.60712400546987
5148770000.0,-110.83978374172912,-111.96130674933245,-117.26824558625523,-2.644281312546016
5148760000.0,-111.39650473933885,-112.46887516783269,-117.99605736008921,-2.654838798506838
5148750000.0,-111.00673543063385,-112.00646570823392,-117.87603053096402,-2.6709534389465066
5148740000.0,-110.61158295705576,-111.67078350029274,-117.25848604225298,-2.657713799054305
5148730000.0,-110.808067490413,-111.9039295065792,-117.32476728794487,-2.649759627663095
5148720000.0,-110.60728413941465,-111.48554260632224,-117.98063525615638,-2.6994353430356424
5148710000.0,-110.32466198620952,-111.32899781735576,-117.17621027170553,-2.6699125924129157
5148700000.0,-110.27484691515974,-111.25717102249072,-117.21205006981138,-2.674911625004369
5148690000.0,-110.10983814703633,-111.21933047871487,-116.57938070726367,-2.64684077657997
