Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5100000000.0,-108.01996057119338,-114.43741018515148,-109.1447336631591,-1.0727962214820173
5100050000.0,-108.09958052951674,-114.57584837679909,-109.20711729824595,-1.0764619695008246
5100100000.0,-107.7123479661621,-113.3959109633878,-109.08015520240349,-1.0241997153137323
5100150000.0,-107.93330552711218,-114.27228237991697,-109.08155082516342,-1.0678551672330425
5100200000.0,-108.22909293517101,-114.72272643030765,-109.33159819448915,-1.0775381378435378
5100250000.0,-108.21319719123794,-114.64566045792654,-109.3335418835418,-1.073734976323867
5100300000.0,-107.6391586269842,-113.91772174138724,-108.80585445919608,-1.064011404882503
5100350000.0,-107.8041419473729,-114.79176543656186,-108.77376137117282,-1.107029163863523
5100400000.0,-107.83909780085395,-114.42623701029638,-108.91495134495239,-1.0832854381221497
5100450000.0,-107.9180038910451,-114.72012236984725,-108.93529327851822,-1.0962030426546954
5100500000.0,-107.89786414490189,-114.55820826355304,-108.95335954270905,-1.0877299371132618
5100550000.0,-107.84341624949698,-113.93936930192501,-109.06797366835727,-1.0521774653778695
5100600000.0,-108.35428354007766,-114.42916891334094,-109.58572550205277,-1.0507909285300048
5100650000.0,-107.93094972381422,-114.1305371718692,-109.12227713967803,-1.0589336008593633
5100700000.0,-107.85295533432327,-113.6439270894981,-109.18166512263787,-1.0316603297640816
5100750000.0,-108.03334741818486,-113.97632532717849,-109.30892017690967,-1.0420071003832503
5100800000.0,-108.00382571809571,-114.7221242377542,-109.04351168123442,-1.0912148005901743
5100850000.0,-107.94562081636667,-114.46968846162959,-109.03937039975581,-1.0794175011937361
5100900000.0,-107.8448186462107,-114.15576239559545,-109.00158368443465,-1.066075928856626
5100950000.0,-108.22998713714315,-114.52673112057907,-109.39109518336369,-1.0651718183460026
5101000000.0,-107.89836129503742,-114.57938097651372,-108.9481857467071,-1.088976579697858
5101050000.0,-108.0582858215707,-114.54159412465002,-109.1637795659735,-1.0768986088090187
5101100000.0,-107.9188781891056,-114.27064641392971,-109.06325971632145,-1.0686645423928165
5101150000.0,-107.9906665790325,-114.08273259318693,-109.21649088221761,-1.0519219814547274
5101200000.0,-107.88860177985305,-113.82784565561437,-109.16545006116442,-1.0417558429880598
5101250000.0,-107.8810682630568,-114.74709363992694,-108.88164530073595,-1.0999655448472745
5101300000.0,-107.90571987343804,-114.40214182343712,-109.00741962244552,-1.0777106831106893
5101350000.0,-107.80016199630006,-114.2118473200042,-108.92664058820189,-1.0724352403903994
5101400000.0,-107.93158335791958,-114.29000312142556,-109.07396156319776,-1.0690848063147085
5101450000.0,-108.10352455339626,-114.56547928517656,-109.21522795499291,-1.0755728803377385
5101500000.0,-108.00773915042936,-114.38409521148523,-109.14473511646841,-1.070215990856522
5101550000.0,-108.02354566496479,-114.60402175676083,-109.1012740993299,-1.0828785150229652
