# freq_Hz, amplitude_linear, amplitude_dBm, phase_rad
-1.000000000000000000e+08,1.187809032655374238e-04,-6.549476757272213945e+01,7.100989962032183689e-01
-9.600000000000000000e+07,1.334007973278902252e-04,-6.448653153659694226e+01,3.217471145385477627e-01
-9.200000000000000000e+07,5.553122584817798290e-05,-7.209895483134692995e+01,1.210394049006557893e+00
-8.800000000000000000e+07,1.260932976529075575e-04,-6.497585998830088272e+01,9.095023825910010240e-01
-8.400000000000000000e+07,8.254952836119106051e-05,-6.865540811723913350e+01,9.041174159907627850e-01
-8.000000000000000000e+07,-1.517177288404111207e-05,-8.336897338640181943e+01,1.764229679419762276e+00
-7.600000000000000000e+07,2.030068706194402162e-04,-6.083948531252291048e+01,2.962701208029971389e-01
-7.200000000000000000e+07,2.352080617117456465e-04,-5.956065598295467112e+01,5.801793795326823933e-01
-6.800000000000000000e+07,5.278733166229676913e-05,-7.253910585377822429e+01,9.503610550809119539e-01
-6.400000000000000000e+07,1.497790148422702930e-04,-6.348068064880490624e+01,1.617874376209740561e-01
-6.000000000000000000e+07,2.078666062079841657e-04,-6.063400553373640633e+01,6.170808877811265747e-01
-5.600000000000000000e+07,1.459129058683846663e-04,-6.370782591220260827e+01,8.733670778823497960e-01
-5.200000000000000000e+07,7.505429607151362266e-05,-6.948218892143367498e+01,9.334746642702834718e-01
-4.800000000000000000e+07,-5.359964997226888435e-05,-7.240646097174676754e+01,1.882432013233669155e+00
-4.400000000000000000e+07,2.262562445940940938e-04,-5.989768855495734101e+01,8.122975837994044213e-01
-4.000000000000000000e+07,2.076008641146139335e-04,-6.064511690574435221e+01,8.192086551272561579e-01
-3.600000000000000000e+07,7.700514487744841577e-05,-6.925930519776977690e+01,1.225123732633587315e-01
-3.200000000000000000e+07,1.659602201830543149e-04,-6.258961999645406138e+01,5.668604878265154356e-01
-2.800000000000000000e+07,1.444465316156356061e-04,-6.379555767888010109e+01,3.128946680412310610e-01
-2.400000000000000000e+07,2.886871793914728502e-04,-5.778115009786714040e+01,4.482961731376339243e-01
-2.000000000000000000e+07,3.833426571381723044e-05,-7.531795706662481393e+01,1.311981164742494377e+00
-1.600000000000000000e+07,2.055253021159731569e-04,-6.073239413781222851e+01,3.774913274847276901e-01
-1.200000000000000000e+07,2.277842106443856145e-04,-5.983922770887367193e+01,3.401442620274099937e-01
-8.000000000000000000e+06,2.681873081273108560e-04,-5.842093562008056296e+01,3.492739768008542023e-01
-4.000000000000000000e+06,2.792845388682994607e-04,-5.806876216500351973e+01,6.723910233779448742e-01
0.000000000000000000e+00,9.768091986803547526e-05,-6.719350522860997899e+01,1.187464893626185791e+00
4.000000000000000000e+06,9.453229415161454698e-05,-6.747809608990947083e+01,8.229413786741138770e-01
8.000000000000000000e+06,1.236341125708980673e-04,-6.514693372583079167e+01,3.961150236479889508e-01
1.200000000000000000e+07,9.603201363250332061e-05,-6.734137933543424026e+01,1.164911358347942461e+00
1.600000000000000000e+07,1.950651997707547516e-04,-6.118610410658224197e+01,7.636524462714090467e-01
2.000000000000000000e+07,1.048774727289019277e-04,-6.657605577428036270e+01,7.569274297163781640e-01
2.400000000000000000e+07,5.268076969469435023e-05,-7.255665781106696954e+01,1.162434915789438028e+00
2.800000000000000000e+07,1.257830952553510499e-04,-6.499725449154725254e+01,8.606604031001338084e-01
3.200000000000000000e+07,1.998244917821806281e-04,-6.097672570149902782e+01,9.145207636321077693e-01
3.600000000000000000e+07,1.833788699992979908e-04,-6.172271419872821241e+01,4.663298629974692022e-01
4.000000000000000000e+07,1.383436410538465893e-04,-6.417051601035039710e+01,1.989377492237645040e-01
4.400000000000000000e+07,8.850078481214294966e-05,-6.805075760385074091e+01,9.639550147703541683e-01
4.800000000000000000e+07,2.134779860675304469e-04,-6.040263810225852126e+01,6.359266332886641671e-01
5.200000000000000000e+07,1.343358913402482673e-04,-6.442585881775347900e+01,8.139907871637438452e-01
5.600000000000000000e+07,1.368128197546623892e-04,-6.426716416470551962e+01,7.477863655522245523e-01
6.000000000000000000e+07,1.591410700418974527e-04,-6.295405456597734428e+01,8.170310413715436981e-01
6.400000000000000000e+07,1.675474326478692589e-04,-6.250694449398463348e+01,7.040862075281258958e-01
6.800000000000000000e+07,1.066004114892947079e-04,-6.643452242099655791e+01,9.007516634676936140e-02
7.200000000000000000e+07,2.463904400536415067e-04,-5.915722297939679208e+01,4.086513028029652439e-01
7.600000000000000000e+07,1.220465941865588863e-04,-6.525918675201120323e+01,1.121763741814217230e+00
8.000000000000000000e+07,9.452821522462498752e-05,-6.747847088113155678e+01,1.078249506674149316e+00
8.400000000000000000e+07,1.238025722555671565e-04,-6.513510668040622420e+01,7.097432102998753045e-01
8.800000000000000000e+07,5.023473915222621545e-05,-7.296961701348681117e+01,1.205095281269773944e+00
9.200000000000000000e+07,2.081325522477038982e-04,-6.062289984653283170e+01,6.605939901708131057e-01
9.600000000000000000e+07,2.112872963546091453e-04,-6.049223232559347707e+01,7.546152851033527398e-01
1.000000000000000000e+08,1.435981148018058279e-04,-6.384672527539434839e+01,-1.313119360431996563e-01
1.040000000000000000e+08,1.068967455350866970e-04,-6.641041037654076717e+01,8.612872338380742621e-01
1.080000000000000000e+08,1.579432931314113310e-04,-6.301967626637619446e+01,7.899247322802099847e-01
1.120000000000000000e+08,1.728077188667886336e-04,-6.223843729596758578e+01,3.220231540525034797e-01
1.160000000000000000e+08,2.804129740199629765e-05,-7.803373797337877704e+01,1.234899152388976518e+00
1.200000000000000000e+08,1.602133179742796978e-04,-6.289572775067615140e+01,7.122213338621520284e-01
1.240000000000000000e+08,2.608171969230383075e-04,-5.866297558110748156e+01,3.361705895542861366e-01
1.280000000000000000e+08,1.334598397960642024e-04,-6.448268805951906302e+01,5.201950283936066510e-01
1.320000000000000000e+08,1.338234761371840244e-04,-6.445905390887963904e+01,9.793209605598557355e-01
1.360000000000000000e+08,1.529246833366237782e-04,-6.330014824594335465e+01,1.104606352144223008e-01
1.400000000000000000e+08,2.442646052798542913e-04,-5.923248922581535680e+01,4.188890080369480629e-01
1.440000000000000000e+08,1.378422389536541515e-05,-8.420205366963327265e+01,1.472528233308616041e+00
1.480000000000000000e+08,2.097020213801142376e-04,-6.055764770777783923e+01,9.858305663268015495e-01
1.520000000000000000e+08,1.583867744683519147e-04,-6.299532175273705548e+01,7.476924841827223833e-01
1.560000000000000000e+08,3.059543990432288989e-04,-5.727656600521114427e+01,2.659970015160213475e-01
1.600000000000000000e+08,9.146310553831543395e-05,-6.776478117676032298e+01,1.180729729863616795e+00
1.640000000000000000e+08,5.946953182977892868e-05,-7.150380965223588703e+01,8.576781658430496780e-01
1.680000000000000000e+08,1.469984103134829695e-04,-6.364344727980011385e+01,6.909112190208824833e-01
1.720000000000000000e+08,1.965873533500861090e-04,-6.111858852694070521e+01,3.255838765950915259e-01
1.760000000000000000e+08,6.589761484581110125e-05,-7.061230613025051639e+01,-1.649948487122573360e-01
