Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5400000000.0,-120.14793537035068,-136.50874314667328,-120.24950695188757,1.723428888730686
5400250000.0,-122.72105848616847,-142.46952676219246,-122.76732306994539,1.67391719660253
5400500000.0,-122.40061256049404,-137.7596823675191,-122.52892751730819,1.7422617957174076
5400750000.0,-123.40977593523371,-134.6435307989962,-123.74962857763012,1.8487148187216884
5401000000.0,-122.50590848829316,-133.707542070529,-122.84838620101446,1.8497720069206731
5401250000.0,-122.94375360090748,-138.04852483911466,-123.07992884385322,1.7474088689241893
5401500000.0,-123.64933918537888,-134.8043728105871,-123.99566276535299,1.8513132636493448
5401750000.0,-122.35514703200165,-139.9670624048054,-122.43107180146677,1.7028245246585128
5402000000.0,-122.30133915286126,-135.50270619220237,-122.51427606509482,1.7913211152802193
5402250000.0,-121.35175692335879,-134.4350513288545,-121.57071283305781,1.7943902694569718
5402500000.0,-122.39030334242659,-139.40482137596396,-122.4775375696982,1.7122857934567786
5402750000.0,-123.5994460835593,-135.50572940848937,-123.88887854218156,1.8275205749066765
5403000000.0,-122.22553994343265,-136.68216759355673,-122.3840374075037,1.7612535267657325
5403250000.0,-123.14571418695249,-146.33967964784298,-123.16657977490968,1.6400829289709293
5403500000.0,-123.25873366532088,-136.8118283551718,-123.45472531658481,1.782433597512986
5403750000.0,-123.31116321526478,-136.93819358534893,-123.50377201391956,1.7806128369690772
5404000000.0,-122.66365597583379,-134.4705014738112,-122.96002580254681,1.8305443964763501
5404250000.0,-121.96148342821084,-133.8277085997491,-122.25369015853488,1.828734257746741
5404500000.0,-122.66204220105695,-136.55219950044815,-122.84308841413937,1.7742627784898144
5404750000.0,-123.26732391192066,-134.28385039425476,-123.62534597956949,1.855947532529251
5405000000.0,-123.82599119242556,-150.61048423532117,-123.83510690688765,1.6166028399370416
5405250000.0,-122.25725807338026,-147.62179867956297,-122.2699043422403,1.6247453590938046
5405500000.0,-121.23696125856247,-142.44830662897994,-121.26994484754377,1.6578890562418018
5405750000.0,-122.45377522296438,-136.6948417592501,-122.62049494472633,1.766100319333612
5406000000.0,-124.05115409762765,-136.38775541456874,-124.31244434033138,1.8148525419411217
5406250000.0,-123.49153278938658,-137.05615411752458,-123.68699307975726,1.7821486717074329
5406500000.0,-122.47729281698768,-148.15654189147102,-122.4890539002702,1.6228238909663277
5406750000.0,-122.09823939294753,-132.79898743937312,-122.48449905714337,1.866818355130113
5407000000.0,-121.81206623430114,-140.7861106659833,-121.86741967234384,1.6835728673112553
5407250000.0,-122.43302939374249,-161.73647420500842,-122.43353927062735,1.5599611436314729
5407500000.0,-124.04810881289522,-133.0504037839828,-124.63213012046134,1.9334105323415987
5407750000.0,-123.19628641302613,-135.0705040748636,-123.48793742732029,1.8284916228871055
5408000000.0,-125.18288398250446,-134.5334228728762,-125.71900226148976,1.9185418900545734
5408250000.0,-122.52298602991166,-146.66728450028788,-122.53974286658624,1.6328924108720202
5408500000.0,-122.49994252936601,-147.64506682285753,-122.51324513887083,1.626126930011969
5408750000.0,-121.48747963959521,-163.29317383259132,-121.48776620860323,1.5626732592132404
5409000000.0,-123.20473254176306,-141.43954566923642,-123.27043535990485,1.6936398269620332
5409250000.0,-123.04945293098613,-135.13307390241866,-123.32692676935432,1.8222188388069631
5409500000.0,-121.88528116443074,-133.72342271337968,-122.17944924107643,1.8295887127225363
5409750000.0,-122.27549354296352,-135.6559417241388,-122.47962314863956,1.7867489311705766
5410000000.0,-122.17978032068848,-143.30190661379322,-122.21345117510594,1.6587905752115024
5410250000.0,-121.57871157398213,-150.17392086763888,-121.58471727395502,1.6079789145726777
5410500000.0,-123.16442529487145,-145.5723676368759,-123.18944258939021,1.494935160098289
5410750000.0,-124.30482919459183,-151.1307030924669,-124.31385837441218,1.5252076749124026
5411000000.0,-121.86745356497352,-139.13510819423828,-121.94970145257358,1.7081956540513232
5411250000.0,-122.43554232819763,-135.10809482325828,-122.67683140387135,1.8054158221714027
5411500000.0,-123.48088170963567,-146.470426439276,-123.50275545068013,1.6417356565806818
5411750000.0,-124.30666628575672,-135.2964865659119,-124.66699092322975,1.8568503458573014
5412000000.0,-121.6661203232091,-129.168900359006,-122.515892127418,2.0059630098579335
5412250000.0,-123.55711479220207,-137.73363806387587,-123.7263800231938,1.7675760170856016
5412500000.0,-122.15113225056272,-137.32440797918292,-122.28514312854173,1.7460069940141443
5412750000.0,-124.70800784541498,-170.0,-124.70801501994944,1.5695110263803245
5413000000.0,-122.41562225906969,-147.49027185585223,-122.42914283542322,1.6265781583068324
5413250000.0,-122.18373766170872,-151.52645737690784,-122.18879317307128,1.6049115533470526
5413500000.0,-124.24595827228332,-135.99923410287172,-124.54613650311038,1.8321888283693646
5413750000.0,-122.59885137003211,-133.58319849376917,-122.95964979726679,1.8570357406153128
5414000000.0,-123.03777265105587,-138.52343712748018,-123.16234789226237,1.7397567906046079
5414250000.0,-120.83907382693067,-130.03963452923938,-121.395288167204,1.924862344126919
5414500000.0,-121.89351847632798,-136.38363367919362,-122.0507761875895,1.7605117133903796
5414750000.0,-121.44748445876846,-131.281719681258,-121.92387438758277,1.8989763638342614
5415000000.0,-122.38447544640145,-137.66418990783046,-122.51519252273185,1.7438513285002952
5415250000.0,-121.81010902877297,-138.3564431226206,-121.90738501050663,1.7201788261766406
5415500000.0,-120.5361123633352,-144.57427956188272,-120.55328456256589,1.6336568067320454
5415750000.0,-123.06819447317862,-132.85412205534251,-123.55021987869941,1.9008759466697136
5416000000.0,-121.79612998167407,-133.5673014049918,-122.09503036813862,1.8316382772762672
5416250000.0,-122.91978810469027,-134.71049785539338,-123.21729977243179,1.8310385739956745
5416500000.0,-123.0031150289374,-151.52415774673227,-123.00922424471236,1.608297915400578
5416750000.0,-121.1749871547007,-131.57784293490698,-121.59002266724046,1.8774770439198338
5417000000.0,-122.97121788893463,-137.10134234382787,-123.14233748749416,1.768643931623979
5417250000.0,-122.74029510266807,-133.83897705030074,-123.0913294536402,1.8531890536643711
5417500000.0,-123.12234248008383,-142.44158454222602,-123.17344149769822,1.6791611212018305
5417750000.0,-123.99215055863769,-135.42218287858984,-124.3164104259574,1.842345809991665
5418000000.0,-123.90263257858422,-139.67725032241592,-124.0190805496018,1.734177863592611
5418250000.0,-122.38056205892386,-153.28909114753537,-122.38408664092924,1.5423102735153125
5418500000.0,-122.16769121477594,-137.11081880340626,-122.30911536277497,1.7507623255592932
5418750000.0,-123.98694843696914,-156.19767744798742,-123.98955964795482,1.5953155702675543
5419000000.0,-122.68772074669157,-139.0477911174052,-122.78930977923818,1.7234419489115558
5419250000.0,-122.28575521897243,-141.59522837026427,-122.3369699879639,1.6792835466848075
5419500000.0,-121.55841143698967,-142.96019111880733,-121.58997482080962,1.65599573194572
5419750000.0,-123.07543214222525,-142.89588576459388,-123.12093220185537,1.673063109671946
5420000000.0,-123.61586830694586,-149.05765591399248,-123.62829130887394,1.6242672386992623
5420250000.0,-123.60232793337465,-138.31365258872756,-123.75164040349325,1.7556852559575729
5420500000.0,-123.10886988057355,-152.4161990407825,-123.11396678177651,1.6050508933946068
5420750000.0,-123.92723611640673,-135.24825012398352,-124.26006266859746,1.845864155614838
5421000000.0,-121.06681345840732,-133.9142256957522,-121.29832204161245,1.8006547715985948
5421250000.0,-122.60973015518167,-143.00376414985286,-122.64957495310148,1.6665072638052312
5421500000.0,-122.90116747585911,-133.68344020322888,-123.27992137320919,1.8639704476216372
5421750000.0,-123.02003957553019,-140.35259536558488,-123.10105603463046,1.7071664168468503
5422000000.0,-122.1735629820442,-129.5897320612207,-123.04228249926986,2.0106268949015305
5422250000.0,-122.47144145457115,-140.3320376894631,-122.54310577326717,1.6990772173860076
5422500000.0,-121.72055500234448,-131.29740723936985,-122.22779595969823,1.9092350208094557
5422750000.0,-123.06461169574328,-147.82137953617848,-123.07916075045043,1.6286597314732294
5423000000.0,-122.37618082792913,-133.44273201751886,-122.72993098978176,1.854264517100237
5423250000.0,-123.03936440823068,-136.9995526734299,-123.2174544176855,1.7726062586335778
5423500000.0,-120.90911129180085,-136.73463832760837,-121.02418405497845,1.7332145498949612
5423750000.0,-121.49439549704124,-132.86151199755497,-121.82357098046603,1.8443704764928441
5424000000.0,-123.49907693202313,-137.555772343417,-123.67317362670354,1.770346147578498
5424250000.0,-122.86392218714289,-144.07196387693668,-122.89693097193464,1.657922272360564
5424500000.0,-121.14418465361787,-147.92803778138793,-121.15330171275302,1.6166062171250135
5424750000.0,-123.44019940594262,-152.67075121938058,-123.44538726892443,1.6053551431923871
5425000000.0,-122.53579096338349,-134.91323617084885,-122.79456103869782,1.8136844864174322
5425250000.0,-123.14904484014065,-133.31474271898523,-123.58859312823802,1.8862548162922688
5425500000.0,-121.83638678139229,-134.95288055339458,-122.05363286656555,1.7935228561701129
5425750000.0,-123.70232820344134,-139.23809667940216,-123.82545404481237,1.738775685903404
5426000000.0,-122.17253129891111,-131.22045689141657,-122.75002396213605,1.9314234094004332
5426250000.0,-123.24806392377374,-136.61077286101087,-123.45304905559844,1.7871974387710596
5426500000.0,-124.09718501792511,-146.18759799107497,-124.12410584261599,1.6494877972860091
5426750000.0,-123.09722045786651,-138.86907842751978,-123.21374345255609,1.7342302503627176
5427000000.0,-121.9252630752907,-137.77275411946422,-122.03974761950101,1.7328007304599384
5427250000.0,-121.75348409829327,-164.96564707770574,-121.75369138830582,1.5638876431586959
5427500000.0,-121.28037018312737,-131.91419910535768,-121.67290704036586,1.8691779762494831
5427750000.0,-122.72127186683363,-133.18896778061,-123.12985824532052,1.875122769267977
5428000000.0,-122.00309491386456,-149.05296344809685,-122.01166975592294,1.615223578636155
5428250000.0,-124.06160076536594,-140.4866284341596,-124.16166413104156,1.7222958331981126
5428500000.0,-122.32737414711329,-129.81138489863312,-123.18121309048136,2.0069689078474915
5428750000.0,-121.56135859270536,-137.98252856418705,-121.66151191416957,1.7223636542187264
5429000000.0,-123.2881385647174,-142.67872124997217,-123.33840021005912,1.678271280676145
5429250000.0,-124.30597164136701,-156.3342149033507,-124.30869494548767,1.5958362631978515
5429500000.0,-121.49398567586287,-137.48736436082692,-121.60463974755716,1.7300791840628562
5429750000.0,-122.4691450398999,-146.35361235618308,-122.48693712635745,1.506812088092218
5430000000.0,-123.96498386665806,-143.20431778651948,-124.01703749430132,1.4614260079312367
5430250000.0,-123.57771404697779,-134.57422302102773,-123.93746055052121,1.8566239489082574
5430500000.0,-124.40283250011129,-138.56059884219343,-124.57284488744202,1.7680070120723952
5430750000.0,-122.95947024889755,-139.3172021403947,-123.06111464259095,1.7234833731933836
5431000000.0,-122.42168812958901,-137.84400265180528,-122.54812075434887,1.741005635846927
5431250000.0,-124.13995518405531,-143.46439826881445,-124.19099268237657,1.6790959980028326
5431500000.0,-124.66129232487523,-133.14530408116957,-125.32527933781597,1.9568439335467114
5431750000.0,-123.11428796722305,-142.99730240905487,-123.15913391791953,1.6723266296181625
5432000000.0,-121.56862001750726,-134.99461896705384,-121.77056950874243,1.7856016426556551
5432250000.0,-123.39670397486901,-148.17765480824767,-123.41117210591261,1.628498674940847
5432500000.0,-122.40563850420367,-138.0488179463489,-122.52571453840615,1.7366919471514575
5432750000.0,-122.7593669778158,-143.34668893375292,-122.79746968719722,1.6643946793275581
5433000000.0,-124.6008980314979,-137.16405809660694,-124.84852082450432,1.8084462605278664
5433250000.0,-124.30297366884517,-138.76914158503934,-124.46111692942941,1.761041889408819
5433500000.0,-121.17178036210632,-141.7347937992805,-121.21009788584524,1.6646577645468736
5433750000.0,-122.2008322729635,-139.14456886484584,-122.28951462942109,1.7134513887819476
5434000000.0,-123.12434037337997,-169.85096873175036,-123.12443265731177,1.5661866537784483
5434250000.0,-122.84832368482884,-132.98219959557764,-123.2912750696317,1.8874528969552375
5434500000.0,-122.61072424294491,-145.13875896629895,-122.63505731400818,1.6456138818821173
5434750000.0,-121.29931741798902,-140.05580468698955,-121.35753352202882,1.6864459364231301
5435000000.0,-123.14080510181788,-141.44414116519084,-123.20547170113583,1.6926697007203062
5435250000.0,-122.80846337034009,-136.92435497661975,-122.9801559388283,1.7689727056275208
5435500000.0,-124.0040355231561,-140.92826750058003,-124.09312117913564,1.7137742888500702
5435750000.0,-123.09343242667323,-141.92443853753397,-123.15065159186912,1.6854536166791911
5436000000.0,-123.38788441007331,-143.07037392602538,-123.43486106353693,1.466886328084796
5436250000.0,-122.40960880249585,-138.5892806237847,-122.51555951828676,1.7266713433093497
5436500000.0,-123.12624283988846,-133.21428981805835,-123.5741440311489,1.8891868968011667
5436750000.0,-120.26149828356156,-135.04758579641444,-120.40821882951545,1.7540826072072964
5437000000.0,-121.5581494053211,-141.12784133247965,-121.60636903484266,1.6760695389584683
5437250000.0,-123.12481697791021,-143.49095783527326,-123.16491969685401,1.6668160639942389
5437500000.0,-121.78933432319616,-140.33315091896367,-121.85049284631432,1.6893258576560057
5437750000.0,-122.48245125088135,-137.56479869490786,-122.61934264874468,1.3937224207725238
5438000000.0,-124.35394645898455,-139.1152881690175,-124.5015198013576,1.754611489459965
5438250000.0,-122.88459491304457,-137.25516615269888,-123.04632415655077,1.7631735047593422
5438500000.0,-122.71175396265318,-135.58288969643462,-122.94196734258021,1.8000165906152523
5438750000.0,-122.21959717878669,-145.57202440342655,-122.23971342826701,1.6388283994865995
5439000000.0,-123.97913457174522,-148.46305722411202,-123.9946286776829,1.630508376555763
5439250000.0,-123.51585914261655,-134.38012493166306,-123.8872176310168,1.8611354452561473
5439500000.0,-122.83633149637352,-139.24992176330207,-122.93666180366995,1.7224970005491083
5439750000.0,-121.86286201502874,-134.57225879565772,-122.10205554033294,1.8044041974092457
5440000000.0,-121.87599103230653,-134.40804017552546,-122.12544617028993,1.8093155121182902
5440250000.0,-124.24529038796993,-163.49329501143228,-124.24580681583797,1.5817008925542169
5440500000.0,-123.8376973171192,-153.68138265163657,-123.84220175892457,1.538593737221326
5440750000.0,-121.11153699594455,-132.16932463045995,-121.46603167664124,1.854558595873933
5441000000.0,-124.82947956878293,-136.19254498890024,-125.15897420253025,1.8445013852691794
5441250000.0,-122.95967336741222,-142.25200321694066,-123.01109190453704,1.679498726232003
5441500000.0,-122.57198585230752,-141.4571102906083,-122.62849179193596,1.6847383456970004
5441750000.0,-121.32467374474595,-143.38859002368324,-121.35175983267206,1.6497287154221387
5442000000.0,-122.79235433344115,-135.12657806031663,-123.05379205580529,1.8149207161716279
5442250000.0,-122.42778998020691,-147.90946804258212,-122.44009923673305,1.517570652306184
5442500000.0,-122.5051841093093,-139.22230566007602,-122.59866825835302,1.717249073551469
5442750000.0,-124.58091700850419,-141.6676675758302,-124.66669803645621,1.7111062514596922
5443000000.0,-123.3604181670836,-138.79687682614932,-123.48643367244371,1.7407259927768397
5443250000.0,-121.46585644756718,-135.98235788536866,-121.62214426423978,1.7599292931031112
5443500000.0,-122.95975283077992,-137.30764605742561,-123.1223448508362,1.7636827620163364
5443750000.0,-123.3917215295402,-135.1093209340832,-123.69446415487154,1.8332900340215121
5444000000.0,-122.34639133540372,-135.53483211382527,-122.55997883992067,1.791654984638013
5444250000.0,-122.14435555966942,-134.40020420661378,-122.41070314661118,1.8171791521540421
5444500000.0,-122.21630306235215,-134.3063662713659,-122.49335220418641,1.8220284052810505
5444750000.0,-122.4815633755941,-142.65319693014052,-122.52351190051007,1.4725951789654683
5445000000.0,-121.77291991989905,-143.6864220983688,-121.80096363359175,1.6511104428678067
5445250000.0,-123.68130060895938,-149.34971336245266,-123.69309111453123,1.6228888986701244
5445500000.0,-121.54028579865849,-144.05168574002454,-121.56471251451495,1.4958350785792442
5445750000.0,-123.93316731126356,-145.91391595861484,-123.96077876596075,1.65048972913119
5446000000.0,-121.48319535239004,-132.60888407076425,-121.83196378135042,1.8522884280476966
5446250000.0,-122.30437162657253,-142.88463768621034,-122.34253656400779,1.6644709670913822
5446500000.0,-121.70103125111171,-134.00351438077143,-121.96444604936579,1.815832736749361
5446750000.0,-122.40166361640235,-138.58515007705427,-122.50752016796548,1.7266023423058396
5447000000.0,-124.84558427153438,-147.25270390876074,-124.87060631932758,1.4949279605682697
5447250000.0,-122.40608073981876,-134.63360706155132,-122.67422589572176,1.818000624046769
5447500000.0,-124.38392421712803,-139.1668826007828,-124.53075232254906,1.7541493987937549
5447750000.0,-123.35410565695206,-133.7679190666123,-123.76804385288949,1.8770778260818883
5448000000.0,-121.81994215905887,-138.13116918917632,-121.92269387056729,1.7243095451892796
5448250000.0,-124.66161877539304,-158.8421098768782,-124.66327766750895,1.55125279310825
5448500000.0,-121.72445529685255,-143.5230084327593,-121.75325368104525,1.6521827367991886
5448750000.0,-124.17987655670075,-141.14825350402816,-124.26805205695459,1.7130445227730413
5449000000.0,-122.73518037825087,-136.4149973591854,-122.92541055163751,1.7793227770963416
5449250000.0,-122.92548100238392,-156.670201204911,-122.92731502205226,1.55024714401304
5449500000.0,-121.64346958665591,-135.39947646917668,-121.83031937807769,1.777475143848417
5449750000.0,-123.47902995011856,-130.22932137589163,-124.5101027427848,2.048466707884246
5450000000.0,-122.21703178500343,-132.32508461214374,-122.66276510194575,1.8884287014481715
5450250000.0,-122.58846006496245,-136.17561938399228,-122.78288563985357,1.7815926987955337
5450500000.0,-121.75095139543947,-142.7096039086543,-121.78591903111709,1.6604668167422545
5450750000.0,-122.81253256062499,-155.72930288171185,-122.81475187200465,1.5481916412483312
5451000000.0,-122.35821355899604,-137.5876261793435,-122.49047688268952,1.7448666801404016
5451250000.0,-121.56323529114016,-145.110856406255,-121.58246547134523,1.5042783152694026
5451500000.0,-123.5842907311895,-143.11685397479215,-123.63292669376722,1.6765221869291946
5451750000.0,-123.34174076630524,-146.81556260652928,-123.36130125877965,1.6378827628030979
5452000000.0,-125.81336230893854,-131.76635624144052,-127.08552091138684,2.098912305294054
5452250000.0,-122.23995073930791,-134.4937161771518,-122.50643011960423,1.8172394773692744
5452500000.0,-122.79462954619069,-135.56166560520126,-123.03058223305824,1.8028306756167942
5452750000.0,-121.24041129267894,-136.57693665537053,-121.36940408708688,1.3988808002129414
5453000000.0,-121.84717862837032,-137.96562087790483,-121.95465245090132,1.7277831531904948
5453250000.0,-121.29420012693159,-131.50494850117292,-121.7289775682361,1.884566971071583
5453500000.0,-122.50506575384378,-136.71132415611805,-122.67315338087806,1.7668947459056321
5453750000.0,-123.53746095818151,-136.39806159879276,-123.76824858905381,1.8002997661394995
5454000000.0,-124.41459067370302,-145.30544152878812,-124.45011076060806,1.6611714314452632
5454250000.0,-121.84914487425377,-139.95626092859212,-121.9168236116929,1.4461240665480262
5454500000.0,-122.71013736304204,-147.15384939416964,-122.72577585236812,1.5108068720186516
5454750000.0,-122.97447784870533,-139.96471300665365,-123.062206171761,1.712684580626594
5455000000.0,-122.90011013414455,-137.29397161411958,-123.0609581629834,1.7626519338070108
5455250000.0,-121.31775258525477,-129.7733002001717,-121.98645974584508,1.9581784141471714
5455500000.0,-120.79673964819476,-138.7667591982893,-120.86660647425089,1.6974625940660528
5455750000.0,-122.97780192457583,-135.5804547456336,-123.22311863283417,1.807347554198356
5456000000.0,-122.45537887578845,-145.86444093573303,-122.47523390262609,1.6383855744706735
5456250000.0,-124.10007378364162,-136.029128849562,-124.38794131264481,1.8268332990720577
5456500000.0,-122.25464981949548,-152.51084575285185,-122.25874590964553,1.6015048168731525
5456750000.0,-122.32842323135156,-139.46316903526966,-122.41325221747857,1.7103280138752708
5457000000.0,-123.24933321408209,-144.42760470689728,-123.28256991716165,1.4833704885127266
5457250000.0,-123.05117354751854,-132.41017095313111,-123.58618169683326,1.9181890973511857
5457500000.0,-123.11000790188018,-143.88703149271868,-123.14647523826777,1.6623668992121046
5457750000.0,-122.08243780439201,-142.16049654915344,-122.12530450015441,1.6700646229256868
5458000000.0,-123.59381203860227,-163.2857068461902,-123.59427828784861,1.5604350558553435
5458250000.0,-124.3514291483437,-133.9562153266176,-124.85522182418683,1.9081050872142942
5458500000.0,-123.29026437940428,-149.2804322882078,-123.3012118750271,1.6209928920875898
5458750000.0,-121.34847552729939,-139.9278058344932,-121.4091324814022,1.68883995557103
5459000000.0,-121.21967616159336,-135.27885074341526,-121.39367148439626,1.7702884313920217
5459250000.0,-123.89891393404325,-170.0,-123.89893177416111,1.5728231065396636
5459500000.0,-124.22524172687986,-149.81573236308714,-124.2372459849201,1.6233587605049777
5459750000.0,-123.34170929417938,-143.51390178549732,-123.38365239451731,1.668991135197187
5460000000.0,-122.87208806505379,-146.50262086159478,-122.89095381081356,1.6366814871316109
5460250000.0,-123.03046402541752,-145.49904321482958,-123.05513346481531,1.6461287411441083
5460500000.0,-123.56312263191145,-146.59985409815235,-123.58475940817952,1.6413506775961528
5460750000.0,-121.8347306769972,-146.2922090397364,-121.85031958475507,1.5109019883059787
5461000000.0,-121.95127858641875,-132.368265441762,-122.36489955617445,1.8769623117856107
5461250000.0,-122.41851792726295,-138.7699679569121,-122.52031118890557,1.723594707876271
5461500000.0,-123.29361038100967,-136.13120006076232,-123.52565742286916,1.8009195448691553
5461750000.0,-121.08571801228386,-136.94001435919336,-121.20002092234779,1.7326727309948298
5462000000.0,-122.75089822665913,-146.2987145544268,-122.77012754058264,1.504279812432823
5462250000.0,-122.05613077536216,-135.79922718965258,-122.24354902741163,1.7777870377199174
5462500000.0,-121.51923472621081,-140.1807881496803,-121.57874626059458,1.6877226722385954
5462750000.0,-123.2659617548708,-132.15913998539855,-123.86591716984148,1.9382110879494021
5463000000.0,-121.44916440272972,-138.40652349364453,-121.53756617939709,1.7132263060215627
5463250000.0,-122.20081428610877,-158.74907973312847,-122.20177591133357,1.5559163328575336
5463500000.0,-121.71991096639579,-143.81232983350938,-121.74681932133393,1.6494695890196036
5463750000.0,-120.27969183978263,-132.44267919737055,-120.55198006267402,1.819883217458974
5464000000.0,-124.58809813363342,-138.99013922018156,-124.74863783889388,1.7624691005262765
5464250000.0,-122.06254395539386,-134.04880405690687,-122.3465186696305,1.825115256990261
5464500000.0,-121.60531400627443,-141.85665663610135,-121.64649601455723,1.66809756516526
5464750000.0,-121.91555958700378,-135.57014979698081,-122.1069227386598,1.7799382758084048
5465000000.0,-122.97399890473224,-132.52752948359776,-123.4841379382695,1.9101815197664762
5465250000.0,-123.26580033963559,-137.15765147894692,-123.44677446306059,1.7742225477188631
5465500000.0,-122.42813174139263,-150.65313980278978,-122.43467223444654,1.6095987263409939
5465750000.0,-123.11769788033186,-137.22401745741521,-123.28977688886332,1.7691941316901705
5466000000.0,-122.23382045436819,-140.7739080011754,-122.29503188549175,1.6893769958547882
5466250000.0,-124.29648192872091,-136.8149198107164,-124.54674311304537,1.809696854287878
5466500000.0,-122.80366276431388,-135.1481388972862,-123.06446515148448,1.8146268835423562
5466750000.0,-121.79084525057034,-138.99180602893918,-121.87437827193855,1.7092615176965034
5467000000.0,-124.34046587115903,-139.44017219780483,-124.47680254015052,1.747512970768564
5467250000.0,-120.84600026002151,-135.88741568823937,-120.98420879683275,1.748715575168638
5467500000.0,-121.76253617298852,-134.15979832882462,-122.02009252942554,1.813119857613749
5467750000.0,-121.89351643189299,-132.37642268820196,-122.3006052206124,1.8745732896909548
5468000000.0,-123.44527432571138,-136.90687058033646,-123.64553668454597,1.7847094297459833
5468250000.0,-122.20063604999551,-170.0,-122.20065430621514,1.5687460470642611
5468500000.0,-122.51233164543234,-140.42118754116365,-122.58319752759051,1.6983625607184798
5468750000.0,-121.99792202223588,-143.3116836859772,-122.03013402662896,1.6568656231905028
5469000000.0,-121.30718239179474,-141.13436487726605,-121.35261163950061,1.6729836384800743
5469250000.0,-123.96253565703924,-133.28842513998723,-124.50190301239046,1.9195722019346126
5469500000.0,-123.02123710782499,-154.8643304720679,-123.02407906196044,1.5963758646342086
5469750000.0,-122.5935348116189,-134.1409817237771,-122.9088237234721,1.8386093335424745
5470000000.0,-122.20056431022383,-137.71085813276505,-122.3244249278517,1.7392737866899408
5470250000.0,-122.6956291274545,-138.46141795148353,-122.81231728250046,1.7343455166668893
5470500000.0,-121.33559606359049,-132.46210997985034,-121.68429549695517,1.8522609569868786
5470750000.0,-123.21095210557077,-145.27997510320557,-123.23800626326968,1.6496822256241628
5471000000.0,-124.38647338006811,-135.02742490513504,-124.77833707501247,1.8689258808422984
5471250000.0,-122.1907687901904,-144.11853152120221,-122.21872027370175,1.650978407478146
5471500000.0,-122.31519899877347,-132.8968598717006,-122.71270332030699,1.8710313140598136
5471750000.0,-123.51792211125243,-145.38055362184522,-123.54629732544232,1.4900094287845649
5472000000.0,-122.54596472442371,-143.3355500722668,-122.58232629104671,1.6622341928886522
5472250000.0,-121.81878952372601,-133.75901790894,-122.10589239571576,1.8264967796752956
5472500000.0,-122.3392467964269,-134.76806214417292,-122.59488271619789,1.8122236532209373
5472750000.0,-122.69621476597914,-162.14355669250764,-122.6967080247102,1.5814534779233842
5473000000.0,-123.8125767227625,-143.24489469112086,-123.8623549064948,1.6777541289910172
5473250000.0,-120.75435200036284,-135.66998566900804,-120.89668918329161,1.751339155145832
5473500000.0,-123.47336334823788,-167.26291868372692,-123.47354483203276,1.5772606826815436
5473750000.0,-121.11846548903785,-136.40002883662072,-121.24912608270495,1.7438141237528828
5474000000.0,-121.80729825395544,-138.61250831489411,-121.89888541889744,1.7157608258211714
5474250000.0,-121.749657466635,-137.87244143603064,-121.85702256090269,1.727704051126975
5474500000.0,-122.01018974743303,-141.38837425579854,-122.06059592111224,1.6784253943143077
5474750000.0,-124.058008266034,-134.940547127218,-124.427739235211,1.8605075973563445
5475000000.0,-122.21949731511948,-136.6084410265017,-122.3805310054941,1.7627619434361455
5475250000.0,-125.44778461960243,-137.04347756303451,-125.75946230143904,1.8370896840798254
5475500000.0,-123.6385618214314,-143.58584618294475,-123.68274563450136,1.6715755902643987
5475750000.0,-121.40409464748245,-135.6216097330847,-121.57173865721334,1.7666374723650187
5476000000.0,-121.16469080655949,-143.34752362353873,-121.19104307323069,1.6486532448500635
5476250000.0,-121.32969631769294,-136.40209804550267,-121.46690657830263,1.748075257236612
5476500000.0,-122.1020675466572,-140.7027322559486,-122.16242518341006,1.6885490233887666
5476750000.0,-121.04553440016012,-136.54050966128926,-121.16983899738587,1.739574031930107
5477000000.0,-124.45736015129087,-145.7866906347042,-124.48945646011417,1.4848815458250293
5477250000.0,-123.32337996858695,-155.1705313318663,-123.32621926760466,1.5452287393860622
5477500000.0,-122.80507026711567,-131.54639197534988,-123.42798047359359,1.945008314805825
5477750000.0,-122.24989725905756,-142.7714827060873,-122.28858368883508,1.476484808655917
5478000000.0,-123.33709076674597,-138.36512326348472,-123.47573273613929,1.7489928574074782
5478250000.0,-121.81545077446211,-143.38334735191197,-121.84582550998478,1.6543779776229823
5478500000.0,-123.16953283825627,-142.43525365736173,-123.221269271294,1.6798335702281657
5478750000.0,-122.94960873813318,-132.86366310756844,-123.41683900081603,1.8958633779092287
5479000000.0,-120.74747957985687,-135.74814701540257,-120.88701212501071,1.7495612117055086
5479250000.0,-121.98102939344486,-135.39635397644793,-122.18348762531816,1.7858699329328334
5479500000.0,-122.35786899117421,-131.49014672553727,-122.92349717512457,1.927781275813459
5479750000.0,-122.02688802050912,-143.47163351051347,-122.05813955899967,1.4860183428236386
5480000000.0,-122.82736561479247,-144.215478631512,-122.85902884432643,1.6561302193579834
