Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5200000000.0,-119.61265048073996,-130.4424987773816,-119.98709474790522,1.8623219168948668
5200133333.333333,-122.04205374335908,-130.84208499656728,-122.65597961147783,1.9423641896932788
5200266666.666667,-120.41488472523972,-131.61327862952916,-120.7576283644152,1.8498788674647955
5200400000.0,-120.07678726218151,-124.01974673854504,-122.31973948400353,2.25895307010729
5200533333.333333,-120.60547673668233,-124.87688057563886,-122.63966179593368,2.2288106246274353
5200666666.666667,-120.35863647536443,-126.11288576653207,-121.70056542262238,2.112468929233246
5200800000.0,-121.37473031059858,-130.03327187067862,-122.01054902055927,1.9487717508902958
5200933333.333333,-122.42162294903272,-131.03956742640526,-123.06387706137919,1.9506326397213454
5201066666.666667,-121.84219238288716,-145.60336744239845,-121.86049788977529,1.6356965465518076
5201200000.0,-120.3670285543302,-127.41182864245287,-121.32246221391316,2.0312846514269136
5201333333.333333,-121.08975433188894,-129.08196356503822,-121.84062687706815,1.9806383193051846
5201466666.666667,-119.18252583481971,-126.8711677921158,-119.99315312105908,1.9961431738228883
5201600000.0,-120.67681474388186,-127.24240970010732,-121.75874381948786,2.0596243901401112
5201733333.333333,-120.4368587610911,-125.619179414814,-122.0059459118849,2.153951697440113
5201866666.666667,-121.72074949879124,-136.62859318093038,-121.86334646404744,1.7515029343784403
5202000000.0,-119.66320959443206,-133.87343834350693,-119.83114061667939,1.766803963345292
5202133333.333333,-120.458591283791,-125.72148921937112,-121.99307372225009,2.1478723573522958
5202266666.666667,-119.95986885201509,-126.4362370506838,-121.06737647039294,2.0651244572264327
5202400000.0,-121.32984687999482,-128.69151877249718,-122.21072726978328,2.013590730005591
5202533333.333333,-120.47104885460685,-127.4802165808677,-121.43529566875267,2.033324853655743
5202666666.666667,-121.40159238288275,-130.3599868841152,-121.99196928839051,1.9353336146799307
5202800000.0,-122.00169423556443,-128.13278099793638,-123.2148685775509,2.0871128081580106
5202933333.333333,-121.95907773003712,-133.22043229094598,-122.29669153327885,1.8478098176686073
