Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5100000000.0,-108.13997191407421,-114.56596771498526,-109.26222180804102,-1.0733308443408827
5100100000.0,-107.54626896062712,-113.99749547135187,-108.66110706109544,-1.074905232545042
5100200000.0,-108.03410814083495,-114.66308840295608,-109.09827210102863,-1.0858315989552052
5100300000.0,-108.03464565995333,-114.63054453095947,-109.10803998120853,-1.0838197911425589
5100400000.0,-108.02890227714947,-114.55654013659375,-109.12162990296345,-1.079637413360157
5100500000.0,-107.87970834500572,-114.91118827323716,-108.83842600469896,-1.1095465512223786
5100600000.0,-107.93869571069305,-114.39502140534911,-109.05204262336518,-1.0752227021793956
5100700000.0,-107.78867812682633,-114.62338970147519,-108.7974053040453,-1.0981263161107917
5100800000.0,-108.08540894710077,-114.55542670853767,-109.19476297251875,-1.0760739649613476
5100900000.0,-107.77800609285046,-114.06726005023152,-108.94141245221314,-1.0646941439815
5101000000.0,-107.83250207039907,-114.03967697725443,-109.02143742985517,-1.059424078879915
5101100000.0,-107.871530435057,-114.38681327818423,-108.9677992346833,-1.078875894057685
5101200000.0,-108.07239259969339,-114.30196355860993,-109.2542992316139,-1.060868552363324
5101300000.0,-107.88855616616546,-114.19947106540904,-109.045330009442,-1.0660740939006828
5101400000.0,-107.6567257025174,-114.71520221549903,-108.6088005605253,-1.1110883066231467
5101500000.0,-107.77452833972261,-114.93902389869623,-108.70100713733157,-1.1170856656368782
5101600000.0,-107.71891798328262,-114.22900861830396,-108.81667883822168,-1.078555448548644
5101700000.0,-108.03789677503558,-115.16577156569176,-108.97312935442825,-1.1150243391526036
5101800000.0,-107.87327583268508,-113.999681420689,-109.08795981377231,-1.0541737903035122
5101900000.0,-107.93747183019377,-114.48596493771346,-109.02425126989823,-1.0809197010560607
5102000000.0,-107.77717545918821,-114.61701052488557,-108.78456405600623,-1.098427818601964
5102100000.0,-107.94517915446518,-114.46165232298165,-109.04110622048415,-1.078949322173882
5102200000.0,-107.93371083674066,-114.22619034868193,-109.09612680017987,-1.0648999188377666
5102300000.0,-107.59455022883587,-114.56699305014138,-108.56797540039635,-1.1061540772379215
5102400000.0,-107.82001557569109,-114.14652657987573,-108.97204060661429,-1.0670648942993055
5102500000.0,-108.05799422734702,-114.40380561603996,-109.2041732373086,-1.0682878161534837
5102600000.0,-108.00046085789003,-114.84390533192763,-109.00690764357194,-1.0986400871295867
5102700000.0,-107.87822199128959,-114.70268132226467,-108.88963369325971,-1.0975223274030341
5102800000.0,-108.03916043265474,-114.74046501994104,-109.08345440123821,-1.0901960004038616
5102900000.0,-107.8619239194864,-114.06367413038694,-109.05256893279761,-1.0590734663143755
