PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
1e-08,3.2582892461825622e-06,3.3014290655988457e-06,-2.0820125252315673,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
3.4950000000000005e-08,3.1417042633613517e-06,3.3039187826748604e-06,-2.088285274594484,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
5.99e-08,3.2745656492884043e-06,3.3091586012129768e-06,-2.0762468385958943,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
8.485000000000001e-08,3.3005765339226667e-06,3.3171190670585145e-06,-2.098317174117068,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
1.098e-07,3.280935438878091e-06,3.327755432709124e-06,-2.0876878812593205,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
1.3475e-07,3.2630290930566927e-06,3.341007908850188e-06,-2.0805340021465804,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
1.5970000000000003e-07,3.2741773908814744e-06,3.3568020004435063e-06,-2.086653768064599,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
1.8465000000000003e-07,3.2197350484388308e-06,3.3750489254800367e-06,-2.087534530163302,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
2.0960000000000002e-07,3.287632921583866e-06,3.3956461140427937e-06,-2.0798378590869215,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
2.3455000000000002e-07,3.3123205361508066e-06,3.4184777848745643e-06,-2.115962522954492,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
2.595e-07,3.3283954470007393e-06,3.443415596209425e-06,-2.065113524462087,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
2.8445000000000004e-07,3.4658309884191556e-06,3.470319367209603e-06,-2.050700649088835,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
3.0940000000000006e-07,3.5015019435467447e-06,3.4990378659523195e-06,-2.0990803836822103,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
3.3435e-07,3.395500414014636e-06,3.5294096595371765e-06,-2.099844261975432,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
3.5930000000000005e-07,3.5731125899283345e-06,3.5612640215354497e-06,-2.0544432933218415,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
3.8425e-07,3.5342254921737524e-06,3.594421891680314e-06,-2.105344718948973,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
4.0920000000000004e-07,3.5436139039528307e-06,3.6286968824033795e-06,-2.090154943850104,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
4.3415000000000006e-07,3.7561588893218886e-06,3.663896326559573e-06,-2.0605294241317007,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
4.5910000000000003e-07,3.738525365218842e-06,3.6998223604508857e-06,-2.0472510929181755,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
4.8405e-07,3.601769536478441e-06,3.7362730360610653e-06,-2.0370963902356145,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
5.09e-07,3.6859355551248324e-06,3.7730434562491452e-06,-2.0282736786827145,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
5.339500000000001e-07,3.7859888679855146e-06,3.809926926520649e-06,-2.039275132092171,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
5.589000000000001e-07,3.816828031451856e-06,3.846716116902098e-06,-2.0233055218790277,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
5.8385e-07,3.88448328746139e-06,3.8832042273876935e-06,-2.0307052650326916,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
6.088000000000001e-07,3.9464792052596275e-06,3.919186150406929e-06,-2.047213521634499,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
6.337500000000001e-07,3.9301820948952585e-06,3.954459623778659e-06,-1.9991333211794498,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
6.587e-07,4.057487459295591e-06,3.988826367670625e-06,-2.043521722348329,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
6.8365e-07,3.953034268363609e-06,4.022093199173324e-06,-2.0074856324089185,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
7.086000000000001e-07,4.070747210197851e-06,4.054073118222975e-06,-2.012431970923921,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
7.335500000000001e-07,4.2336674753004575e-06,4.084586358769378e-06,-2.02613635530683,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
7.585e-07,4.105210397399231e-06,4.1134613992798105e-06,-1.9864546988059022,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
7.834500000000001e-07,4.185925082751895e-06,4.1405359268986965e-06,-1.9971647273927589,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
8.084000000000001e-07,4.233811174732735e-06,4.165657749843329e-06,-2.016466675901958,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
8.3335e-07,4.268836656354651e-06,4.188685652906825e-06,-2.0193883389078637,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
8.583000000000001e-07,4.155224484903638e-06,4.209490191259396e-06,-1.995272863385908,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
8.832500000000001e-07,4.280888890996712e-06,4.2279544180857575e-06,-1.9819683173655696,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
9.082e-07,4.1295605882885155e-06,4.243974541968508e-06,-1.9933607320396056,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
9.331500000000001e-07,4.416205436406811e-06,4.257460510322158e-06,-1.981174054153394,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
9.581e-07,4.313696943244313e-06,4.268336515598219e-06,-1.9680385934920224,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
9.8305e-07,4.324756767325363e-06,4.276541421415846e-06,-2.003858214072296,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
1.008e-06,4.265990147634761e-06,4.28202910622267e-06,-1.9764246796366334,-4.919479130315935e-07,478372.8369851459,3.793154776002829e-06,1.0437848605577689e-06
