PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,phi_fit_rad,C_fit,t_pi_s
1e-08,3.798899405644688e-07,3.6017808801630537e-07,2.171443780986551,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
3.4950000000000005e-08,3.4805156364709474e-07,3.6069935553346086e-07,2.30086480039863,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
5.99e-08,4.1080817807693893e-07,3.612280789004504e-07,2.278606447139864,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
8.485000000000001e-08,3.7552621613250556e-07,3.617640902541771e-07,2.1264481245076956,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
1.098e-07,3.5582123454240416e-07,3.623072194176987e-07,2.3664110747450655,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
1.3475e-07,3.1255127341467063e-07,3.628572939542569e-07,2.0968941132862113,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
1.5970000000000003e-07,3.476988894429128e-07,3.634141392220238e-07,2.345155660463219,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
1.8465000000000003e-07,3.755371289399695e-07,3.639775784295483e-07,2.2784521545824887,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
2.0960000000000002e-07,3.948255604522288e-07,3.6454743269188575e-07,2.2727564292274205,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
2.3455000000000002e-07,3.809980863299394e-07,3.6512352108739103e-07,2.251612498655433,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
2.595e-07,3.8552984890740937e-07,3.6570566071515933e-07,2.2614992474127575,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
2.8445000000000004e-07,3.0208080119325063e-07,3.662936667530949e-07,2.3409241114686554,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
3.0940000000000006e-07,3.4046234689582195e-07,3.6688735251658957e-07,2.169258345620476,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
3.3435e-07,3.347485061444477e-07,3.6748652951779285e-07,2.3250631610670607,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
3.5930000000000005e-07,3.536878282602791e-07,3.6809100752545473e-07,2.3038482957700546,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
3.8425e-07,3.828937252799151e-07,3.6870059462532133e-07,2.208755464536416,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
4.0920000000000004e-07,4.1410991744220505e-07,3.6931509728106573e-07,2.226200713097366,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
4.3415000000000006e-07,3.271901787966207e-07,3.6993432039573287e-07,2.210212526922236,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
4.5910000000000003e-07,3.6705904646836744e-07,3.7055806737368085e-07,2.3202136037319403,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
4.8405e-07,4.6778164581525747e-07,3.711861401829973e-07,2.3946056805969476,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
5.09e-07,3.5358942195219526e-07,3.718183394183722e-07,2.312347476963118,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
5.339500000000001e-07,3.6473711076188583e-07,3.7245446436440657e-07,2.2582473337824136,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
5.589000000000001e-07,3.7047171311571823e-07,3.7309431305933703e-07,2.2399014301968303,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
5.8385e-07,3.787661873635501e-07,3.737376823591563e-07,2.1861114636970993,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
6.088000000000001e-07,3.5372366365376064e-07,3.743843680021087e-07,2.2196281483839773,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
6.337500000000001e-07,3.744078556703902e-07,3.750341646735409e-07,2.2968977849673884,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
6.587e-07,4.095292357326482e-07,3.756868660710867e-07,2.3932939415514562,3.767880220396366e-08,113662.88899475092,4.014516890172795,3.841832665217144e-07,3.1759661354581676e-06
