PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm_display,Phase_rad
1e-08,3.571387676056607e-06,-95.93296013032655,3.4056106180592028e-06,-96.34580021895127,0.7193973745500889
3.4950000000000005e-08,3.3343508005951347e-06,-96.5294742598062,3.406435362570573e-06,-96.34369699185599,0.7653426209844304
5.99e-08,3.3175262292138324e-06,-96.57341273948649,3.4130026287987546e-06,-96.32696758764763,0.735352030978493
8.485000000000001e-08,3.314282539585329e-06,-96.58190946590373,3.425257387328174e-06,-96.29583581031616,0.787208905724404
1.098e-07,3.4774182155287045e-06,-96.16456154879748,3.443099687319687e-06,-96.25070810494424,0.7535804280203194
1.3475e-07,3.4350923509744296e-06,-96.2709316959178,3.4663854903784904e-06,-96.19216288021754,0.7533083332180133
1.5970000000000003e-07,3.3562359933534187e-06,-96.47265023140832,3.494927851685751e-06,-96.12093574895466,0.7825438398107435
1.8465000000000003e-07,3.4975305791411153e-06,-96.11446963844347,3.528498438522324e-06,-96.03790145175076,0.7869879691715844
2.0960000000000002e-07,3.505370394583119e-06,-96.095021755226,3.5668293736663392e-06,-95.9440533533554,0.790979309485725
2.3455000000000002e-07,3.637462298868181e-06,-95.77373002947878,3.609615388604444e-06,-95.8404814540303,0.766413390245939
2.595e-07,3.5028105669582752e-06,-96.10136701981112,3.6565162690787348e-06,-95.72834984160542,0.7760030393963189
2.8445000000000004e-07,3.6738289843238944e-06,-95.68732132020324,3.7071595732168955e-06,-95.60887443403948,0.7794312143908325
3.0940000000000006e-07,3.7597464154269966e-06,-95.48652896445944,3.761143600379173e-06,-95.48330174150772,0.8028640399744159
3.3435e-07,3.780795675568012e-06,-95.43803589241247,3.818040586919011e-06,-95.35288922809892,0.7973922158199322
3.5930000000000005e-07,3.838659881520797e-06,-95.3061073666406,3.877400103309186e-06,-95.2188876925794,0.7811280737918002
3.8425e-07,3.938758538984284e-06,-95.0825128892285,3.938752625545462e-06,-95.08252592976274,0.8147618858777794
4.0920000000000004e-07,4.20145475843067e-06,-94.52170621556076,4.00161325241673e-06,-94.9449977899283,0.8269602180217634
4.3415000000000006e-07,4.127173016523065e-06,-94.67664653425754,4.06548553913429e-06,-94.80745163086229,0.801070592876651
4.5910000000000003e-07,4.149926594551272e-06,-94.62889174701361,4.129865416951252e-06,-94.6709820592771,0.8444133281721361
4.8405e-07,4.235693924518299e-06,-94.45120864305231,4.1942451677825065e-06,-94.5366237863764,0.8513544646873975
5.09e-07,4.309017369874792e-06,-94.30213514824602,4.258117422460373e-06,-94.4053473746657,0.8205502472518302
5.339500000000001e-07,4.417504304810963e-06,-94.08616041547296,4.3209791511332545e-06,-94.2780566267381,0.8471270558275331
5.589000000000001e-07,4.3901454027472294e-06,-94.1401219548502,4.382335614435076e-06,-94.15558735789051,0.8626567369380193
5.8385e-07,4.5661335452773925e-06,-93.79872786116539,4.441704244420002e-06,-94.03870729901479,0.8460356900369601
6.088000000000001e-07,4.547498200154658e-06,-93.8342493264202,4.498618424866797e-06,-93.92811689044068,0.8274945134830862
6.337500000000001e-07,4.559128479412329e-06,-93.81206342145916,4.552631141404576e-06,-93.82445074790111,0.8291130717581676
6.587e-07,4.695413327268378e-06,-93.556223477235,4.603318472989486e-06,-93.72827960575684,0.8703444589855265
6.8365e-07,4.59408898727056e-06,-93.74571197930905,4.650282897560988e-06,-93.64011256787286,0.8608141623247642
7.086000000000001e-07,4.519739077872219e-06,-93.88743276443832,4.693156386216083e-06,-93.56039952148363,0.8490856785901895
7.335500000000001e-07,4.691292856423437e-06,-93.56384914626403,4.73160326194779e-06,-93.48953359292464,0.8751701469390417
7.585e-07,4.751555157749993e-06,-93.45298454185027,4.765322800886404e-06,-93.42785354557157,0.8618558888481973
7.834500000000001e-07,4.872930141188552e-06,-93.23389633661998,4.7940515560433855e-06,-93.37564603937514,0.8319970993809175
8.084000000000001e-07,4.8668096649033836e-06,-93.24481280658765,4.817565385771415e-06,-93.33314768791773,0.8680550510948986
8.3335e-07,4.820795598368893e-06,-93.32732568742911,4.835681171502612e-06,-93.30054686303329,0.8821563715024132
8.583000000000001e-07,4.9760407569143826e-06,-93.05202146649543,4.848258211791301e-06,-93.2779852089338,0.841632345838
8.832500000000001e-07,4.951030224071518e-06,-93.09578849266501,4.855199282248465e-06,-93.26555883776022,0.8763628799708613
9.082e-07,4.912568104658674e-06,-93.16352835931423,4.856451353591842e-06,-93.26331918685523,0.879690723854258
9.331500000000001e-07,4.930674764428313e-06,-93.13157290968118,4.852005962727702e-06,-93.27127352519847,0.8727478046908139
9.581e-07,4.894621182537961e-06,-93.19531833589744,4.8418992345062866e-06,-93.28938510272154,0.8738703958243952
9.8305e-07,4.950812807545018e-06,-93.09616992790872,4.8262115545316214e-06,-93.31757294200023,0.8718044417220626
1.008e-06,4.690650938630596e-06,-93.56503773302938,4.805066896136032e-06,-93.35571127748118,0.8445714301519697
1.03295e-06,4.848164177752028e-06,-93.27815367710784,4.778631807329251e-06,-93.40362865330553,0.8368124870692294
1.0579e-06,4.7180653922029385e-06,-93.51442092544163,4.747114066180186e-06,-93.46110669731212,0.8649077985508399
1.08285e-06,4.905938322263636e-06,-93.17525836476631,4.710761015665805e-06,-93.52787859629564,0.8549130380396773
1.1078e-06,4.690686189552762e-06,-93.56497245755418,4.6698575915061276e-06,-93.60362730641087,0.8566712441940723
1.13275e-06,4.705649445393157e-06,-93.53730863119269,4.6247240588778656e-06,-93.68798354307779,0.8660641863907197
1.1577e-06,4.5922682789321e-06,-93.74915501367832,4.575713476143471e-06,-93.7805236071439,0.84363478751227
1.18265e-06,4.418770204979891e-06,-94.08367170391853,4.5232089058301395e-06,-93.88076711862482,0.86687167221908
1.2076e-06,4.444787312195831e-06,-94.03268035635664,4.467620395028546e-06,-93.98817474619932,0.8219446122349803
1.23255e-06,4.474057672029141e-06,-93.97566848354097,4.4093817491390695e-06,-94.10214603976397,0.847678905906057
1.2575e-06,4.2373187395168345e-06,-94.44787736892536,4.3489471244608234e-06,-94.22201749453491,0.8425981090788537
1.2824499999999999e-06,4.352091064990547e-06,-94.21574056043495,4.2867874664839745e-06,-94.34706099792619,0.8240686463163837
1.3074e-06,4.095783906171602e-06,-94.74295934002484,4.2233868218987075e-06,-94.47648283388878,0.816653286472455
