PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,phi_fit_rad,C_fit,t_pi_s
1e-08,3.2729348360535683e-06,3.3647466227029997e-06,0.7842027939089169,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
3.4950000000000005e-08,3.4369442700104777e-06,3.3688003433788917e-06,0.7854105526290984,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
5.99e-08,3.33258654486261e-06,3.3781757741329402e-06,0.778754624071397,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
8.485000000000001e-08,3.334343102943754e-06,3.3928043560809468e-06,0.7767440027990675,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.098e-07,3.4105957017348815e-06,3.412579116084069e-06,0.8045200794006178,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.3475e-07,3.3899675372729386e-06,3.437355449001843e-06,0.772318168707044,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.5970000000000003e-07,3.4538304268888513e-06,3.466952175133417e-06,0.8232004924540955,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.8465000000000003e-07,3.4001462730394284e-06,3.5011528651143453e-06,0.7897762409295827,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.0960000000000002e-07,3.600727346607499e-06,3.53970742258048e-06,0.8099069875759329,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.3455000000000002e-07,3.5993309228159394e-06,3.5823339130255593e-06,0.7824885335726581,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.595e-07,3.563326987962011e-06,3.628720625478763e-06,0.8382384313773092,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
2.8445000000000004e-07,3.6774663845412083e-06,3.6785283519259896e-06,0.8444192150871389,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
