PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
1e-08,3.0609463963622886e-06,3.062758025795277e-06,1.5675708607064647,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
3.4950000000000005e-08,3.050198639993015e-06,3.065848727493691e-06,1.5471564218604446,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
5.99e-08,3.1252325039237233e-06,3.0723508432350636e-06,1.5259502357714734,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
8.485000000000001e-08,3.0153858147722365e-06,3.082222430919371e-06,1.5456509738097675,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
1.098e-07,3.0478861395397445e-06,3.0953998135629166e-06,1.519867300134002,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
1.3475e-07,3.0176720338341814e-06,3.1117979900486994e-06,1.5428155409735997,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
1.5970000000000003e-07,3.1565493371868117e-06,3.1313111834287626e-06,1.5434988299580212,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
1.8465000000000003e-07,3.1418692858685258e-06,3.153813523241692e-06,1.5707156408371985,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
2.0960000000000002e-07,3.2420035500820754e-06,3.1791598574439456e-06,1.5918643641910368,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
2.3455000000000002e-07,3.1902136128620583e-06,3.2071866887176275e-06,1.6036712626956309,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
2.595e-07,3.197358767626809e-06,3.237713229115031e-06,1.5674112420154223,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
2.8445000000000004e-07,3.293532025345204e-06,3.2705425662369205e-06,1.5961563378939327,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
3.0940000000000006e-07,3.2466561652658433e-06,3.305462933422096e-06,1.5771931481581618,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
3.3435e-07,3.4372038362437035e-06,3.342249075754831e-06,1.5895098295270276,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
3.5930000000000005e-07,3.3766712794882187e-06,3.380663703078723e-06,1.5585229114088375,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
3.8425e-07,3.42373211777654e-06,3.4204590206442335e-06,1.6066286762027333,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
4.0920000000000004e-07,3.337590622077134e-06,3.461378327516433e-06,1.614384872560349,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
4.3415000000000006e-07,3.3781221461641207e-06,3.5031576724323764e-06,1.6205234537071866,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
4.5910000000000003e-07,3.5256214973426504e-06,3.5455275564269412e-06,1.6174278912163338,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
4.8405e-07,3.530757145693165e-06,3.5882146712442934e-06,1.6051890576176864,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
5.09e-07,3.5817467314376003e-06,3.6309436623212983e-06,1.6121310217725824,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
5.339500000000001e-07,3.706663429660893e-06,3.673438904970706e-06,1.5993907472657876,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
5.589000000000001e-07,3.7883336740494627e-06,3.715426282306776e-06,1.6261783313219405,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
5.8385e-07,3.745959075600904e-06,3.7566349534447827e-06,1.6428251315938067,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
6.088000000000001e-07,3.847497541637782e-06,3.7967991005685754e-06,1.6176806633579373,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
6.337500000000001e-07,3.718303848075518e-06,3.835659643596677e-06,1.6580309184817115,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
6.587e-07,3.839106237991397e-06,3.872965911386415e-06,1.6283706238570415,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
6.8365e-07,3.960629808082603e-06,3.9084772586959335e-06,1.6120141268202235,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
7.086000000000001e-07,3.937311646828682e-06,3.941964618473814e-06,1.6350481724431722,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
7.335500000000001e-07,3.934691969652874e-06,3.973211979463229e-06,1.6654998800289893,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
7.585e-07,4.041933426512191e-06,4.00201777958927e-06,1.65375883694932,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
7.834500000000001e-07,4.05280299954182e-06,4.028196206141397e-06,1.6506415227008535,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
8.084000000000001e-07,4.099561025575962e-06,4.051578394364106e-06,1.6347486451138313,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
8.3335e-07,4.114907100853788e-06,4.072013516724295e-06,1.6461268549911565,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
8.583000000000001e-07,4.236120943181048e-06,4.089369755828959e-06,1.6652611153710437,-5.322244310688473e-07,512464.8882430771,3.5947065800167185e-06,9.74203187250996e-07
