Delay_us,Magnitude_linear,Fit_linear_at_x,Phase_rad,A_fit,T1_fit_us,C_fit
0.01,9.840514625644078e-07,1.0099691644942226e-06,-2.7456382772531476,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
0.34330000000000005,1.0113492234430178e-06,9.878921895276861e-07,-2.778769540241522,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
0.6766000000000001,9.961478099121153e-07,9.66782396321861e-07,-2.734949210068217,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
1.0099,9.515114190075142e-07,9.465974131043608e-07,-2.7161938206108256,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
1.3432000000000002,9.075213707685474e-07,9.272967243899716e-07,-2.7089611505086815,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
1.6765,9.45141573581642e-07,9.088415896575937e-07,-2.7056633476160092,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
2.0098000000000003,8.837690443343019e-07,8.911949655899096e-07,-2.7360602442669317,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
2.3431000000000006,8.611586272732112e-07,8.74321431719694e-07,-2.7316213587315077,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
2.6764,8.471137887777011e-07,8.581871193335248e-07,-2.7191666192767285,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
3.0097,8.379665820743281e-07,8.427596434901867e-07,-2.7218711254591517,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
3.3430000000000004,7.776242980688421e-07,8.280080380173184e-07,-2.723592012107729,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
3.676300000000001,7.845606067763457e-07,8.139026933558244e-07,-2.712055483294297,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
4.009600000000001,8.66193248282785e-07,8.004152971272939e-07,-2.692057787965554,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
4.3429,8.04405543087245e-07,7.875187773051319e-07,-2.6914349816829186,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
4.6762000000000015,7.889381236147065e-07,7.75187247875338e-07,-2.6831864377246304,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
5.009500000000001,7.946757828813676e-07,7.633959568778586e-07,-2.7186476411306835,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
5.3428,7.732880286200188e-07,7.521212367242239e-07,-2.6935273612079373,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
5.676100000000001,7.266705168840502e-07,7.413404566917446e-07,-2.6663137161581223,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
6.0094,7.291362242859705e-07,7.310319774989164e-07,-2.708688009020654,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
6.342700000000002,7.111276164569206e-07,7.211751078708536e-07,-2.6650390999709326,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
6.676000000000001,7.174971185494776e-07,7.117500630075704e-07,-2.670890109929495,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
7.0093000000000005,6.826863819170394e-07,7.027379248717472e-07,-2.716206792149922,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
7.342600000000002,6.785935650974173e-07,6.941206042162713e-07,-2.698794446979614,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
7.6759,6.745250998179949e-07,6.858808042753322e-07,-2.611550247686941,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
8.009200000000002,6.823939190279315e-07,6.780019860461928e-07,-2.650743574539314,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
8.342500000000001,6.252852528553451e-07,6.704683350919511e-07,-2.652682482184207,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
8.6758,6.506280696394199e-07,6.63264729798655e-07,-2.6362596106493146,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
9.009100000000002,6.484153707413386e-07,6.563767110230587e-07,-2.6498305883871143,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
9.342400000000001,6.240124715696361e-07,6.497904530700972e-07,-2.615070855899893,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
9.6757,6.474851080151753e-07,6.43492735941823e-07,-2.6853324944201344,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
10.009000000000002,6.290017932122549e-07,6.374709188021032e-07,-2.628815330337369,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
10.342300000000002,5.932761539046848e-07,6.317129146038169e-07,-2.6069805891253535,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
10.675600000000001,5.980678836076882e-07,6.262071658276218e-07,-2.6383508751226312,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
11.008900000000002,6.343281426908827e-07,6.209426212835946e-07,-2.5869447261760925,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
11.342200000000002,6.478704893139786e-07,6.159087139291802e-07,-2.6525984260386077,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
11.675500000000001,6.363334356511252e-07,6.11095339658926e-07,-2.6689069358464703,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
12.0088,6.033081755507794e-07,6.064928370234281e-07,-2.595908634344029,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
12.342100000000002,5.740947047694853e-07,6.020919678367801e-07,-2.641754808367849,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
12.675400000000002,6.238933846282539e-07,5.978838986336016e-07,-2.5513546188794796,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
13.008700000000001,5.754022595005347e-07,5.938601829384237e-07,-2.604516103939412,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
13.342000000000002,5.881335227643654e-07,5.900127443118461e-07,-2.5866220065300247,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
13.675300000000004,5.961082408717444e-07,5.863338601394326e-07,-2.63415815130404,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
14.008600000000001,5.671464446717152e-07,5.828161461308085e-07,-2.597795847993779,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
14.341900000000003,5.79249082675668e-07,5.794525414978436e-07,-2.5893845670219378,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
14.675200000000004,6.10990931865822e-07,5.76236294782174e-07,-2.565695240531693,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
15.008500000000002,5.734891511729597e-07,5.731609503036114e-07,-2.575853946380983,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
15.341800000000003,5.924910868141794e-07,5.702203352022428e-07,-2.6220800446940777,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
15.675100000000006,5.504916573919537e-07,5.674085470482086e-07,-2.5967204897777254,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
16.008400000000005,5.592666633670697e-07,5.647199419942906e-07,-2.620730766526614,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
16.341700000000003,5.565011653380597e-07,5.621491234475297e-07,-2.575110568573459,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
16.675000000000004,5.601945298716375e-07,5.596909312371349e-07,-2.5679690074142423,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
17.008300000000006,6.053823573694794e-07,5.5734043125694e-07,-2.5460521942842447,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
17.341600000000003,5.363561763483657e-07,5.550929055616208e-07,-2.5028995114839603,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
17.674900000000004,5.60072138639144e-07,5.529438428967909e-07,-2.5791932647611584,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
18.008200000000006,5.40213549994925e-07,5.508889296439705e-07,-2.5681274691402467,5.046087284268405e-07,7.440040553663123,5.06038214313013e-07
